Column1,Block,NR/2025/29743/C,NR/2025/27782/A/83163,NR/2025/26566/A/83447,NR/2025/29769/C,NR/2025/26572/A/83449,NR/2025/29797/C,NR/2025/26571/A/83448,NR/2025/29451/A/83087,NR/2025/29818/C,NR/2025/29819/C,NR/2025/29820/C,NR/2025/26975/A/83159,NR/2025/27242/A/83138,NR/2025/28719/A/83066,NR/2025/26445/A/83477,NR/2025/27500/A/82967,NR/2025/26952/A/82927,NR/2025/26889/A/83462,NR/2025/26860/A/83375,NR/2025/27725/A/83167,NR/2025/27727/A/83164,NR/2025/27168/A/83395,NR/2025/26562/A/83445,NR/2025/27281/A/83561,NR/2025/27187/A/83151,NR/2025/27157/A/83052,NR/2025/26861/A/83440,NR/2025/27176/A/83155,NR/2025/27088/A/83473,NR/2025/26085/A/82897,NR/2025/26785/A/82968,NR/2025/27499/A/83461,NR/2025/27728/A/83165,NR/2025/27167/A/83392,NR/2025/27726/A/83166,NR/2025/27506/A/82965,NR/2025/27100/A/83067,NR/2025/26565/A/83446,NR/2025/27185/A/83153,NR/2025/26777/A/83058,GNA/NR/2025/06/01/7782,NR/2025/29890/C,GNA/NR/2025/06/01/7663,NR/2025/29881/C/Alternate/1,NR/2025/29874/C,GNA/NR/2025/06/01/4973,NR/2025/29882/C,NR/2025/29883/C,NR/2025/29739/C,NR/2025/29888/C,GNA/NR/2025/06/01/2868,NR/2025/29880/C,NR/2025/29881/C,NR/2025/29885/C,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/4444,NR/2025/29886/C,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/20/3628,NR/2025/29815/C,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/5280,NR/2025/29865/C,GNA/NR/2025/06/01/7786,NR/2025/29872/C,NR/2025/29849/C,GNARE/NR/2024/12/20/3668,NR/2025/28774/A/82960,NR/2025/27356/A/83089,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7762,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/9257,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,Total
,,IEXL,APPCPL,PowerPulse,PXIL,PowerPulse,BRPL,PowerPulse,BRPL,PowerPulse,PowerPulse,PowerPulse,APPCPL,GMRETL,DIAPL,NVVNL,IEXL,PXIL,HPXL,BRPL,APPCPL,APPCPL,PTC,PowerPulse,MANIKARAN,APPCPL,KEIPL,PowerPulse,APPCPL,NVVNL,ITCLH,IEXL,HPXL,APPCPL,PTC,APPCPL,IEXL,IVPL_Trader,PowerPulse,APPCPL,INSTINCT,APPCPL,APPCPL,SIMHAPURI,NVVNL,APPCPL,APPCPL,APPCPL,NVVNL,MANIKARAN,APPCPL,NDMC,APPCPL,NVVNL,APPCPL,APPCPL,PowerPulse,NVVNL,APPCPL,MANIKARAN,DIAPL,NVVNL,KEIPL,APPCPL,INSTINCT,APPCPL,INSTINCT,SECI_Trader,IEXL,BRPL,PTC,PTC,BAWANA_GAS,MANIKARAN,DELHI,PUNJAB,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manipur_State,HIMACHAL_STATE,HIMACHAL_STATE,NA,MSEB_State,NA,MSEB_State,NA,NA,NA,GoHP_Rampur_STATE,NA,CSEB_State,KERALA_State,CSEB_State,NA,MSEB_State,NA,ANDHRA_PRADESH_STATE,NA,JK_and_LADAKH_UT,NA,GoHP_Chamera1_STATE,NA,HIMACHAL_STATE,MSEB_State,NA,KERALA_State,NA,CSEB_State,NA,NA,NA,MSEB_State,NA,NA,NA,CSEB_State,NA,NA,NA,NA,NA,GOA_State,NA,NA,GOA_State,MSEB_State,HIMACHAL_STATE,NA,CSEB_State,Manipur_State,NA,KERALA_State,NA,NA,NA,NA,TELANGANA_State,ODISHA_STATE,DELHI_UT,MP_State,HIMACHAL_STATE,DELHI_UT,
,,MBMP,TRN_ENERGY,MAHAN_ENERGEN,MBMP,APL_Raigarh_TPP,JPL2,APL_Raigarh_TPP,DADRT2,MAHAN_ENERGEN,APL_Raigarh_TPP,APL_Raipur_TPP,Manipur_Ben,GBHHPL,GBHHPL,JPNIGRIE_JNSTPP,A_A_Energy_MH_Bio,MBMP,GRETAENERGY,JPL2,SKS_Raigarh,JPL2,GoHP_Rampur,APL_Raipur_TPP,CSEB_Beneficiary,KSEB,CSEB_Beneficiary,COASTGEN,AEML,ILFS,ITCWIND,MBMP,O2Z,RKM_POWER,GoHP_Chamera1,RKM_POWER,NHCPL_HP,TPC_MSEB,MAHAN_ENERGEN,KSEB,JPL2,CSPDCL,RKM_POWER,SIMHAPURI,Kameng,AEML,DBPL,RKM_POWER,SORANG_HEP,CSEB_Beneficiary,TRN_ENERGY,JIPL,SKS_Raigarh,Kameng,JPL2,GOA_Beneficiary,COASTGEN,ILFS,GOA_Beneficiary,AEML,GBHHPL,JHABUA_IPP,CSPDCL,Manipur_Ben,SIMHAPURI,KSEB,JPL2,APSEPL_FTG,TPSL_BKN2,TS1PL_BKN,NAVABHARAT,NBVL_OTCL,BAWANA_GAS,BLAPOWER_MP,CHANJUII,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,PUNJAB_STATE,
,,NDMC,NDMC,TPDDL,BRPL,TPDDL,BRPL,TPDDL,BRPL,TPDDL,TPDDL,TPDDL,BYPL,BRPL,DIAPL,TPDDL,MES_Delhi,BRPL,BYPL,BRPL,NDMC,NDMC,BRPL,TPDDL,BYPL,BYPL,BYPL,BRPL,BYPL,BRPL,ITCLH,NDMC,BYPL,NDMC,BRPL,NDMC,MES_Delhi,BYPL,TPDDL,BYPL,BRPL,BRPL,NDMC,BRPL,TPDDL,BYPL,BRPL,NDMC,TPDDL,BYPL,NDMC,NDMC,NDMC,TPDDL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,DIAPL,BRPL,BRPL,BYPL,BRPL,BYPL,BRPL,TPDDL,MES_Delhi,BRPL,BRPL,BRPL,HARYANA,BRPL,TPDDL,PUNJAB,
,,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,North East-East-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,South-West-North,West-North,South-West-North,West-North,South-West-North,South-West-North,West-North,North-North,West-North,North-North,West-North,North-North,West-North,West-North,South-West-North,West-North,West-North,West-North,South-East-North,North East-East-West-North,West-North,West-North,West-North,North-North,West-North,West-North,East-North,West-North,North East-East-North,West-North,West-North,South-West-North,South-West-North,West-North,West-North,North-North,West-North,West-North,North East-East-North,South-West-North,South-West-North,West-North,North-North,North-North,North-North,South-West-North,East-West-North,North-North,West-North,North-North,North-North,
1,00:00-00:15,0,7.73,0,0,0,0,144.96,96.64,0,0,0,27.06,41.07,10.63,96.64,7.73,0,5.8,90.36,8.78,26.35,20.54,144.96,24.88,19.33,217.34,164.29,106.3,164.29,0.68,0,8.7,26.35,20.54,26.35,1.93,25.2,144.96,19.33,164.29,11.91,0,41.07,14.38,0,41.07,0,28.03,0,0,29.06,0,150.15,0,19.33,0,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,22.13,20.54,16.47,22.13,2465.8399999999997

2,00:15-00:30,0,7.73,0,0,0,0,144.96,96.64,0,0,0,27.06,41.07,10.63,96.64,7.73,0,5.8,90.36,8.78,26.35,20.54,144.96,24.88,19.33,217.34,164.29,106.3,164.29,0.68,0,8.7,26.35,20.54,26.35,1.93,25.2,144.96,19.33,164.29,11.91,0,41.07,14.07,0,41.07,0,28.03,0,0,29.06,0,150.46,0,19.33,0,0,15.32,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,22.13,20.54,16.47,22.13,2465.8399999999997

