Block,Time,KOLDAM,CHAMERA3,DADRT2,UNCHAHAR2,RAPPB,KISHANGANGA,DADRI_RF,CHAMERA2,DHAULIGNGA,ANTA_GF,TANDA2,ANTA_LF,AURY_RF,AURY_CRF,UNCHAHAR4,BSIUL,RAMPUR,RIHAND2,RIHAND3,SEWA2,SINGRAULI,SALAL,ANTA_CRF,UNCHAHAR3,NAPP,DULHASTI,AURY_LF,TEHRI,JHAJJAR,DADRI_LF,AURY_GF,DADRI_CRF,UNCHAHAR1,RIHAND1,SINGRAULI_HYDRO,URI,PARBATI3,DADRI_GF,TANAKPUR,ANTA_RF,NJPC,RAPPC,CHAMERA1,KOTESHWR,URI2,TALA,BRBCL,KHSTPP-II,KHSTPP-I,FSTPP I & II,SASAN,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,308.876358,20.592163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,114.203250,119.559926,0.000000,85.561800,2.471528,0.000000,11.601600,19.515051,15.931754,0.000000,0.000000,341.280400,0.000000,0.000000,0.000000,6.688647,88.945600,0.573341,48.030624,0.000000,0.000000,3.963107,0.000000,0.000000,25.518879,0.000000,8.579383,30.838389,0.284239,19.336023,95.075112,43.718696,13.776900,404.866836,76.13,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,308.876358,20.592163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,114.203250,119.559926,0.000000,85.561800,2.471528,0.000000,11.601600,19.515051,15.931754,0.000000,0.000000,341.280400,0.000000,0.000000,0.000000,6.830345,88.945600,0.573341,48.030624,0.000000,0.000000,3.963107,0.000000,0.000000,25.518879,0.000000,8.579383,30.838389,0.284239,19.336023,95.075112,43.718696,13.776900,404.866836,73.48,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,308.876358,20.592163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,114.203250,119.559926,0.000000,85.561800,2.471528,0.000000,11.601600,19.515051,15.931754,0.000000,0.000000,341.280400,0.000000,0.000000,0.000000,6.830345,88.945600,0.573341,8.538778,0.000000,0.000000,3.963107,0.000000,0.000000,25.518879,0.000000,8.579383,30.838389,0.284239,19.336023,95.075112,43.718696,13.776900,404.866836,70.58,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,308.876358,20.592163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,114.203250,119.559926,0.000000,85.561800,2.471528,0.000000,11.601600,19.515051,15.931754,0.000000,0.000000,341.280400,0.000000,0.000000,0.000000,6.830345,88.945600,0.573341,6.404083,0.000000,0.000000,3.963107,0.000000,0.000000,25.518879,0.000000,8.579383,30.838389,0.284239,19.336023,95.075112,43.718696,13.776900,404.866836,69.61,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,290.040000,16.183616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,114.203250,119.559926,0.000000,85.561800,2.471528,0.000000,11.601600,19.515051,15.931754,0.000000,0.000000,341.280400,0.000000,0.000000,0.000000,6.830345,88.945600,0.573341,6.404083,0.000000,0.000000,11.526448,0.000000,0.000000,25.518879,0.000000,8.579383,9.103776,0.284239,18.019363,95.075112,43.718696,9.550147,404.866836,66.71,0,0,0,0,0

