Block,Time Block,DHAULIGNGA,DULHASTI,FSTPP I & II,KHSTPP-I,KKNP,KISHANGANGA,KGSU3AND4,KKNPPU2,KHSTPP-II,UNCHAHAR1,ANTA_CRF,UNCHAHAR4,VALLURNTECL,AURY_CRF,TEHRIPSP,URI2,UNCHAHAR3,ANTA_LF,TelanganaSTPP,UNCHAHAR2,ANTA_GF,ANTA_RF,URI,AURY_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,KUDGI,TEHRI,JHAJJAR,KGSU1AND2,KOLDAM,KOTESHWR,NTPL,PARBATI3,SASAN,RIHAND1,PARBATI2,RAPPB,SIMHST1,RSTPSU1TO6,SIMHST2,RAPPD,RSTPSU7,SINGRAULI,SALAL,SEWA2,SINGRAULI_HYDRO,RAMPUR,RIHAND3,RAPPC,RIHAND2,TANDA2,TALST2,TANAKPUR,TALA,NJPC,NLCIIST1,NNTPP,NLCIIST2,NLCTS2EXP,NAPP,NLCEXP,MAPS,DADRT2,BRBCL,BSIUL,CHAMERA3,CHAMERA2,CHAMERA1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,42.42,56.87,20.12,43.75,0,8.43,0,0,143.47,20.79,0,1.55,0,0,50.3,35.8,26.54,0,0,42.69,0,0,44.33,0,0,0,0,0,0,0,0,38.27,419.06,0,10.3,10.1,0,57.25,331.93,84.07,42.3,0,0,0,0,24.9,0,145.93,82.63,0,1.13,6.81,125.34,66.49,119.59,3.54,0,8.67,29.01,175.25,0,0,0,0,24.34,0,0,502.55,16.02,12.61,33.95,47.31,40.78,0,0,0,0,0

2,00:15-00:30,42.42,56.87,20.12,43.75,0,8.43,0,0,143.47,20.79,0,1.55,0,0,50.3,35.8,26.54,0,0,43.04,0,0,44.33,0,0,0,0,0,0,0,0,38.27,326.46,0,10.3,10.1,0,57.25,331.93,84.07,42.3,0,0,0,0,24.9,0,145.93,82.63,0,1.13,6.81,125.34,66.49,119.59,3.54,0,8.67,29.01,175.25,0,0,0,0,24.34,0,0,502.55,13.72,12.61,33.95,47.31,40.78,0,0,0,0,0

3,00:30-00:45,42.42,56.27,20.12,43.75,0,8.43,0,0,143.47,20.79,0,1.93,0,0,50.3,35.8,26.54,0,0,43.04,0,0,44.33,0,0,0,0,0,0,0,0,38.27,193.85,0,10.3,10.1,0,57.25,331.93,84.07,42.3,0,0,0,0,24.9,0,145.93,82.63,0,1.13,6.81,125.34,66.49,119.59,3.65,0,8.67,29.89,175.25,0,0,0,0,24.34,0,0,502.55,14.27,12.61,33.95,47.31,40.78,0,0,0,0,0

4,00:45-01:00,42.42,56.27,20.12,43.75,0,8.43,0,0,143.47,20.79,0,1.93,0,0,50.3,35.8,26.54,0,0,43.04,0,0,44.33,0,0,0,0,0,0,0,0,38.27,140.33,0,10.3,10.1,0,57.25,331.93,84.07,42.3,0,0,0,0,24.9,0,145.93,82.63,0,1.13,6.81,125.34,66.49,119.59,3.65,0,8.67,29.89,175.25,0,0,0,0,24.34,0,0,428.38,15.66,12.61,33.95,47.31,40.78,0,0,0,0,0

5,01:00-01:15,42.42,56.27,20.12,43.75,0,8.43,0,0,143.47,20,0,1.93,0,0,0,35.8,25.81,0,0,39.42,0,0,44.33,0,0,0,0,0,0,0,0,38.27,135.42,0,10.3,10.1,0,57.25,331.93,84.07,42.3,0,0,0,0,24.9,0,145.93,82.63,0,1.13,6.81,125.34,66.49,119.59,3.65,0,8.67,30.17,175.25,0,0,0,0,24.34,0,0,353.25,14.1,12.61,33.95,47.31,40.78,0,0,0,0,0

6,01:15-01:30,42.42,56.27,20.12,43.75,0,8.43,0,0,143.47,20,0,1.93,0,0,0,35.8,25.81,0,0,39.11,0,0,44.33,0,0,0,0,0,0,0,0,38.27,135.42,0,10.3,10.1,0,57.25,331.93,84.07,42.3,0,0,0,0,24.9,0,145.93,82.63,0,1.13,6.81,125.34,66.49,119.59,3.65,0,8.67,30.17,175.25,0,0,0,0,24.34,0,0,275.85,13.38,12.61,33.95,47.31,40.78,0,0,0,0,0

7,01:30-01:45,42.42,56.27,20.12,43.75,0,8.43,0,0,143.47,17.56,0,1.93,0,0,0,35.8,22.88,0,0,37.31,0,0,44.33,0,0,0,0,0,0,0,0,38.27,135.42,0,10.3,10.1,0,57.25,331.93,84.07,42.3,0,0,0,0,24.9,0,145.93,82.63,0,1.13,6.81,125.34,66.49,119.59,3.74,0,8.67,30.17,175.25,0,0,0,0,24.34,0,0,246.83,13.66,12.61,33.95,47.31,40.78,0,0,0,0,0

8,01:45-02:00,42.42,56.27,20.12,43.75,0,8.43,0,0,143.47,17.56,0,1.93,0,0,0,35.8,21.91,0,0,37.31,0,0,44.33,0,0,0,0,0,0,0,0,38.27,135.42,0,10.3,10.1,0,57.25,331.93,84.07,42.3,0,0,0,0,24.9,0,145.93,82.63,0,1.13,6.81,125.34,66.49,119.59,3.74,0,8.67,30.17,175.25,0,0,0,0,24.34,0,0,198.46,13.29,12.61,33.95,47.31,40.78,0,0,0,0,0

9,02:00-02:15,42.42,56.27,18.02,43.75,0,8.43,0,0,143.47,17.56,0,1.93,0,0,0,35.8,22.88,0,0,37.31,0,0,44.33,0,0,0,0,0,0,0,0,38.27,122.92,0,10.3,10.1,0,57.25,331.93,84.07,56.16,0,0,0,0,24.9,0,145.93,82.63,0,1.13,6.81,125.34,66.49,119.59,3.74,0,11.77,29.29,175.25,0,0,0,0,24.34,0,0,179.11,13.37,12.61,33.95,47.31,40.78,0,0,0,0,0

10,02:15-02:30,42.42,56.27,16.95,43.75,0,8.43,0,0,143.47,17.56,0,1.93,0,0,0,35.8,22.88,0,0,37.31,0,0,44.33,0,0,0,0,0,0,0,0,38.27,122.92,0,10.3,10.1,0,57.25,331.93,84.07,56.16,0,0,0,0,24.9,0,145.93,82.63,0,1.13,6.81,125.34,66.49,119.59,3.74,0,11.77,29.29,175.25,0,0,0,0,24.34,0,0,159.77,13.39,12.61,33.95,47.31,40.78,0,0,0,0,0

