Column1,Block,NR/2024/23125/C,NR/2024/21658/A/37138,NR/2024/22837/A/37411,NR/2024/22839/A/37414,NR/2024/22820/A/37148,NR/2024/23127/C,NR/2024/22802/A/37415,NR/2024/23128/C,NR/2024/22860/A/37335,NR/2024/22848/A/37338,NR/2024/22832/A/37413,NR/2024/22833/A/37412,NR/2024/22816/A/37159,NR/2024/23038/A/37144,NR/2024/23017/A/37174,NR/2024/22874/A/37416,NR/2024/22888/A/37323,NR/2024/22753/A/37438,NR/2024/23113/C,NR/2024/22835/A/37392,NR/2024/22754/A/37436,NR/2024/22734/A/37362,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/2171,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/3451,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/6020,Total
,,NVVNL,ITCLH,NVVNL,NVVNL,IEXL,NVVNL,NVVNL,NVVNL,APPCPL,APPCPL,NVVNL,NVVNL,TPTCL,IEXL,DIAPL,NVVNL,APPCPL,PTC,TPDDL,MANIKARAN,PTC,TPDDL,DELHI,MANIKARAN,PUNJAB,APPCPL,JITPL,TPTCL,DELHI,BAWANA_GAS,TPTCL,MANIKARAN,AEL,NVVNL,INSTINCT,
,,NA,ANDHRA_PRADESH_STATE,NA,NA,KARNATAKA_STATE,NA,NA,NA,Nagaland_State,UTTARAKHAND_STATE,NA,NA,NA,MSEB_State,HIMACHAL_STATE,MP_State,KERALA_State,HIMACHAL_STATE,NA,MSEB_State,HIMACHAL_STATE,NA,NA,ODISHA_STATE,DELHI_UT,Arunachal_State,NA,NA,HIMACHAL_STATE,DELHI_UT,NA,MP_State,NA,NA,NA,
,,SOLAPUR_SOLAR,ITCWIND,JPL2,TRN_ENERGY,NSLSUGAR,Kameng,JPNIGRIE_JNSTPP,SORANG_HEP,Nagaland_Ben,UTTARAKHAND,RKM_POWER,RKM_POWER,SIMHAPURI,A_A_Energy_MH_Bio,GBHHPL,JP_BINA,KSEB,HP,JHAJJAR,AEML,HP,JPL2,SKS_Raigarh,MAADURGA_THERMAL,BAWANA_GAS,Arunachal_Ben,JITPL,SIMHAPURI,CHANJUII,BAWANA_GAS,JITPL,BLAPOWER_MP,APL_Raigarh_TPP,JPNIGRIE_JNSTPP,JPL2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,ITCLH,NDMC,NDMC,MES_Delhi,TPDDL,BRPL,TPDDL,BYPL,BYPL,NDMC,NDMC,BRPL,MES_Delhi,DIAPL,TPDDL,BYPL,BRPL,TPDDL,BYPL,BYPL,TPDDL,NDMC,BRPL,PUNJAB,BRPL,NDMC,BRPL,TPDDL,HARYANA,BRPL,BRPL,BRPL,BRPL,BRPL,
,,West-North,South-West-North,West-North,West-North,South-West-North,North East-East-North,West-North,North-North,North East-East-North,North-North,West-North,West-North,South-West-North,West-North,North-North,West-North,South-West-North,North-North,North-North,West-North,North-North,West-North,West-North,East-North,North-North,North East-East-North,East-North,South-East-North,North-North,North-North,East-North,West-North,West-North,West-North,West-North,
1,00:00-00:15,0,0.87,26.41,6.78,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,8.72,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,32.93,17.51,41.16,12.76,0,20.58,18.4,41.16,82.32,82.32,1304.3

2,00:15-00:30,0,0.87,26.41,6.78,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,8.72,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,32.93,17.51,41.16,12.76,0,20.58,18.4,41.16,82.32,82.32,1304.3

3,00:30-00:45,0,0.87,26.41,6.78,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,8.72,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,32.93,17.51,41.16,12.76,0,20.58,18.4,41.16,82.32,82.32,1304.3

4,00:45-01:00,0,0.87,26.41,6.78,4.84,164.89,0,28.09,13.56,84.43,26.41,26.41,0,3.87,8.72,0,67.8,181.59,53.27,91.04,60.53,96.85,8.8,0,0,32.93,17.51,41.16,12.76,0,20.58,18.4,41.16,82.32,82.32,1304.3

