Block,Time,KGSU1AND2,KGSU3AND4,KHSTPP-II,PARBATI3,SIMHST1,TALA,UNCHAHAR2,UNCHAHAR4,ANTA_RF,AURY_RF,DADRI_CRF,DADRI_GF,DADRI_LF,KKNPPU2,SASAN,TANAKPUR,UNCHAHAR1,BSIUL,CHAMERA1,CHAMERA3,SALAL,URI2,ANTA_GF,AURY_GF,BRBCL,DHAULIGNGA,KHSTPP-I,NLCTS2EXP,RAPPC,RIHAND3,RSTPSU1TO6,SINGRAULI,URI,CHAMERA2,NLCEXP,NNTPP,RAMPUR,RIHAND1,SINGRAULI_HYDRO,TEHRI,TelanganaSTPP,ANTA_CRF,AURY_LF,KISHANGANGA,KKNP,NJPC,NLCIIST1,RIHAND2,SEWA2,TALST2,DULHASTI,JHAJJAR,KOLDAM,MAPS,NLCIIST2,NTPL,RAPPB,RSTPSU7,SIMHST2,TANDA2,DADRI_RF,DADRT2,FSTPP I & II,KOTESHWR,KUDGI,NAPP,UNCHAHAR3,VALLURNTECL,ANTA_LF,AURY_CRF
1,00:00-00:15,0,0,98.87,3.94,0,10.53,18.97,1.62,28.98,38.97,0,0,0,0,379.69,13,20.96,6.52,28.1,21.37,38.35,14.77,0,0,15,40.2,44.92,0,60.53,127.6,0,109.06,16.56,44.22,0,0,2.44,47.33,0,70.87,0,0,0,0,0,113.81,0,121.71,0,0,54.53,531.81,4.01,0,0,0,0,0,0,2.89,83.86,343.03,20.8,28.98,0,45.34,0,0,0,0

2,00:15-00:30,0,0,98.87,3.94,0,10.53,19.02,1.62,28.98,38.97,0,0,0,0,379.69,13,20.96,6.52,28.1,21.37,38.35,14.77,0,0,15,40.2,44.92,0,60.53,127.6,0,109.06,16.56,28.34,0,0,2.44,47.33,0,70.87,0,0,0,0,0,113.81,0,121.71,0,0,54.53,531.81,4.01,0,0,0,0,0,0,2.89,71.52,343.03,20.8,28.98,0,45.34,0,0,0,0

3,00:30-00:45,0,0,98.87,3.94,0,10.09,19.02,1.62,28.98,38.97,0,0,0,0,379.69,13,20.96,6.52,28.1,21.37,58.1,35.46,0,0,15,40.2,44.92,0,60.53,127.6,0,109.06,50.34,28.34,0,0,2.44,47.33,0,53.16,0,0,0,0,0,113.81,0,121.71,0,0,54.53,531.81,4.01,0,0,0,0,0,0,2.89,59.19,343.03,20.8,28.98,0,45.34,0,0,0,0

4,00:45-01:00,0,0,98.87,3.94,0,10.09,19.02,1.62,28.98,38.97,0,0,0,0,379.69,13,20.96,6.52,28.1,21.37,79.38,35.46,0,0,15,40.2,44.92,0,60.53,127.6,0,109.06,50.34,28.34,0,0,2.44,47.33,0,53.16,0,0,0,0,0,113.81,0,121.71,0,0,54.53,531.81,4.01,0,0,0,0,0,0,2.89,46.86,343.03,20.8,28.98,0,45.34,0,0,0,0

5,01:00-01:15,0,0,98.87,3.94,0,10.09,19.02,1.62,32.17,38.97,0,0,0,0,379.69,13,20.96,6.52,28.1,21.37,79.38,35.46,0,0,15,40.2,44.92,0,60.53,127.6,0,109.06,16.56,28.34,0,0,2.44,47.33,0,35.44,0,0,0,0,0,113.81,0,121.71,0,0,54.53,531.81,4.01,0,0,0,0,0,0,2.89,46.86,343.03,20.8,28.98,0,45.34,0,0,0,0

