Column1,Block,NR/2025/29439/A/89832,NR/2025/31859/C,NR/2025/28728/A/90160,NR/2025/30191/A/89712,NR/2025/31887/C,NR/2025/31889/C,NR/2025/31890/C,NR/2025/31832/C,NR/2025/27975/A/90174,NR/2025/27973/A/90173,NR/2025/29353/A/90184,NR/2025/31825/C,NR/2025/27965/A/90170,NR/2025/30121/A/89714,NR/2025/27966/A/90172,NR/2025/31838/C,NR/2025/31868/C,NR/2025/31839/C,NR/2025/29352/A/90186,NR/2025/30084/A/90117,NR/2025/30101/A/90200,NR/2025/31860/C,NR/2025/31126/A/89792,NR/2025/29440/A/89763,NR/2025/31793/C,NR/2025/29167/A/89770,NR/2025/31136/A/90165,NR/2025/31136/A/90166,NR/2025/31137/A/90167,NR/2025/31137/A/90168,NR/2025/31138/A/90169,NR/2025/31138/A/90171,NR/2025/31347/A/89711,NR/2025/31419/A/89924,NR/2025/31420/A/89923,GNARE/NR/2024/12/20/3668,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/3109,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/16/5917,NR/30092023/31122025/SH-07,NR/2025/31892/C,NR/2025/30082/A/90208,NR/2025/29910/A/90123,NR/2025/31893/C,NR/2025/30083/A/90118,NR/2025/31874/C,NR/2025/31874/C/Alternate/1,NR/2025/30067/A/90298,NR/2025/29992/A/89845,NR/2025/29915/A/89769,NR/2025/31886/C,NR/2025/31895/C,NR/2025/30105/A/90115,NR/2025/29628/A/90128,NR/2025/30217/A/90114,NR/2025/31339/A/89847,NR/2025/31829/C,NR/2025/30086/A/90116,NR/2025/31877/C,NR/2025/27978/A/90204,NR/2025/31878/C,NR/2025/29985/A/89848,Total
,,IVPL_Trader,APPCPL,PowerPulse,IEXL,APPCPL,APPCPL,APPCPL,PowerPulse,PowerPulse,PowerPulse,PTC,BYPL,PowerPulse,IEXL,PowerPulse,PowerPulse,NVVNL,PowerPulse,PTC,APPCPL,NVVNL,APPCPL,DIAPL,ITCLH,IEXL,TPTCL,ABLWM1_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,IEXL,GMRETL,GMRETL,SECI_Trader,PowerPulse,MANIKARAN,APPCPL,NDMC,APPCPL,PUNJAB,DELHI,PowerPulse,PTC,PowerPulse,BAWANA_GAS,APPCPL,HPXL,APPCPL,APPCPL,APPCPL,NVVNL,NVVNL,MANIKARAN,BYPL,TPTCL,IEXL,ITCLH,APPCPL,APPCPL,APPCPL,BRPL,HPXL,APPCPL,NVVNL,NVVNL,MES_Delhi,BRPL,
,,MSEB_State,MSEB_State,NA,NA,NA,NA,NA,NA,NA,NA,GoHP_NJPC_STATE,KERALA_State,NA,TAMILNADU_State,NA,NA,MP_State,NA,GoHP_Chamera1_STATE,NA,MP_State,KERALA_State,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,MSEB_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,GOA_State,NA,GOA_State,DELHI_UT,HIMACHAL_STATE,NA,NA,NA,DELHI_UT,NA,NA,KERALA_State,NA,NA,NA,NA,NA,KERALA_State,UTTARPRADESH_STATE,TAMILNADU_State,ANDHRA_PRADESH_STATE,NA,MSEB_State,NA,NA,NA,NA,NA,NA,NA,NA,
,,TPC_MSEB,AEML,APL_Raipur_TPP,IND_BHARAT,SKS_Raigarh,RKM_POWER,JIPL,APL_Raipur_TPP,APL_Raigarh_TPP,APL_Raigarh_TPP,GoHP_NJPC,KSEB,MAHAN_ENERGEN,PCBLTNLTD_UNIT2,MAHAN_ENERGEN,MAHAN_ENERGEN,JP_BINA,APL_Raigarh_TPP,GoHP_Chamera1,RKM_POWER,JP_BINA,KSEB,GBHHPL,ITCWIND,IND_BHARAT,TPC_MSEB,TCSPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TESPL_BKN2,TPSL_BKN2,JNEPL_BKN2,JNEPL_BKN2,APSEPL_FTG,APL_Raipur_TPP,AEML,GOA_Beneficiary,JPL2,GOA_Beneficiary,BAWANA_GAS,CHANJUII,MAHAN_ENERGEN,MEENAKSHI,APL_Raipur_TPP,BAWANA_GAS,RKM_POWER,SKS_Raigarh,KSEB,TRN_ENERGY,SKS_Raigarh,Kameng,Kameng,MBMP,KSEB,PPGCL,PCBLTNLTD_UNIT2,ITCWIND,JIPL,AEML,TRN_ENERGY,DADRT2,SKS_Raigarh,RKM_POWER,SORANG_HEP,JPNIGRIE_JNSTPP,NTPCREL_PSS2_KPS2_S,TS1PL_BKN,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BYPL,BYPL,BRPL,BRPL,NDMC,NDMC,NDMC,BRPL,TPDDL,TPDDL,BRPL,BYPL,TPDDL,MES_Delhi,TPDDL,TPDDL,TPDDL,TPDDL,BRPL,NDMC,TPDDL,BYPL,DIAPL,ITCLH,BRPL,BYPL,ABLWM1_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,MES_Delhi,DTCP,BLKMH,TPDDL,BRPL,BRPL,BRPL,NDMC,BRPL,PUNJAB,TPDDL,BRPL,BRPL,BRPL,HARYANA,NDMC,BRPL,BYPL,NDMC,NDMC,TPDDL,TPDDL,BRPL,BYPL,BRPL,MES_Delhi,ITCLH,NDMC,BYPL,NDMC,BRPL,BRPL,NDMC,TPDDL,TPDDL,MES_Delhi,BRPL,
,,West-North,West-North,West-North,East-North,West-North,West-North,East-North,West-North,West-North,West-North,North-North,South-West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,South-West-North,North-North,South-West-North,East-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,South-East-North,West-North,North-North,West-North,West-North,South-West-North,West-North,West-North,North East-East-North,North East-East-West-North,West-North,South-West-North,North-North,South-West-North,South-West-North,East-North,West-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,North-North,
1,00:00-00:15,25.07,0,81.72,48.07,0,0,0,0,0,96.14,81.72,0,96.14,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.91,0,54.08,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,32,17.76,163.44,49.03,81.72,0,0,48.07,19.23,0,8.01,17.03,145.02,204.3,44.22,20.43,0,0,16.03,105.75,7.69,134.6,0,24.04,28.84,96.14,0,0,2100.89

2,00:15-00:30,25.07,0,81.72,48.07,0,0,0,0,0,96.14,81.72,0,96.14,6.73,0,0,0,0,28.6,24.04,48.07,0,12.5,0.91,0,54.08,0,0,0,0,0,0,0,0,0,0,134.84,20.74,15.24,43.7,19.23,32,17.76,163.44,49.03,81.72,0,0,48.07,19.23,0,8.01,21.07,140.97,204.3,44.22,20.43,0,0,16.03,105.75,7.69,134.6,0,24.04,28.84,96.14,0,0,2100.88

