Block,Time,RIHAND2,CHAMERA3,DHAULIGNGA,KISHANGANGA,NAPP,CHAMERA2,JHAJJAR,KOTESHWR,PARBATI3,RAMPUR,RIHAND1,DADRT2,DULHASTI,KOLDAM,NJPC,RAPPC,TANDA2,RIHAND3,SINGRAULI,UNCHAHAR2,SEWA2,UNCHAHAR1,UNCHAHAR4,URI2,TEHRI,SINGRAULI_HYDRO,UNCHAHAR3,BSIUL,RAPPB,CHAMERA1,URI,TANAKPUR,SALAL,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,NTPL,RSTPSU1TO6,RSTPSU7,SIMHST1,SIMHST2,TALST2,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,KHSTPP-I,KHSTPP-II,FSTPP I & II,TALA,BRBCL,SASAN
1,00:00-00:15,118.125,0,0,0,43.0404,0,653.1525,8.381,0,0,92,339.750302,16.478852,0,0,53.4249,0,123.665625,139.3125,42.392196,15.804048,10.91181,0,31.897382,0,0.66955,26.39091,13.0416,0,0,39.744,6.0207,25.564,0,69.9384,0,0,0,42.735,0,0,0,89.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,18.765,0,15.00135,385.875

2,00:15-00:30,118.125,0,0,0,43.0404,0,653.1525,8.381,0,0,92,339.750302,16.478852,0,0,53.4249,0,123.665625,139.3125,42.392196,15.804048,10.91181,0,31.897382,0,0.66955,26.39091,13.0416,0,0,39.744,6.0207,25.564,0,69.9384,0,0,0,42.735,0,0,0,89.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,18.765,0,15.00135,385.875

3,00:30-00:45,118.125,0,0,0,43.0404,0,653.1525,8.381,0,0,92,339.750302,16.478852,0,0,53.4249,0,123.665625,139.3125,42.392196,15.804048,10.91181,0,31.897382,0,0.66955,26.39091,13.0416,0,0,34.224,6.0207,25.564,0,69.9384,0,0,0,42.735,0,0,0,89.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,18.765,0,15.00135,385.875

4,00:45-01:00,118.125,0,0,0,43.0404,0,653.1525,8.381,0,0,92,339.750302,16.478852,0,0,53.4249,0,123.665625,139.3125,42.392196,15.804048,10.91181,0,31.897382,0,0.66955,26.39091,13.0416,0,0,34.224,6.0207,25.564,0,69.9384,0,0,0,42.735,0,0,0,89.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,18.765,0,15.00135,385.875

5,01:00-01:15,118.125,0,0,0,43.0404,0,653.1525,8.381,0,0,92,339.750302,16.478852,0,0,53.4249,0,123.665625,139.3125,42.392196,15.804048,10.91181,0,31.897382,0,0.66955,26.39091,13.0416,0,0,34.224,0,25.564,0,69.9384,0,0,0,42.735,0,0,0,89.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,18.765,0,15.00135,385.875

6,01:15-01:30,118.125,0,0,0,43.0404,0,653.1525,8.381,0,0,92,339.750302,16.478852,0,0,53.4249,0,123.665625,139.3125,42.392196,15.804048,10.91181,0,31.897382,0,0.66955,26.39091,13.0416,0,0,34.224,0,25.564,0,69.9384,0,0,0,42.735,0,0,0,89.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.39908,147.515625,18.765,0,15.00135,385.875

