Column1,Time,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,GNA/NR/2024/09/27/1738,GNA/NR/2024/09/01/7119,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,GNA/NR/2024/09/27/4611,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/16/2535,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/09/01/8090,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/2171,NR/01082024/30092024/LT_MEJA_DELHI,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07
1,00:00-00:15,64,0,17.01,64,25.66,22.5,0,0,0,0,193.54,17.5,262.73,273.62,66.36,0,6.62,0,0,5.16,7.78,87.29,0,100.81,0,9.43,163.3,31.3,0,7.78,32.9,24.19,96.77,21.77,2.42,3.99,0,0,0,0,0,0,0,67.5,22.5

2,00:15-00:30,62.67,0,17.01,62.67,25.66,22.5,0,0,0,0,193.54,17.5,252.16,273.62,66.36,0,6.62,0,0,5.16,7.78,87.29,0,100.81,0,9.43,163.3,31.3,0,7.78,32.9,24.19,96.77,21.77,2.42,3.99,0,0,0,0,0,0,0,67.5,22.5

3,00:30-00:45,61,0,17.01,61,25.34,22.5,0,0,0,0,193.54,17.5,227,273.62,66.36,0,5.91,0,0,5.16,24.08,87.29,0,100.81,0,9.43,163.3,31.3,0,24.08,32.9,24.19,96.77,21.77,2.42,3.99,0,0,0,0,0,0,0,67.5,22.5

4,00:45-01:00,59.67,0,16.61,59.67,25.34,22.66,0,0,0,0,193.54,17.5,227,273.62,66.36,0,5.91,0,0,5.16,24.08,79.63,0,100.81,0,9.43,163.3,31.3,0,24.08,32.9,24.19,96.77,21.77,2.42,3.99,0,0,0,0,0,0,0,68,22.67

5,01:00-01:15,59,0,16.21,59,25,22.84,0,0,0,0,0,17.5,227,273.62,66.36,0,5.91,0,0,5,24.08,79.63,0,100.81,0,9.33,163.3,31.3,0,24.08,32.9,24.19,96.77,21.77,2.42,3.99,0,0,0,0,0,0,0,68.5,22.83

6,01:15-01:30,58.67,0,15.81,58.67,25,23.16,0,0,0,0,0,17.5,227,273.62,70.54,0,5.91,0,0,5,24.08,76.73,0,100.81,0,9.33,163.3,31.3,0,24.08,32.9,24.19,96.77,21.77,2.42,3.99,0,0,0,0,0,0,0,69.5,23.17

