Column1,Block,NR/2025/25267/A/53851,NR/2025/25266/A/53848,NR/2025/25265/A/53850,GNA/WR/2025/01/01/9606,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/16/1676,NR/30092023/31122025/SH-07,GNA/NR/2025/02/16/1380,GNA/SR/2025/02/01/6460,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/01/9969,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/2143,GNA/WR/2024/11/01/4200,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/4863,WR/2025/26047/A/53782,NR/2025/24882/A/53508,NR/2025/25294/C,GNA/WR/2025/01/01/8625,NR/2025/24992/A/53498,NR/2025/25070/A/53784,NR/2025/25295/C,NR/2024/24418/A/53510,NR/30092023/26122029/SH-06,Total
,,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,APPCPL,NDMC,PTC,BAWANA_GAS,PTC,APPCPL,DELHI,NDMC,APPCPL,NDMC,MANIKARAN,NDMC,NDMC,APPCPL,IEXL,SJVNL,TPTCL,IEXL,NVVNL,SJVNL,ITCLH,PUNJAB,
,,NA,NA,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,DELHI_UT,NA,DELHI_UT,NA,NA,DELHI_UT,TELANGANA_State,NA,DELHI_UT,KARNATAKA_STATE,NA,NA,ANDHRA_PRADESH_STATE,DELHI_UT,
,,TCSPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,BYPL,TRN_ENERGY,BRPL,BAWANA_GAS,BYPL,BYPL,CHANJUII,JPL2,BYPL,RKM_POWER,BRPL,RKM_POWER,SKS_Raigarh,BRPL,NSLKSLWPRTY,RSRPL_BKN,BYPL,NSLSUGARALAND,JIPL,TPSL_BKN2,ITCWIND,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,HIMACHAL_STATE,HARYANA_STATE,HIMACHAL_STATE,KERALA_State,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,
,,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,AEML,NDMC,HP,HARYANA,HP,KSEB,TPDDL,NDMC,KSEB,NDMC,AEML,NDMC,NDMC,GOA_Beneficiary,MES_Delhi,NDMC,TPC_MSEB,MES_Delhi,NDMC,NDMC,ITCLH,PUNJAB,
,,North-North,North-North,North-North,North-West,West-North,North-North,North-North,North-North,North-West-South,North-North,West-North,North-West-South,West-North,North-West,West-North,West-North,North-West,South-West-North,North-North,North-West,South-West-North,East-North,North-North,South-West-North,North-North,
1,00:00-00:15,0,0,0,0,8.64,23.78,26.99,7.93,75,1.29,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.64

2,00:15-00:30,0,0,0,0,8.64,23.78,26.99,7.93,75,1.29,23.04,0,23.04,0,23.04,8.64,0,2.88,0,0,6.72,17.28,0,0.38,26.99,275.64

