Block,Time,CHAMERA2,URI2,UNCHAHAR2,UNCHAHAR1,SINGRAULI_HYDRO,TEHRI,SINGRAULI,UNCHAHAR4,TANDA2,UNCHAHAR3,DADRT2,JHAJJAR,KOTESHWR,SEWA2,DULHASTI,RIHAND3,CHAMERA3,PARBATI3,KOLDAM,DHAULIGNGA,RAMPUR,RIHAND2,NJPC,RIHAND1,KISHANGANGA,NAPP,RAPPC,CHAMERA1,BSIUL,TANAKPUR,URI,RAPPB,SALAL,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,TALST2,VALLURNTECL,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,SIMHST2,RSTPSU1TO6,RSTPSU7,SIMHST1,KUDGI,MAPS,NLCEXP,NLCIIST1,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,VSTPS I,VSTPS II,VSTPS III,VSTPS IV,VSTPS V,LARA-I,MOUDA,SIPAT I,SIPAT II,SOLAPUR,MOUDA_II,TAPS-II,SASAN,GADARWARA-I,KHARGONE-I,KSTPS I&II,KSTPS7,KAPS,GANDHAR-APM,GANDHAR-NAPM,GANDHAR-RLNG,GANDHAR-ComGas,KAWAS-APM,KAWAS-NAPM,KAWAS-RLNG,KAWAS-zLIQ,KAWAS-ComGas
1,00:00-00:15,43.635161,35.652699,43.545976,20.904657,1.095648,27.555228,144.026761,1.427606,2.525983,26.963602,689.353782,503.902592,18.063253,17.179061,53.905351,126.520838,31.709733,0,4.25586,9.915135,0.975221,120.694688,50.57455,94.319982,2.551476,21.485043,59.009958,42.14808,19.6614,0,50.784,0,53.452,0,70.283948,0,0,0,37.321136,0,0,0,87.562894,0,0,3.03,2.38,3.42,0.42,0.88,0.21,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.25,0.82,0.84,20.0018,18.07,0,147.515625,43.704,2.384634,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542467,3.511691,2.793398,348.975,4.2939,3.542468,2.935491,1.341844,0.819241,0,0,0.022481,0,0,0,0.019815,0,0

2,00:15-00:30,43.635161,35.652699,43.545976,20.904657,1.095648,27.555228,144.026761,1.427606,2.525983,26.963602,689.353782,503.902592,18.063253,17.179061,53.905351,126.520838,31.709733,0,4.25586,9.915135,0.975221,120.694688,50.57455,94.319982,2.551476,21.485043,59.009958,42.14808,19.6614,0,50.784,0,53.452,0,70.283948,0,0,0,37.321136,0,0,0,87.562894,0,0,3.03,2.38,3.42,0.42,0.88,0.21,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.25,0.82,0.84,20.0018,18.07,0,147.515625,43.704,2.384634,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542467,3.511691,2.793398,348.975,4.2939,3.542468,2.935491,1.341844,0.819241,0,0,0.022481,0,0,0,0.019815,0,0

3,00:30-00:45,43.635161,35.652699,43.545976,20.904657,1.095648,27.555228,144.026761,1.427606,2.525983,26.963602,689.353782,503.902592,18.063253,17.179061,53.905351,126.520838,31.709733,0,3.191895,9.915135,0.975221,120.694688,50.57455,94.319982,2.551476,21.485043,59.009958,42.14808,19.6614,6.0207,50.784,0,53.452,0,70.283948,0,0,0,37.321136,0,0,0,87.562894,0,0,3.03,2.38,3.42,0.42,0.88,0.21,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.25,0.82,0.84,20.0018,18.07,0,147.515625,43.704,2.384634,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542467,3.511691,2.793398,348.975,4.2939,3.542468,2.935491,1.341844,0.819241,0,0,0.022481,0,0,0,0.019815,0,0

4,00:45-01:00,43.635161,35.652699,43.545976,20.904657,1.095648,27.555228,144.026761,1.427606,2.525983,26.963602,689.353782,503.902592,8.712864,17.179061,53.905351,126.520838,31.709733,0,2.12793,9.915135,0.975221,120.694688,50.57455,94.319982,2.551476,21.485043,59.009958,42.14808,19.6614,6.0207,52.992,0,53.452,0,70.283948,0,0,0,37.321136,0,0,0,87.562894,0,0,3.03,2.38,3.42,0.42,0.88,0.21,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.25,0.82,0.84,20.0018,18.07,0,147.515625,43.704,2.384634,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542467,3.511691,2.793398,348.975,4.2939,3.542468,2.935491,1.341844,0.819241,0,0,0.022481,0,0,0,0.019815,0,0

5,01:00-01:15,43.635161,35.068228,43.545976,20.904657,1.095648,27.555228,144.026761,1.427606,2.525983,26.963602,689.353782,503.902592,8.712864,17.179061,53.905351,126.520838,31.709733,0,2.020459,9.915135,0.975221,120.694688,50.57455,94.319982,2.551476,21.485043,59.009958,42.14808,19.6614,5.8926,52.992,0,53.452,0,70.283948,0,0,0,37.321136,0,0,0,87.562894,0,0,3.03,2.38,3.42,0.42,0.88,0.21,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.25,0.82,0.84,18.9028,18.07,0,147.515625,43.704,2.384634,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542467,3.511691,2.793398,348.975,4.2939,3.542468,2.935491,1.341844,0.819241,0,0,0.022668,0,0,0,0.019815,0,0

6,01:15-01:30,43.635161,35.068228,43.545976,20.904657,1.095648,27.555228,144.026761,1.427606,2.525983,26.963602,689.353782,503.902592,8.712864,17.179061,53.905351,126.520838,31.709733,0,1.063965,9.915135,0.975221,120.694688,50.57455,94.319982,2.551476,21.485043,59.009958,28.09872,19.6614,5.8926,50.784,0,53.452,0,70.283948,0,0,0,37.321136,0,0,0,87.562894,0,0,3.03,2.38,3.42,0.42,0.88,0.21,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.25,0.82,0.84,18.9028,18.07,0,147.515625,43.704,2.384634,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542467,3.511691,2.793398,348.975,4.2939,3.542468,2.935491,1.341844,0.819241,0,0,0.022668,0,0,0,0.019815,0,0

