Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/28129/C,NR/2025/26889/A/78260,NR/2025/27361/A/77953,NR/2025/28130/C,NR/2025/28042/C,NR/2025/26561/A/78238,NR/2025/27725/A/78216,NR/2025/28144/C,NR/2025/28049/C,NR/2025/27088/A/78267,NR/2025/28117/C,NR/2025/27393/A/77952,NR/2025/28146/C,NR/2025/28123/C,NR/2025/28147/C,NR/2025/27242/A/78193,NR/2025/28124/C,NR/2025/28148/C,NR/2025/27724/A/77923,NR/2025/28149/C,NR/2025/26085/A/77789,SR/2025/17372/C,NR/2025/26860/A/78161,NR/2025/28097/C,NR/2025/27360/A/77954,NR/2025/27727/A/78209,NR/2025/28095/C,NR/2025/27499/A/78259,NR/2025/28091/C,NR/2025/28092/C,NR/2025/26777/A/77915,NR/2025/26445/A/78271,NR/2025/28063/C,NR/2025/27167/A/78195,GNA/NR/2025/06/01/2868,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7782,NR/2025/26861/A/78237,GNA/NR/2025/06/01/9719,NR/2025/27728/A/78210,NR/2025/27462/A/77822,NR/2025/27359/A/77955,NR/2025/27726/A/78213,NR/2025/27281/A/78309,NR/2025/27782/A/78208,NR/2025/27157/A/77841,GNA/NR/2025/06/01/7786,NR/2025/27162/A/78218,NR/2025/26785/A/77843,NR/2025/26975/A/78220,NR/2025/26564/A/78240,NR/2025/26570/A/78242,GNA/NR/2025/06/01/2569,NR/2025/26563/A/78239,NR/2025/26569/A/78241,GNA/NR/2025/06/01/7762,NR/30092023/31122025/SH-07,NR/2025/26952/A/77848,GNA/NR/2025/06/01/4444,NR/2025/28131/C,NR/2025/27168/A/78198,GNA/NR/2025/06/01/5280,NR/30092023/26122029/SH-06,NR/2025/27356/A/77956,NR/2025/27622/A/77821,Total
,,SECI_Trader,NVVNL,HPXL,BRPL,NVVNL,MANIKARAN,PowerPulse,APPCPL,APPCPL,IEXL,NVVNL,INSTINCT,BRPL,APPCPL,APPCPL,APPCPL,GMRETL,APPCPL,APPCPL,DIAPL,APPCPL,ITCLH,IEXL,BRPL,BRPL,BRPL,APPCPL,PowerPulse,HPXL,PowerPulse,PowerPulse,INSTINCT,NVVNL,PXIL,PTC,NDMC,DELHI,MANIKARAN,APPCPL,SIMHAPURI,APPCPL,PowerPulse,NVVNL,APPCPL,IEXL,BRPL,APPCPL,MANIKARAN,APPCPL,KEIPL,INSTINCT,APPCPL,IEXL,APPCPL,PowerPulse,PowerPulse,PTC,PowerPulse,PowerPulse,PTC,BAWANA_GAS,PXIL,PowerPulse,NVVNL,PTC,KEIPL,PUNJAB,BRPL,IEXL,
,,NA,NA,MSEB_State,NA,NA,CSEB_State,NA,NA,NA,NA,NA,NA,NA,NA,Manipur_State,NA,HIMACHAL_STATE,CSEB_State,NA,HIMACHAL_STATE,NA,ANDHRA_PRADESH_STATE,DELHI_UT,NA,NA,NA,NA,NA,JK_and_LADAKH_UT,NA,NA,NA,NA,NA,GoHP_Chamera1_STATE,NA,HIMACHAL_STATE,MP_State,NA,NA,CSEB_State,NA,NA,NA,MSEB_State,NA,NA,CSEB_State,NA,CSEB_State,NA,CSEB_State,NA,Manipur_State,NA,NA,TELANGANA_State,NA,NA,ODISHA_STATE,DELHI_UT,NA,NA,NA,GoHP_Rampur_STATE,CSEB_State,DELHI_UT,NA,NA,
,,APSEPL_FTG,Kameng,GRETAENERGY,RIHAND3,SORANG_HEP,CSEB_Beneficiary,APL_Raipur_TPP,SKS_Raigarh,SKS_Raigarh,MBMP,ILFS,JPL2,DADRT2,RKM_POWER,Manipur_Ben,JPL2,GBHHPL,CSEB_Beneficiary,TRN_ENERGY,GBHHPL,RKM_POWER,ITCWIND,BYPL,JPL2,JPL2,RIHAND2,JPL2,APL_Raipur_TPP,O2Z,MAHAN_ENERGEN,APL_Raigarh_TPP,JPL2,JPNIGRIE_JNSTPP,MBMP,GoHP_Chamera1,JIPL,CHANJUII,BLAPOWER_MP,DBPL,SIMHAPURI,CSPDCL,COASTGEN,JHABUA_IPP,RKM_POWER,JSWEL_MSEB,RIHAND1,RKM_POWER,CSEB_Beneficiary,TRN_ENERGY,CSEB_Beneficiary,SIMHAPURI,CSEB_Beneficiary,MBMP,Manipur_Ben,MAHAN_ENERGEN,APL_Raigarh_TPP,NAVABHARAT,MAHAN_ENERGEN,APL_Raigarh_TPP,NBVL_OTCL,BAWANA_GAS,MBMP,COASTGEN,ILFS,GoHP_Rampur,CSPDCL,BAWANA_GAS,TS1PL_BKN,TPSL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,
,,TPDDL,TPDDL,BYPL,BRPL,TPDDL,BYPL,TPDDL,NDMC,NDMC,NDMC,BRPL,BRPL,BRPL,NDMC,BYPL,NDMC,BRPL,BYPL,NDMC,DIAPL,NDMC,ITCLH,TANGEDCO,BRPL,BRPL,BRPL,NDMC,TPDDL,BYPL,TPDDL,TPDDL,BRPL,TPDDL,BRPL,BRPL,NDMC,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,MES_Delhi,BRPL,NDMC,BYPL,NDMC,BYPL,BRPL,BYPL,NDMC,BYPL,TPDDL,TPDDL,BRPL,TPDDL,TPDDL,BRPL,HARYANA,BRPL,BRPL,BRPL,BRPL,BRPL,PUNJAB,BRPL,MES_Delhi,
,,North-North,North East-East-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,North-North,West-North,North East-East-North,West-North,North-North,West-North,West-North,North-North,West-North,South-West-North,North-West-South,West-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,East-North,North-North,West-North,West-North,South-East-North,West-North,South-West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,North East-East-North,West-North,West-North,South-West-North,West-North,West-North,East-West-North,North-North,West-North,South-West-North,South-West-North,North-North,West-North,North-North,North-North,North-North,
1,00:00-00:15,0,146.06,5.79,38.61,31.85,0,144.78,8.77,0,0,164.08,0,111,0,0,0,0,0,0,10.62,0,0.68,130.3,90.25,0,28.96,26.32,0,8.69,0,0,164.08,96.52,0,20.75,28.96,11.08,20.75,41.02,41.02,11.89,164.08,20.75,26.32,9.65,33.78,26.32,24.85,8.77,217.07,41.02,55.92,0,27.03,0,0,53.57,144.78,144.78,20.75,32,0,0,0,20.75,11.9,32,0,0,2498.9200000000005

2,00:15-00:30,0,146.06,5.79,38.61,31.85,0,144.78,8.77,0,0,164.08,0,111,0,0,0,0,0,0,10.62,0,0.68,149.61,90.25,0,28.96,26.32,0,8.69,0,0,164.08,96.52,0,20.75,28.96,11.08,20.75,41.02,41.02,11.89,164.08,20.75,26.32,9.65,33.78,26.32,24.85,8.77,217.07,41.02,55.92,0,27.03,0,0,53.57,144.78,144.78,20.75,32,0,0,0,20.75,11.9,32,0,0,2518.2300000000005

