Block,Time,URI,RIHAND1,DADRI_RF,KISHANGANGA,RAPPB,AURY_LF,TANDA2,TEHRI,PARBATI3,ANTA_RF,TANAKPUR,JHAJJAR,DADRI_CRF,AURY_RF,CHAMERA3,AURY_CRF,KOLDAM,DADRI_GF,NJPC,RAMPUR,RIHAND2,CHAMERA1,UNCHAHAR2,SEWA2,NAPP,DADRI_LF,BSIUL,ANTA_CRF,DHAULIGNGA,DULHASTI,ANTA_GF,SINGRAULI_HYDRO,SINGRAULI,CHAMERA2,DADRT2,KOTESHWR,SALAL,UNCHAHAR3,RAPPC,AURY_GF,RIHAND3,ANTA_LF,URI2,UNCHAHAR4,UNCHAHAR1,BRBCL,SASAN,FSTPP I & II,KHSTPP-I,TALA,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,3.171571,88.099200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.490674,225.993600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.116500,0.000000,25.489110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.567886,118.143900,0.000000,337.075200,0.000000,1.335277,8.618400,52.010320,0.000000,118.422202,0.000000,4.637389,0.000000,0.000000,14.363958,400.700011,8.586895,20.381750,0.000000,141.260962,0,0,0,0,0

2,00:15-00:30,3.171571,88.099200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.490674,225.993600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.116500,0.000000,25.489110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.567886,118.143900,0.000000,337.075200,0.000000,1.335277,8.618400,52.010320,0.000000,118.422202,0.000000,5.152654,0.000000,0.000000,14.363958,401.014152,8.586895,20.381750,0.000000,141.260962,0,0,0,0,0

3,00:30-00:45,38.058854,88.099200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.490674,225.993600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.116500,0.000000,25.489110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.567886,118.143900,0.000000,337.075200,0.000000,12.240043,8.618400,52.010320,0.000000,118.422202,0.000000,23.702209,0.000000,0.000000,14.363958,401.014152,8.586895,20.381750,0.000000,141.260962,0,0,0,0,0

4,00:45-01:00,38.058854,88.099200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.490674,225.993600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.116500,0.000000,25.489110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.567886,118.143900,0.000000,337.075200,0.000000,67.876603,8.618400,52.010320,0.000000,118.422202,0.000000,23.702209,0.000000,0.000000,14.363958,401.014152,8.586895,20.381750,0.000000,122.620584,0,0,0,0,0

5,01:00-01:15,4.757357,88.099200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.490674,225.993600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.116500,0.000000,13.406400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.567886,118.143900,0.000000,337.075200,0.000000,67.876603,8.618400,52.010320,0.000000,118.422202,0.000000,23.702209,0.000000,0.000000,14.363958,401.014152,3.830400,20.381750,0.000000,122.620584,0,0,0,0,0

6,01:15-01:30,3.911604,88.099200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.490674,225.993600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.116500,0.000000,13.406400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.567886,118.143900,0.000000,337.075200,0.000000,12.240043,8.618400,52.010320,0.000000,118.422202,0.000000,23.702209,0.000000,0.000000,14.363958,401.014152,3.830400,20.381750,0.000000,122.620584,0,0,0,0,0

