Block,Time,BRBCL,KHSTPP-I,RSTPSU1TO6,SIMHST1,TANAKPUR,URI,AURY_RF,CHAMERA2,CHAMERA3,NLCTS2EXP,NTPL,UNCHAHAR2,UNCHAHAR4,URI2,AURY_CRF,KOLDAM,KOTESHWR,NJPC,RAPPC,RSTPSU7,SEWA2,SINGRAULI_HYDRO,TelanganaSTPP,UNCHAHAR3,AURY_GF,DADRI_CRF,DADRI_LF,CHAMERA1,JHAJJAR,KGSU3AND4,KKNPPU2,RIHAND2,SALAL,AURY_LF,BSIUL,DHAULIGNGA,KISHANGANGA,SASAN,UNCHAHAR1,ANTA_GF,ANTA_RF,KKNP,KUDGI,NLCEXP,NLCIIST1,RIHAND1,RIHAND3,SIMHST2,VALLURNTECL,ANTA_CRF,ANTA_LF,DADRI_GF,DADRT2,DULHASTI,KGSU1AND2,KHSTPP-II,MAPS,NNTPP,SINGRAULI,TALA,TEHRI,DADRI_RF,FSTPP I & II,NAPP,NLCIIST2,PARBATI3,RAMPUR,RAPPB,TALST2,TANDA2
21,05:00-05:15,18.68,45.53,0,0,0,0.45,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,0,26.01,0,0,0.65,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,0,0,418.77,19.98,0,44.52,0,0,0,0,92,62.16,0,0,0,0,0,683.14,0,0,148.3,0,0,139.69,0,25.2,90.42,20.8,43.79,0,0,0,0,0,0

22,05:15-05:30,19.34,45.53,0,0,0,0.45,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,0,26.01,0,0,0.65,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,0,0,418.77,19.98,0,44.52,0,0,0,0,92,62.16,0,0,0,0,0,683.14,0,0,148.3,0,0,139.69,0,37.8,90.42,20.8,43.79,0,0,0,0,0,0

23,05:30-05:45,19.34,45.53,0,0,0,0.45,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,0,26.01,0,0,0.69,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,0,0,418.77,19.98,0,44.73,0,0,0,0,92,62.16,0,0,0,0,0,683.14,16.48,0,148.3,0,0,139.69,0,37.8,90.42,20.8,43.79,0,0,0,0,0,0

24,05:45-06:00,19.34,45.53,0,0,0,0.45,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,20.84,26.01,0,0,0.69,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,0,0,418.77,19.98,0,44.73,0,0,0,0,92,62.16,0,0,0,0,0,683.14,16.48,0,148.3,0,0,139.69,0,37.8,90.42,20.8,43.79,0,0,0,0,0,0

25,06:00-06:15,20,45.53,0,0,0,0.45,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,41.67,26.01,0,0,0.69,0,0,0,0,0,0,434.65,0,0,118.76,9.29,0,0,0,0,418.77,19.98,0,44.73,0,0,0,0,92,62.16,0,0,0,0,0,682.78,16.48,0,148.3,0,0,139.69,0,37.8,90.42,20.8,43.79,0,3.57,0,0,0,0

26,06:15-06:30,20,45.53,0,0,0,0.45,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,58.05,26.01,0,5.27,0.69,0,0,0,0,0,0,434.65,0,0,118.76,55.77,0,0,0,0,418.77,19.98,0,44.73,0,0,0,0,92,62.16,0,0,0,0,0,682.78,16.48,0,148.3,0,0,139.69,0,50.4,90.42,20.8,43.79,0,16.54,0,0,0,0

27,06:30-06:45,20,45.53,0,0,0,0.45,70.81,5.33,9.68,0,0,42.39,0,4.31,0,0,17.75,83.33,26.01,0,10.53,0.69,0,0,0,0,0,13.2,434.65,0,0,118.76,55.77,0,2.2,0,0,418.77,19.98,0,44.73,0,0,0,0,92,62.16,0,0,0,0,0,682.79,32.96,0,148.3,0,0,139.69,0,50.4,90.42,20.8,43.79,0,16.54,0,0,0,0

