Block,Time,KOLDAM,TANDA2,DADRI_GF,RIHAND3,DADRI_LF,RAPPB,UNCHAHAR1,AURY_RF,AURY_CRF,RAMPUR,RIHAND1,SALAL,ANTA_GF,DADRT2,SEWA2,DHAULIGNGA,UNCHAHAR2,ANTA_CRF,JHAJJAR,ANTA_RF,RAPPC,AURY_LF,TEHRI,DADRI_RF,ANTA_LF,PARBATI3,SINGRAULI,BSIUL,KOTESHWR,RIHAND2,CHAMERA1,NJPC,URI,NAPP,KISHANGANGA,CHAMERA3,CHAMERA2,AURY_GF,URI2,DADRI_CRF,UNCHAHAR3,UNCHAHAR4,TANAKPUR,DULHASTI,SINGRAULI_HYDRO,KHSTPP-II,BRBCL,FSTPP I & II,SASAN,KHSTPP-I,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,4.484831,5.181808,0.000000,126.284015,0.000000,0.000000,21.885473,0.000000,0.000000,0.834066,93.862802,76.764742,0.000000,665.767062,18.182077,0.000000,43.429197,0.000000,652.616322,0.000000,66.565759,0.000000,9.632475,0.000000,0.000000,0.000000,145.054314,0.000000,8.919085,120.287898,40.761408,21.553150,4.270714,49.274509,5.377496,33.685305,46.904184,0.000000,30.907491,0.000000,26.729659,2.975081,0.123886,38.152355,0.754018,142.938927,18.303046,9.813164,404.992467,44.872550,0.000000,0,0,0,0,0

2,00:15-00:30,2.242416,5.181808,0.000000,126.284015,0.000000,0.000000,21.885473,0.000000,0.000000,0.834066,93.862802,76.764742,0.000000,665.767062,18.182077,0.000000,43.429197,0.000000,652.616322,0.000000,66.565759,0.000000,9.632475,0.000000,0.000000,0.000000,145.054314,0.000000,8.919085,120.287898,40.761408,21.553150,4.270714,49.274509,5.377496,33.685305,46.904184,0.000000,30.907491,0.000000,26.729659,2.988339,0.123886,38.152355,0.754018,142.938927,15.967729,9.813164,404.992467,44.872550,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,5.181808,0.000000,126.284015,0.000000,0.000000,21.885473,0.000000,0.000000,0.834066,93.862802,76.764742,0.000000,665.767062,18.709627,0.000000,43.429197,0.000000,652.616322,0.000000,66.565759,0.000000,10.171893,0.000000,0.000000,0.000000,145.054314,0.000000,8.919085,120.287898,40.761408,21.553150,32.030352,49.274509,5.377496,33.685305,46.904184,0.000000,30.907491,0.000000,26.729659,2.988339,0.123886,57.228532,0.754018,142.938927,14.179407,9.813164,404.992467,44.872550,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,5.181808,0.000000,126.284015,0.000000,0.000000,21.885473,0.000000,0.000000,0.834066,93.862802,76.764742,0.000000,665.767062,18.709627,0.000000,43.429197,0.000000,652.616322,0.000000,66.565759,0.000000,10.403071,0.000000,0.000000,0.000000,145.054314,0.000000,8.919085,120.287898,40.761408,21.553150,33.631870,49.274509,5.377496,33.685305,46.904184,0.000000,30.907491,0.000000,26.729659,2.988339,0.123886,57.228532,0.754018,142.938927,13.641690,9.813164,404.992467,44.872550,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,5.181808,0.000000,126.284015,0.000000,0.000000,21.885473,0.000000,0.000000,0.834066,93.862802,74.168833,0.000000,665.767062,18.709627,0.000000,43.429197,0.000000,652.616322,0.000000,66.565759,0.000000,19.264948,0.000000,0.000000,0.000000,145.054314,0.000000,8.919085,120.287898,40.761408,21.553150,33.631870,49.274509,5.377496,33.685305,46.904184,0.000000,30.907491,0.000000,26.729659,2.988339,0.123886,57.228532,0.754018,142.938927,14.037717,9.813164,404.992467,44.872550,0.000000,0,0,0,0,0

