Block,Time,AURY_LF,BSIUL,RAMPUR,DADRI_GF,SINGRAULI,CHAMERA2,ANTA_GF,RAPPB,UNCHAHAR3,DADRT2,DADRI_CRF,CHAMERA1,PARBATI3,DADRI_RF,TANDA2,DADRI_LF,DULHASTI,ANTA_CRF,RAPPC,AURY_CRF,RIHAND3,NAPP,ANTA_LF,URI,URI2,SINGRAULI_HYDRO,UNCHAHAR2,RIHAND1,AURY_RF,DHAULIGNGA,SEWA2,KISHANGANGA,KHSTPP-II,FSTPP I & II,KHSTPP-I,BRBCL,TALA,SASAN,UNCHAHAR4,NJPC,KOTESHWR,TEHRI,RIHAND2,CHAMERA3,UNCHAHAR1,ANTA_RF,SALAL,TANAKPUR,KOLDAM,AURY_GF,JHAJJAR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,0.000000,0.000000,14.841750,361.072250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.852331,0.000000,51.910031,0.000000,59.511375,42.248745,0.000000,3.187800,5.179020,0.626029,22.917125,83.737500,0.000000,0.000000,0.000000,0.000000,96.499384,12.512500,29.101669,18.636144,0.000000,403.066125,0.000000,0.000000,0.000000,0.000000,113.695312,0.000000,7.516932,0.000000,2.236850,0.000000,0.000000,0.000000,231.000000,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,0.000000,0.000000,14.841750,361.072250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.852331,0.000000,51.910031,0.000000,59.511375,42.248745,0.000000,3.187800,5.179020,0.626029,22.917125,83.737500,0.000000,0.000000,0.000000,0.000000,78.925000,12.512500,24.640000,18.173054,0.000000,403.066125,0.000000,0.000000,0.000000,0.000000,113.695312,0.000000,7.516932,0.000000,2.236850,0.000000,0.000000,0.000000,231.000000,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,0.000000,0.000000,14.841750,361.072250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.852331,0.000000,51.910031,0.000000,59.511375,42.248745,0.000000,25.502400,16.054962,0.626029,22.917125,83.737500,0.000000,0.000000,0.000000,0.000000,78.925000,12.512500,24.640000,15.820895,0.000000,403.066125,0.000000,0.000000,0.000000,0.000000,113.695312,0.000000,7.516932,0.000000,2.236850,0.000000,0.000000,0.000000,231.000000,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,0.000000,0.000000,14.841750,361.072250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.852331,0.000000,51.910031,0.000000,59.511375,42.248745,0.000000,25.502400,16.054962,0.626029,22.917125,83.737500,0.000000,0.000000,0.000000,0.000000,78.925000,12.512500,24.640000,14.644211,0.000000,403.066125,0.000000,0.000000,0.000000,0.000000,113.695312,0.000000,7.516932,0.000000,2.236850,0.000000,0.000000,0.000000,231.000000,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,120.877969,0.000000,0.000000,0.000000,14.841750,361.072250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.852331,0.000000,51.910031,0.000000,59.511375,42.248745,0.000000,3.187800,16.054962,0.626029,22.917125,83.737500,0.000000,0.000000,0.000000,0.000000,78.925000,12.512500,24.640000,11.652986,0.000000,403.066125,0.000000,0.000000,0.000000,0.000000,113.695312,0.000000,7.516932,0.000000,2.236850,0.000000,0.000000,0.000000,231.000000,0,0,0,0,0

