Block,Time,BSIUL,CHAMERA3,DADRT2,NJPC,RSTPSU1TO6,AURY_LF,DADRI_GF,CHAMERA2,KGSU1AND2,KHSTPP-II,NLCIIST2,NTPL,RAPPC,RIHAND1,TALA,TelanganaSTPP,DHAULIGNGA,JHAJJAR,KHSTPP-I,NLCIIST1,NLCTS2EXP,SEWA2,TANAKPUR,UNCHAHAR4,DADRI_RF,KISHANGANGA,MAPS,PARBATI3,RIHAND3,SIMHST1,UNCHAHAR1,ANTA_GF,ANTA_RF,AURY_CRF,DULHASTI,KOTESHWR,KUDGI,NLCEXP,RAMPUR,SINGRAULI,TEHRI,URI2,VALLURNTECL,ANTA_CRF,CHAMERA1,FSTPP I & II,KOLDAM,NAPP,RSTPSU7,SALAL,SASAN,SIMHST2,SINGRAULI_HYDRO,TALST2,ANTA_LF,BRBCL,KGSU3AND4,KKNP,RAPPB,RIHAND2,UNCHAHAR3,URI,AURY_GF,AURY_RF,DADRI_CRF,KKNPPU2,NNTPP,TANDA2,UNCHAHAR2,DADRI_LF
1,00:00-00:15,6.52,0,683.14,0,0,0,0,0,0,148.3,0,0,25.51,72,0,0,0,434.65,45.53,0,0,15.81,0,0,59.73,0,0,0,62.16,0,20.55,0,43.05,0,16.48,8.87,0,0,0,139.69,0,24.21,0,0,0,18.2,0,23.81,0,69.72,339.75,0,0.75,0,0,20,0,0,0,118.76,26.4,36.43,0,70.04,0,0,0,0,42.39,0

2,00:15-00:30,6.52,0,683.14,0,0,0,0,0,0,148.3,0,0,25.51,72,0,0,0,434.65,45.53,0,0,15.81,0,0,59.73,0,0,0,62.16,0,20.55,0,43.05,0,16.48,8.87,0,0,0,139.69,0,24.21,0,0,0,18.2,0,23.81,0,69.72,339.75,0,0.75,0,0,20,0,0,0,118.76,26.4,36.43,0,70.04,0,0,0,0,42.39,0

3,00:30-00:45,6.52,0,683.14,0,0,0,0,0,0,148.3,0,0,25.51,72,0,0,0,434.65,45.53,0,0,15.81,5.76,0,59.73,0,0,0,62.16,0,20.55,0,43.05,0,16.48,8.87,0,0,0,139.69,0,24.21,0,0,0,18.2,0,23.81,0,69.72,339.75,0,0.75,0,0,20,0,0,0,118.76,26.4,36.43,0,70.04,0,0,0,0,42.39,0

4,00:45-01:00,6.52,0,683.14,0,0,0,0,0,0,148.3,0,0,25.51,72,0,0,0,434.65,45.53,0,0,15.81,5.76,0,59.73,0,0,0,62.16,0,20.55,0,43.05,0,16.48,8.87,0,0,0,139.69,0,24.21,0,0,0,18.2,0,23.81,0,69.72,339.75,0,0.75,0,0,20,0,0,0,118.76,26.4,36.43,0,70.04,0,0,0,0,42.39,0

5,01:00-01:15,6.52,0,683.14,0,0,0,0,0,0,148.3,0,0,25.51,72,0,0,0,434.65,45.53,0,0,15.81,5.76,0,59.73,0,0,0,62.16,0,20.55,0,43.05,0,16.48,8.87,0,0,0,139.69,0,24.21,0,0,0,18.2,0,23.81,0,69.72,339.75,0,0.75,0,0,20,0,0,0,118.76,26.4,36.43,0,70.04,0,0,0,0,42.39,0

