Column1,Time,NR/26072023/25122043/L_NR_2023_10,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,GNA/NR/2025/08/01/4452,GNA/NR/2025/06/07/5932,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/5784,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5126,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/01/1044,GNA/NR/2025/08/01/6209,GNA/NR/2025/07/01/2952,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/6187,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/8128,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/08/01/1196,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,GNARE/SR/2025/01/13/4532
1,00:00-00:15,0,0,0,0,0,0,0,0,20.67,0,25,20.67,61.99,59,0,59,15.3,-0,0,96.53,7.95,107.31,14.62,20.83,14.62,48.26,24.13,130.61,2.78,48.26,4.02,24.13,29.03,0,87.07,12.69,0,0,0,26.25,19.31,100.56,271.49,0,11.36,0,0,0,0,2.6

2,00:15-00:30,0,0,0,0,0,0,0,0,21.17,0,24.67,21.17,63.49,58.67,0,58.66,15.3,-0,0,96.53,7.95,98.79,14.62,20.83,14.62,48.26,24.13,130.61,2.78,48.26,4.02,24.13,29.03,0,87.07,12.69,0,0,0,26.25,19.31,100.56,271.49,0,11.36,0,0,0,0,2.6

3,00:30-00:45,0,0,0,0,0,0,0,0,21.5,0,24.33,21.5,64.5,59,0,59,15.3,-0,0,96.53,7.95,90.27,14.62,20.83,14.62,48.26,24.13,130.61,2.78,48.26,4.02,24.13,29.03,0,87.07,12.69,0,0,0,27.25,19.31,100.56,271.49,0,11.36,0,0,0,0,2.8

4,00:45-01:00,0,0,0,0,0,0,0,0,21.67,0,23.67,21.67,64.99,59.33,0,59.34,15.3,-0,0,96.53,7.95,81.76,14.62,20.83,14.62,48.26,24.13,130.61,2.78,48.26,4.02,24.13,29.03,0,87.07,12.69,0,0,0,27.25,19.31,100.56,271.49,0,11.36,0,0,0,0,3

5,01:00-01:15,0,0,0,0,0,0,0,0,19.67,0,23.33,19.67,58.99,59,0,59,15.3,-0,0,96.53,7.95,73.25,14.62,20.83,14.62,48.26,24.13,130.61,3.25,48.26,4.02,24.13,29.03,0,87.07,12.69,0,0,0,27.25,19.31,100.56,271.49,0,11.36,0,0,0,0,3.2

