Column1,Block,NR/2025/26335/A/72564,WR/2025/29275/C,NR/2025/26879/A/72836,NR/2025/26888/C,NR/2025/26941/C,NR/2025/26153/A/72429,NR/2025/26885/C,NR/2025/26291/A/72919,NR/2025/25967/A/72840,NR/2025/26336/A/72562,NR/2025/26082/A/72917,NR/2025/26919/C,NR/2025/26822/A/73002,NR/2025/26825/A/73001,NR/2025/26005/A/72462,NR/2025/26944/C,NR/2025/26829/A/72998,NR/2025/26828/A/72999,NR/2025/26884/C,NR/2025/26945/C,NR/2025/26827/A/73000,NR/2025/26232/A/72924,NR/2025/25861/A/72829,NR/2025/26931/C,NR/2025/26929/C,NR/2025/26950/C,NR/2025/25860/A/72828,NR/2025/26933/C,NR/2025/26202/A/72906,NR/2025/26289/A/72921,NR/2025/26951/C,NR/2025/25859/A/72827,NR/2025/26934/C,NR/2025/26191/A/72459,NR/2025/26953/C,NR/2025/26101/A/72502,NR/2025/26954/C,NR/2025/26265/A/72926,NR/2025/26233/A/72925,GNA/NR/2025/05/01/4138,NR/2025/26955/C,NR/2025/26917/C,NR/2025/26886/C,NR/2025/26379/A/72838,NR/2025/26887/C,NR/2025/26939/C,NR/2025/26785/A/72714,NR/2025/26689/A/72523,NR/2025/26085/A/72417,NR/2025/26004/A/72461,NR/2025/26958/C,GNARE/NR/2024/12/20/3668,NR/2025/26755/A/72382,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/6160,Total
,,BRPL,IEXL,BRPL,HPXL,NVVNL,IEXL,HPXL,HPXL,PowerPulse,BRPL,NVVNL,IEXL,APPCPL,APPCPL,PXIL,NVVNL,APPCPL,APPCPL,HPXL,NVVNL,APPCPL,HPXL,PowerPulse,IEXL,TPDDL,APPCPL,PowerPulse,GEPL_Trader,NVVNL,HPXL,APPCPL,PowerPulse,GEPL_Trader,PXIL,APPCPL,GMRETL,APPCPL,HPXL,HPXL,PowerPulse,APPCPL,PowerPulse,HPXL,PowerPulse,HPXL,PXIL,IEXL,DIAPL,ITCLH,PXIL,GEPL_Trader,SECI_Trader,IEXL,BAWANA_GAS,DELHI,PUNJAB,HPXL,PXIL,PXIL,PXIL,HPXL,HPXL,PXIL,PowerPulse,SIMHAPURI,JPL,NDMC,PXIL,IEXL,IEXL,PXIL,
,,NA,DELHI_UT,NA,GEB_State,NA,TAMILNADU_State,NA,MP_State,NA,NA,NA,TAMILNADU_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,GEB_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,GEB_State,NA,NA,NA,MP_State,NA,GEB_State,NA,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,MSEB_State,ODISHA_STATE,UTTARPRADESH_STATE,Meghalaya_State,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,CSEB_State,JK_and_LADAKH_UT,ODISHA_STATE,ODISHA_STATE,
,,TS1PL_BKN,TPDDL,RIHAND3,PCBL_MUNDRA,JPNIGRIE_JNSTPP,SURYADEV_ALLOYSTN,SIMHAPURI,Ultratech_Sidhi_MP,MAHAN_ENERGEN,DADRT2,SKS_Raigarh,SURYADEV_ALLOYSTN,SKS_Raigarh,RKM_POWER,SKS_Raigarh,Kameng,RKM_POWER,TRN_ENERGY,JPL,SORANG_HEP,JPL2,PCBL_PALEJ,APL_Raipur_TPP,MBMP,JHAJJAR,SKS_Raigarh,APL_Raipur_TPP,SORANG_HEP,JPNIGRIE_JNSTPP,SIMHAPURI,RKM_POWER,APL_Raipur_TPP,DIKCHU,JPNIGRIE_JNSTPP,JPL2,GBHHPL,TRN_ENERGY,JPL,PCBL_MUNDRA,COASTGEN,RKM_POWER,COASTGEN,Ultratech_Sidhi_MP,COASTGEN,PCBL_PALEJ,JPNIGRIE_JNSTPP,MBMP,GBHHPL,ITCWIND,ILFS,DIKCHU,APSEPL_FTG,TPSL_BKN2,BAWANA_GAS,CHANJUII,BAWANA_GAS,GRETAENERGY,FACORPOWER,LAPL_UP,Meghalaya_Ben,JPL,KGEPL_HP,SINGOLI,APL_Raipur_TPP,SIMHAPURI,JPL2,JIPL,SKSIPL,O2ZTPL,VSL,FACORPOWER,
,,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,AEML,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,BYPL,BRPL,NDMC,NDMC,BYPL,TPDDL,NDMC,NDMC,BRPL,TPDDL,NDMC,BRPL,TPDDL,NDMC,TPDDL,NDMC,TPDDL,BYPL,TPDDL,BRPL,NDMC,TPDDL,BYPL,BRPL,NDMC,TPDDL,NDMC,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,DIAPL,ITCLH,BYPL,BYPL,TPDDL,MES_Delhi,HARYANA,TPDDL,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,
,,North-North,North-West,North-North,West-North,West-North,South-West-North,South-West-North,West-North,West-North,North-North,West-North,South-West-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,West-North,South-West-North,West-North,West-North,East-North,West-North,West-North,North-North,West-North,West-North,West-North,South-East-North,West-North,South-West-North,West-North,South-West-North,West-North,West-North,West-North,North-North,South-West-North,South-West-North,East-North,North-North,North-North,North-North,North-North,North-North,West-North,East-North,North-North,North East-East-North,West-North,North-North,North-North,West-North,South-West-North,West-North,East-North,West-North,North-North,East-North,East-North,
1,00:00-00:15,0,48.15,33.7,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,0,37.2,4.82,0,0,158.52,0,144.45,48.15,96.3,48.15,0,96.3,79.93,48.15,0,0,0,96.3,4.82,0,0,0,0,192.6,0,0,0,6.74,0.77,48.15,8.4,0,0,32,10.51,32,5.78,14.44,28.89,67.41,0,13.48,28.89,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2551.3600000000006

2,00:15-00:30,0,48.15,33.7,0,0,62.6,0,24.08,192.6,221.49,47.19,0,12.4,37.2,48.15,54.1,37.2,12.4,0,0,37.2,4.82,0,0,158.52,0,144.45,48.15,96.3,48.15,0,96.3,79.93,48.15,0,0,0,96.3,4.82,0,0,0,0,192.6,0,0,0,6.74,0.77,48.15,8.4,0,0,32,10.51,32,5.78,14.44,28.89,67.41,0,13.48,28.89,192.6,24.08,96.3,28.94,10.59,0,0,14.44,2551.3600000000006

