Block,Time,BRBCL,BSIUL,FSTPP I & II,MAPS,NLCTS2EXP,SASAN,TALA,TANAKPUR,UNCHAHAR4,VALLURNTECL,AURY_LF,KKNPPU2,RAPPC,RIHAND2,SIMHST2,ANTA_LF,AURY_RF,CHAMERA2,NAPP,NLCIIST1,NNTPP,RSTPSU1TO6,SALAL,TEHRI,DADRI_CRF,KISHANGANGA,KOLDAM,RAMPUR,SINGRAULI,UNCHAHAR1,UNCHAHAR2,AURY_CRF,CHAMERA3,DADRT2,JHAJJAR,KGSU3AND4,KOTESHWR,NLCEXP,NTPL,RAPPB,RIHAND3,SIMHST1,TALST2,TelanganaSTPP,URI2,ANTA_GF,ANTA_RF,KHSTPP-II,PARBATI3,RSTPSU7,UNCHAHAR3,URI,CHAMERA1,DHAULIGNGA,DULHASTI,KGSU1AND2,KUDGI,NLCIIST2,SINGRAULI_HYDRO,ANTA_CRF,AURY_GF,KHSTPP-I,KKNP,NJPC,RIHAND1,SEWA2,TANDA2,DADRI_GF,DADRI_LF,DADRI_RF
1,00:00-00:15,15,0,20.8,0,0,416.25,10.76,13.06,0,0,0,0,51.52,118.76,0,0,68.96,2,40.47,0,0,0,52.28,46.69,0,0,0,0,138.75,20.56,42.4,0,9.68,341.57,474.31,0,8.87,0,0,0,124.32,0,0,0,26.9,0,28.35,140.56,0,0,0,6.63,14.05,18.23,49.43,0,0,0,0,0,0,44.92,0,70.17,46,0,0,0,21.92,66.85

2,00:15-00:30,15,0,20.8,0,0,416.25,10.76,13.06,0,0,0,0,51.52,118.76,0,0,68.96,2,40.47,0,0,0,52.28,46.69,0,0,0,0,138.75,20.56,42.4,0,9.68,341.57,474.31,0,8.87,0,0,0,124.32,0,0,0,26.9,0,28.35,140.56,0,0,0,6.63,0,18.23,49.43,0,0,0,0,0,0,44.92,0,70.17,46,0,0,0,21.92,66.85

3,00:30-00:45,15,0,20.8,0,0,416.25,11.2,13.06,0,0,0,0,51.52,118.76,0,0,68.96,2,40.47,0,0,0,52.28,46.69,0,0,0,0,138.75,20.56,42.4,0,9.68,341.57,474.31,0,8.87,0,0,0,124.32,0,0,0,26.9,0,28.35,140.56,0,0,0,6.63,0,10.44,49.43,0,0,0,0,0,0,44.92,0,70.17,46,0,0,0,21.92,66.85

4,00:45-01:00,15,0,20.8,0,0,416.25,11.2,13.06,0,0,0,0,51.52,118.76,0,0,68.96,2,40.47,0,0,0,52.28,31.13,0,0,0,0,138.75,20.56,42.4,0,9.68,341.57,474.31,0,8.87,0,0,0,124.32,0,0,0,26.9,0,28.35,140.56,0,0,0,6.63,0,10.44,49.43,0,0,0,0,0,0,44.92,0,70.17,46,0,0,0,21.92,66.85

5,01:00-01:15,15,0,20.8,0,0,416.25,11.2,13.06,0,0,0,0,51.52,118.76,0,0,68.96,2,40.47,0,0,0,52.28,31.13,0,0,0,0,138.75,20.56,42.4,0,9.68,341.57,474.31,0,8.87,0,0,0,124.32,0,0,0,8.75,0,28.35,140.56,0,0,0,6.63,0,10.44,49.43,0,0,0,0,0,0,44.92,0,70.17,46,0,0,0,21.92,66.85

