Time,Block,NR/01082024/31082024/jitpl,NR/01082024/30082024/	NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/15082024/APL-Raigarh,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/31082024/SKS-Raigarh,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/2024/21860/A/30183,NR/2024/22191/C,NR/2024/21956/A/30240,NR/2024/21971/A/30193,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/2024/21868/A/30029,NR/2024/21871/A/30028,NR/2024/22190/C,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/14082046/L_NR_2021_16,NR/2024/22080/A/30040,NR/2024/21875/A/30021,NR/2024/21909/A/30173,NR/2024/21966/A/30052,NR/2024/21872/A/30031,NR/2024/21938/A/30223,NR/2024/21954/A/30234,NR/2024/21983/A/29985,NR/2024/21961/A/30195,NR/2024/22010/A/30283,NR/2024/21876/A/30024,NR/2024/22014/A/29931,NR/01102023/02012046/L_NR_2021_17,NR/2024/21970/A/30192,NR/01102023/23072042/L_NR_2012_04,NR/2024/21943/A/30233,NR/2024/21870/A/30027,NR/2024/21940/A/30237,NR/2024/22198/C,NR/2024/21932/A/30006,NR/02082024/02082024/HPX-TAMCTG-010824-01953,NR/2024/21873/A/30020,NR/2024/22081/A/30182,NR/2024/21869/A/30030,NR/2024/22204/C,NR/2024/21974/A/30196,NR/2024/22205/C,NR/2024/21968/A/30191,NR/2024/22206/C,NR/2024/21918/A/30286,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/22214/C,NR/2024/21814/A/30197,NR/2024/22202/C,NR/2024/21658/A/29935,NR/2024/22042/A/30033,Total
,,DELHI,DELHI,AEL,INSTINCT,APPCPL,DELHI,PUNJAB,BAWANA_GAS,TPDDL,NVVNL,APPCPL,NVVNL,TPTCL,JHPL-DL,MHIL,NVVNL,MEJA,SECI_Trader,DIAPL,BAL224,AEL,INSTINCT,MSSH,PTC,APPCPL,TPTCL,PTC,MANIKARAN,BAL234,IEXL,SECI_Trader,NVVNL,TPTCL,APPCPL,BMDRC,APPCPL,IEXL,DTCP,HPXL,BAL184,TPDDL,UHL,IEXL,NVVNL,PXIL,NVVNL,IEXL,MANIKARAN,DELHI,IEXL,NVVNL,IEXL,ITCLH,IEXL,Total

,,NA,MAHARASHTRA,NA,NA,ARUNACHAL PRADESH,NA,DELHI,DELHI,NA,NA,KERALA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,UTTAR PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MANIPUR,NA,HIMACHAL PRADESH,GOA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,MAHARASHTRA,HIMACHAL PRADESH,UTTARAKHAND,DVC,HIMACHAL PRADESH,KARNATAKA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,KARNATAKA,NA,ODISHA,NA,DVC,MAHARASHTRA,HIMACHAL PRADESH,MP,NA,NA,ANDHRA PRADESH,MAHARASHTRA,
,,JITPL,MSEB_Beneficiary,APL_Raigarh TPP,JPL-2,Arunachal_Ben,SKS Raigarh,BAWANA_GAS,BAWANA_GAS,JPL-2,KAMENG,KSEB,RKM_POWER,SIMHAPURI,SHPPBPL,SHPPBPL,SOLAPUR_SOLAR,MEJA,SBSRPC11PL_BKN,GBHHPL,SHPPBPL,APL_Raigarh TPP,JPL-2,SHPPBPL,HP,Manipur_Ben,SIMHAPURI,HP,GOA_Beneficiary,SHPPBPL,NHCPL_HP,SBSRPC11PL_BKN,TRN_ENERGY,MPL,AEML,SHPPBPL,UTTARAKHAND,DVC,SHPPBPL,KPTCL,SHPPBPL,JHAJJAR,SHPPBPL,NIRANISUGAR,RKM_POWER,ODISHA,JPL-2,DVC,AEML,CHANJUII,Continuum_WFDPL_MP,JPNIGRIE_JNSTPP,RKM_POWER,ITCWIND,A_A_Energy_MH_Bio,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,TPDDL,BRPL,BRPL,BRPL,NDMC,PUNJAB,HARYANA,TPDDL,TPDDL,BYPL,NDMC,BRPL,JHPL-DL,MHIL,MES (Delhi),DELHI,TPDDL,DIAPL,BAL224,BRPL,BRPL,MSSH,BYPL,BRPL,BRPL,BRPL,BRPL,BAL234,MES (Delhi),BYPL,NDMC,TPDDL,BRPL,BMDRC,BYPL,BRPL,DTCP,BRPL,BAL184,TPDDL,UHL,BRPL,NDMC,BRPL,NDMC,TPDDL,BYPL,TPDDL,BYPL,TPDDL,BYPL,ITCLH,MES (Delhi),
,,East-North,West-North,West-North,West-North,North East-East-North,West-North,North-North,North-North,West-North,North East-East-North,South-West-North,West-North,South-West-North,North-North,North-North,West-North,North-North,North-North,North-North,North-North,West-North,West-North,North-North,North-North,North East-East-North,South-East-North,North-North,West-North,North-North,North-North,North-North,West-North,East-North,West-North,North-North,North-North,East-West-North,North-North,South-West-North,North-North,North-North,North-North,South-East-West-North,West-North,East-West-North,West-North,East-West-North,West-North,North-North,West-North,West-North,West-North,South-West-North,West-North,
1,00:00-00:15,12.170000,0.000000,192.640000,48.160000,38.530000,12.410000,32.000000,32.000000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,9.630000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,144.480000,0.000000,96.320000,0.000000,240.800000,0.000000,20.710000,37.210000,48.160000,37.210000,48.160000,90.540000,13.610000,36.920000,48.160000,0.000000,0.870000,3.850000,1890.36

2,00:15-00:30,12.170000,0.000000,192.640000,48.160000,38.530000,12.410000,32.000000,32.000000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,9.630000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,144.480000,0.000000,96.320000,0.000000,240.800000,0.000000,20.710000,37.210000,48.160000,37.210000,48.160000,90.540000,13.610000,37.800000,48.160000,0.000000,0.870000,3.850000,1891.24

3,00:30-00:45,12.170000,0.000000,192.640000,48.160000,38.530000,12.410000,32.000000,32.000000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,9.630000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,144.480000,0.000000,96.320000,0.000000,240.800000,0.000000,20.710000,37.210000,48.160000,37.210000,48.160000,90.540000,13.610000,36.770000,48.160000,0.000000,0.870000,3.850000,1890.21

4,00:45-01:00,12.170000,0.000000,192.640000,48.160000,38.530000,12.410000,32.000000,32.000000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,9.630000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,144.480000,0.000000,96.320000,0.000000,240.800000,0.000000,20.710000,37.210000,48.160000,37.210000,48.160000,90.540000,13.610000,36.510000,48.160000,0.000000,0.870000,3.850000,1889.95

5,01:00-01:15,12.170000,0.000000,192.640000,48.160000,38.530000,12.410000,32.000000,32.000000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,9.630000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,48.160000,0.000000,0.000000,0.000000,240.800000,0.000000,20.710000,37.210000,48.160000,37.210000,48.160000,90.540000,13.610000,37.300000,48.160000,0.000000,0.630000,3.850000,1697.86

6,01:15-01:30,12.170000,0.000000,192.640000,48.160000,38.530000,12.410000,32.000000,32.000000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,9.630000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,48.160000,0.000000,0.000000,0.000000,240.800000,0.000000,20.710000,37.210000,48.160000,37.210000,48.160000,90.540000,13.610000,37.070000,48.160000,0.000000,0.630000,3.850000,1697.63

7,01:30-01:45,12.170000,0.000000,192.640000,48.160000,38.530000,12.410000,5.780000,5.780000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,9.630000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,48.160000,0.000000,0.000000,0.000000,240.800000,0.000000,20.710000,37.210000,48.160000,37.210000,48.160000,90.540000,13.610000,36.190000,48.160000,0.000000,0.630000,3.850000,1644.31

8,01:45-02:00,12.170000,0.000000,192.640000,48.160000,38.530000,12.410000,5.780000,5.780000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,9.630000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,48.160000,0.000000,0.000000,0.000000,240.800000,0.000000,20.710000,37.210000,48.160000,37.210000,48.160000,90.540000,13.610000,35.480000,48.160000,0.000000,0.630000,3.850000,1643.6

9,02:00-02:15,12.170000,0.000000,192.640000,48.160000,38.530000,12.410000,18.080000,18.080000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,9.630000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,13.610000,37.790000,48.160000,0.000000,0.630000,3.850000,1505.32

10,02:15-02:30,12.170000,0.000000,192.640000,48.160000,38.530000,12.410000,18.080000,18.080000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,9.630000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,13.610000,41.290000,48.160000,0.000000,0.630000,3.850000,1508.82

11,02:30-02:45,12.170000,0.000000,192.640000,48.160000,38.530000,12.410000,26.540000,26.540000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,9.630000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,13.610000,40.190000,48.160000,0.000000,0.630000,3.850000,1524.64

12,02:45-03:00,12.170000,0.000000,192.640000,48.160000,38.530000,12.410000,26.540000,26.540000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,9.630000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,13.610000,37.080000,48.160000,0.000000,0.630000,3.850000,1521.53

13,03:00-03:15,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.540000,26.540000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,8.670000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.630000,3.850000,1448.18

14,03:15-03:30,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.540000,26.540000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,8.670000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.630000,3.850000,1448.18

15,03:30-03:45,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.540000,26.540000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,8.670000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.630000,3.850000,1448.18

16,03:45-04:00,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.540000,26.540000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,8.670000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.630000,3.850000,1448.18

17,04:00-04:15,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.540000,26.540000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,8.670000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.530000,3.850000,1448.08

18,04:15-04:30,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.540000,26.540000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,8.670000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.530000,3.850000,1448.08

19,04:30-04:45,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.540000,26.540000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,7.710000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.530000,3.850000,1447.12

20,04:45-05:00,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.540000,26.540000,48.160000,163.980000,67.420000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,7.710000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.530000,3.850000,1447.12

21,05:00-05:15,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,7.710000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.530000,3.850000,1404.52

22,05:15-05:30,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,7.710000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.530000,3.850000,1404.52

23,05:30-05:45,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,7.710000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.530000,3.850000,1404.52

24,05:45-06:00,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,7.710000,0.000000,0.000000,0.000000,0.000000,27.090000,24.000000,0.000000,81.270000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,16.830000,0.000000,48.160000,0.000000,0.530000,3.850000,1404.52

25,06:00-06:15,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,7.710000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,14.990000,0.000000,48.160000,0.000000,0.670000,3.850000,1294.46

26,06:15-06:30,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,0,0.000000,0,7.710000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,14.990000,0.000000,48.160000,0.000000,0.670000,3.850000,1294.46

27,06:30-06:45,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,0.1,0.000000,0,8.670000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,14.990000,0.000000,48.160000,0.000000,0.670000,3.850000,1295.52

28,06:45-07:00,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,0.82,0.000000,0,8.670000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,14.990000,0.000000,48.160000,0.000000,0.670000,3.850000,1296.24

29,07:00-07:15,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,1.18,0.000000,0,8.670000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,14.990000,0.000000,48.160000,0.000000,0.770000,3.850000,1296.7

30,07:15-07:30,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,1.25,0.000000,0,8.670000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,14.990000,0.000000,48.160000,0.000000,0.770000,3.850000,1296.77

31,07:30-07:45,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,1.26,0.000000,0,8.670000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,14.990000,0.000000,48.160000,0.000000,0.770000,3.850000,1296.78

32,07:45:08:00,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,1.84,0.000000,0,8.670000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,14.990000,0.000000,48.160000,0.000000,0.770000,3.850000,1297.36

33,08:00-08:15,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,3.28,0.000000,0,8.670000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,14.990000,0.000000,48.160000,0.000000,0.960000,3.850000,1298.99

34,08:15-08:30,12.170000,0.000000,192.640000,48.160000,0.000000,12.410000,26.910000,26.910000,48.160000,163.980000,24.080000,37.210000,48.160000,0.000000,0.000000,2.61,0.000000,0,8.670000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,11.690000,0.000000,1.930000,0,12.410000,0.000000,38.530000,0.000000,83.970000,0.000000,0.000000,0.000000,0.000000,240.800000,0.000000,0.000000,37.210000,0.000000,37.210000,0.000000,90.540000,14.990000,0.000000,48.160000,0.000000,0.960000,3.850000,1298.32

