Time,Block,NR/2023/15655/D,NR/2023/14745/A,NR/2023/12422/A,NR/2023/12167/A,NR/2023/15296/F,NR/2023/15057/F,NR/2023/15654/D,NR/2023/14898/A,NR/2023/15306/F,NR/2023/15674/C,NR/2023/12168/A,NR/2023/12592/A,NR/2023/12148/A,NR/2023/15673/C,NR/2023/15670/C,NR/2023/12347/A,NR/2023/15402/F,NR/2023/14737/A,NR/2023/15656/D,NR/2023/12591/A,NR/2023/15675/C,NR/2023/15412/F,NR/2023/12052/A,NR/2023/15304/F,NR/2023/13635/A,NR/2023/12053/A,NR/2023/15309/F,NR/2023/13862/A,NR/2023/14746/A,NR/2023/14895/A,NR/2023/15303/F,NR/2023/12431/A,NR/2023/15651/D,Total
,,SJVNL,APPCPL,APPCPL,APPCPL,BSHP,ITCLH,KEIPL,MANIKARAN,BSHP,HPXL,APPCPL,NVVNL,GMRETL,HPXL,TPDDL,STATKRAFT,SJVNL,NVVNL,KEIPL,NVVNL,GBHHPL,NVVNL,KEIPL,BSHP,NVVNL,KEIPL,IEXL,MANIKARAN,APPCPL,MANIKARAN,BSHP,TPTCL,NVVNL,Total

,,NA,GOA,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,ANDHRA PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,UTTARAKHAND,NA,MEGHALAYA,NA,HIMACHAL PRADESH,TAMIL NADU,UTTAR PRADESH,NA,MAHARASHTRA,NA,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,NA,MEGHALAYA,JAMMU AND KASHMIR,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,
,,DIKCHU,GOA_Beneficiary,HP,Meghalaya_Ben,BSHP,ITCWIND,LAPL-UP,HP,BSHP,SIMHAPURI,UTTARAKHAND,JPNIGRIE_JNSTPP,Meghalaya_Ben,Teesta_III,CHANJUII,TANGEDCO,BCMLB001,SKS Raigarh,LMEL MSEB,JPNIGRIE_JNSTPP,GBHHPL,KAMENG,Meghalaya_Ben,BSHP,KAMENG,Meghalaya_Ben,SAPU1234,TANGEDCO,HP,HP,BSHP,JPL-2,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,BRPL,BYPL,BYPL,JHPL-DL,ITCLH,BYPL,BRPL,BMDRC,BRPL,BYPL,BRPL,BYPL,BRPL,TPDDL,BYPL,NDMC,NDMC,BYPL,BRPL,DIAPL,TPDDL,BYPL,MHIL,BRPL,BYPL,MES (Delhi),BRPL,BRPL,BRPL,MAX-HPTL,BRPL,MES (Delhi),
,,East-North,West-North,North-North,North East-East-North,North-North,South-West-North,North-North,North-North,North-North,South-East-North,North-North,West-North,North East-East-North,East-North,North-North,South-West-North,North-North,West-North,West-North,West-North,North-North,North East-East-North,North East-East-North,North-North,North East-East-North,North East-East-North,North-North,South-East-North,North-North,North-North,North-North,West-North,West-North,
1,00:00-00:15,0.000000,24.190000,36.870000,24.190000,0.970000,0.870000,0.000000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,265.150000,18.530000,98.710000,0.000000,62.900000,0.000000,42.570000,6.060000,193.540000,63.140000,0.580000,21.290000,36.510000,4.840000,23.160000,86.030000,95.800000,0.910000,108.870000,0,1448.07

2,00:15-00:30,0.000000,24.190000,36.870000,24.190000,0.970000,0.870000,38.710000,77.420000,0.930000,0.000000,46.640000,85.140000,22.260000,221.600000,18.530000,98.710000,0.000000,62.900000,18.390000,42.570000,6.060000,193.540000,63.140000,0.580000,21.290000,36.510000,4.840000,23.160000,86.030000,95.800000,0.910000,108.870000,0,1461.62
