Column1,Time,GNARE/SR/2025/01/13/4532,GNA/NR/2025/03/01/5143,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/03/01/1906,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,GNA/NR/2025/03/01/9482,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,GNA/WR/2025/01/01/8625,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/3469,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/03/01/7500,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/6891,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,GNA/WR/2025/03/01/6406,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/2563,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,GNARE/NR/2024/12/20/3668,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_07)
1,00:00-00:15,7,190.26,0,23.31,32,0,65.86,17.28,86.57,0,0,271.38,99.99,6.72,23.31,8.64,3.68,200,30.28,0,63.42,259.72,1.16,1.26,1.23,42,32,23.31,0,50.33,10,0,0,0,0,0,17,0,17,0,0,51,0,0,50.34,0,0

2,00:15-00:30,7,190.26,0,23.31,32,0,65.86,17.28,86.57,0,0,271.38,99.99,6.72,23.31,8.64,3.68,200,30.28,0,63.42,259.72,1.16,1.26,1.23,42,32,23.31,0,47.67,11,0,0,0,0,0,17.33,0,17.33,0,0,52.01,0,0,47.66,0,0

3,00:30-00:45,7,190.26,0,23.31,32,0,65.86,17.28,86.57,0,0,271.38,99.99,6.72,23.31,8.64,3.68,200,30.78,0,63.42,259.72,1.16,1.26,1.23,42,32,23.31,0,45.33,12,0,0,0,0,0,17.5,0,17.5,0,0,52.5,0,0,45.34,0,0

4,00:45-01:00,7,190.26,0,23.31,32,0,114.79,17.28,86.57,0,0,271.38,99.99,6.72,23.31,8.64,3.68,200,30.78,0,63.42,259.72,1.16,1.26,1.23,42,32,23.31,0,43.33,13,0,0,0,0,0,17.67,0,17.67,0,0,52.99,0,0,43.34,0,0

5,01:00-01:15,7,190.26,0,23.31,32,0,106.32,17.28,86.57,0,0,271.38,99.99,6.72,23.31,8.64,3.68,200,30.78,0,63.42,259.72,1.16,1.26,1.15,42,32,23.31,0,43.33,13.34,0,0,0,0,0,21,0,21,0,0,63,0,0,43.34,0,0

6,01:15-01:30,7,190.26,0,23.31,32,0,97.85,17.28,86.57,0,0,271.38,99.99,6.72,23.31,8.64,3.68,200,30.78,0,63.42,259.72,1.16,1.26,1.15,42,32,23.31,0,44,13.66,0,0,0,0,0,21.67,0,21.67,0,0,64.99,0,0,44,0,0

