Block,Time Block,CHAMERA1,BSIUL,CHAMERA2,BRBCL,DULHASTI,DHAULIGNGA,FSTPP I & II,NLCIIST2,NLCTS2EXP,NNTPP,NLCIIST1,KOTESHWR,NLCEXP,MAPS,NJPC,NAPP,KUDGI,DADRT2,CHAMERA3,JHAJJAR,KGSU1AND2,KHSTPP-I,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KGSU3AND4,KISHANGANGA,SASAN,SIMHST1,SIMHST2,SALAL,SEWA2,UNCHAHAR4,SINGRAULI,TALST2,UNCHAHAR3,TANAKPUR,URI2,TelanganaSTPP,TALA,UNCHAHAR2,URI,SINGRAULI_HYDRO,TEHRI,TANDA2,UNCHAHAR1,RAMPUR,RSTPSU1TO6,NTPL,RSTPSU7,PARBATI3,RAPPC,RAPPB,RIHAND1,RIHAND2,RIHAND3,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,VALLURNTECL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,13.6,6.31,27.42,14.52,52.77,38.9,14.13,0,0,0,0,9.35,0,0,145.17,43.99,0,588.04,20.68,370.84,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,62.97,0,1.57,101.76,0,0,10.61,10.02,0,10.56,41.66,49.15,0,51.44,2.29,15.32,3.12,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,6.31,27.42,14.52,52.77,38.9,14.13,0,0,0,0,9.35,0,0,145.17,43.99,0,588.04,20.68,370.84,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,62.97,0,1.57,101.76,0,0,10.61,10.02,0,10.56,37.05,49.15,0,51.44,2.29,15.32,3.12,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,6.31,27.42,14.52,52.77,38.9,14.13,0,0,0,0,9.35,0,0,145.17,43.99,0,588.04,20.68,370.84,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,62.97,0,1.57,101.76,0,0,10.61,10.02,0,10.56,37.05,8.54,0,51.44,2.29,15.32,3.12,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,6.31,27.42,14.52,52.77,38.9,14.13,0,0,0,0,9.35,0,0,145.17,43.99,0,588.04,20.68,370.84,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,76.82,0,1.57,101.76,0,0,10.61,10.02,0,10.56,37.05,8.54,0,34.3,2.29,15.32,3.12,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,6.31,27.42,14.52,52.77,38.9,14.13,0,0,0,0,9.35,0,0,145.17,43.99,0,588.04,20.68,370.84,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,76.82,0,1.57,101.76,0,0,9.17,34.31,0,10.41,37.05,8.54,0,34.3,2.29,15.32,3.12,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,6.31,27.42,14.52,52.77,38.9,14.13,0,0,0,0,9.35,0,0,145.17,43.99,0,588.04,20.68,350.32,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,76.82,0,1.57,101.76,0,0,9.17,34.31,0,10.41,37.05,8.54,0,34.3,2.29,15.32,3.12,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,6.31,27.42,14.52,52.77,38.9,13.44,0,0,0,0,9.35,0,0,145.17,43.99,0,588.04,20.68,312.27,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,76.82,0,1.57,101.76,0,0,9.17,34.31,0,10.41,37.05,10.68,0,32.49,2.29,15.32,3.12,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,6.31,27.42,14.52,52.77,38.9,13.44,0,0,0,0,9.35,0,0,145.17,43.99,0,588.04,20.68,273.56,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,76.82,0,1.57,101.76,0,0,9.17,34.31,0,10.41,37.05,10.68,0,17.15,2.29,15.32,3.12,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,6.31,27.42,14.52,52.77,38.9,13.44,0,0,0,0,9.35,0,0,145.17,43.99,0,530.36,20.68,204.06,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,76.82,0,1.57,101.76,0,0,9.17,10.02,0,10.41,37.05,10.68,0,17.15,2.29,15.32,3.12,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,6.31,27.42,14.52,52.77,38.9,13.44,0,0,0,0,9.35,0,0,145.17,43.99,0,530.36,20.68,118.73,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,76.82,0,1.57,101.76,0,0,9.17,10.02,0,10.41,37.05,10.68,0,17.15,2.29,15.32,3.12,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,6.31,27.42,14.52,52.77,38.9,13.44,0,0,0,0,9.35,0,0,145.17,43.99,0,530.36,20.68,118.73,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,76.82,0,1.57,102.48,0,0,9.17,10.02,0,10.41,37.05,10.68,0,17.15,2.29,15.32,3.12,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,6.31,27.42,14.52,52.77,38.9,13.44,0,0,0,0,9.35,0,0,145.17,43.99,0,530.36,20.68,118.73,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,76.82,0,1.57,102.48,0,0,9.17,10.02,0,10.41,37.05,10.68,0,0,2.29,15.32,3.12,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,6.31,27.42,14.52,52.77,38.9,13.44,0,0,0,0,9.35,0,0,145.17,43.99,0,530.36,20.68,118.73,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,76.82,0,1.57,102.48,0,0,9.17,10.02,0,10.41,31.24,12.82,0,0,2.29,15.32,3.12,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,6.31,27.42,14.52,52.77,38.9,13.44,0,0,0,0,9.35,0,0,145.17,43.99,0,530.36,20.68,118.73,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,76.82,0,1.57,102.48,0,0,9.17,10.02,0,10.41,31.24,12.82,0,0,2.29,15.32,3.12,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,0,6.31,27.42,14.52,52.77,38.9,13.44,0,0,0,0,9.35,0,0,145.17,43.99,0,530.36,20.68,118.73,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,76.82,0,1.57,102.48,0,0,9.17,10.02,0,9.84,31.24,12.82,0,0,2.29,15.32,3.12,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,11.47,6.31,27.42,14.52,52.77,38.9,13.44,0,0,0,0,9.35,0,0,145.17,43.99,0,530.36,20.68,118.73,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,75.34,0,1.57,102.48,0,0,9.17,10.02,0,9.84,31.24,12.82,0,0,2.29,15.32,3.12,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,11.47,6.31,27.42,14.52,52.77,38.9,13.44,0,0,0,0,9.35,0,0,145.17,43.99,0,530.36,20.68,118.73,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,75.34,0,1.57,102.48,0,0,9.17,10.02,0,9.73,31.24,16.03,0,0,2.29,15.32,3.12,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,11.47,6.31,27.42,14.52,52.77,38.9,13.44,0,0,0,0,9.35,0,0,145.17,43.99,0,530.36,20.68,118.73,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,75.34,0,1.57,102.48,0,0,9.17,10.02,0,9.73,31.24,16.03,0,0,2.29,15.32,3.12,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,13.6,6.31,27.42,14.52,52.77,38.9,13.44,0,0,0,0,9.35,0,0,135.17,43.99,0,530.36,20.68,118.73,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,75.34,0,1.57,102.48,0,0,9.17,10.02,0,9.58,31.24,16.03,0,0,2.29,15.32,2.9,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,13.6,6.31,27.42,14.52,52.77,38.9,13.44,0,0,0,0,9.35,0,0,135.17,43.99,0,530.36,20.68,118.73,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,75.34,0,1.57,102.48,0,0,9.17,10.02,0,9.58,31.24,16.03,0,0,2.29,15.32,2.9,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,13.6,6.31,27.42,14.52,52.77,38.9,11.07,0,0,0,0,9.35,0,0,135.17,43.99,0,530.36,20.68,118.73,0,43.47,95.68,0,0,3.88,0,0,405.24,0,0,75.34,0,1.57,102.48,0,0,9.17,10.02,0,9.44,31.24,16.03,0,0,2.29,15.32,2.9,0,0,0,3.81,57.86,0,45.8,117.78,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

