Column1,Block,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/20/4698,NR/30092023/31122025/SH-07,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/7459,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,SR/2024/15456/A/50508,NER/2024/2820/A/50774,NR/30092023/26122029/SH-06,NR/2024/24508/A/50824,NR/2024/24614/A/50825,NR/2024/24507/A/50823,GNA/NR/2025/01/20/5216,NR/2024/24418/A/50494,NR/2024/24435/A/50504,WR/2024/25501/A/50777,NR/2025/24986/C,NR/2024/24566/A/50496,NR/2025/24987/C,NR/2025/24985/C,NR/2025/24837/A/50591,NR/2025/24838/A/50594,NR/2024/24434/A/50505,NR/2025/24839/A/50596,NR/2025/24998/C,NR/2025/24997/C,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/6775,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/8738,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/3945,Total
,,PXIL,IEXL,HPXL,HPXL,BAWANA_GAS,PXIL,NDMC,APPCPL,MANIKARAN,IEXL,APPCPL,PUNJAB,NVVNL,NVVNL,NVVNL,HPXL,ITCLH,IEXL,APPCPL,NVVNL,IEXL,NVVNL,TPDDL,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,IEXL,OIDLWM3_AEROCITY,SJVNL,SJVNL,HPXL,NDMC,HPXL,IEXL,NDMC,TPTCL,HPXL,IEXL,HPXL,IEXL,DELHI,NDMC,
,,NA,ODISHA_STATE,MSEB_State,TAMILNADU_State,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,TELANGANA_State,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,DELHI_UT,NA,TELANGANA_State,NA,NA,NA,NA,NA,NA,NA,NA,Meghalaya_State,NA,NA,NA,NA,DELHI_UT,NA,NA,NA,MP_State,HIMACHAL_STATE,NA,
,,JPNIGRIE_JNSTPP,NBVLIPP,GRETAENERGY,GAYATRIGREENTN,BAWANA_GAS,SINGOLI,RKM_POWER,BYPL,BRPL,BYPL,BYPL,BAWANA_GAS,TRN_ENERGY,TRN_ENERGY,JIPL,ZUARICEMCPP,ITCWIND,NSLSUGARALAND,BRPL,JIPL,NSLKSLWPRTY,TRN_ENERGY,JHAJJAR,TCSPL_BKN2,TCSPL_BKN2,TESPL_BKN2,TCSPL_BKN2,RSRPL_BKN,TPSL_BKN2,Meghalaya_Ben,SKS_Raigarh,JPNIGRIE_JNSTPP,SKS_Raigarh,RKM_POWER,BYPL,SIMHAPURI,JPNIGRIE_JNSTPP,SKS_Raigarh,JP_BINA,CHANJUII,JPL2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,TAMILNADU_State,Manipur_State,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,BRPL,BRPL,HARYANA,BRPL,NDMC,AEML,AEML,TANGEDCO,Manipur_Ben,PUNJAB,NDMC,NDMC,NDMC,BRPL,ITCLH,MES_Delhi,GOA_Beneficiary,NDMC,MES_Delhi,NDMC,TPDDL,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,MES_Delhi,OIDLWM3_AEROCITY,NDMC,NDMC,BRPL,NDMC,BRPL,BRPL,NDMC,TPC_MSEB,BRPL,BRPL,BRPL,BRPL,TPDDL,NDMC,
,,West-North,East-North,West-North,South-East-North,North-North,North-North,West-North,North-West,North-West,North-West-South,North-East-North East,North-North,West-North,West-North,East-North,South-East-North,South-West-North,South-West-North,North-West,East-North,South-West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North East-East-North,West-North,West-North,West-North,West-North,North-West,South-East-North,West-North,West-North,West-North,North-North,West-North,
1,00:00-00:15,28.82,20.17,0,0,0,0,23.06,0,0,0,0,0,8.73,0,17.29,0,0.38,9.61,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,360.11

2,00:15-00:30,28.82,20.17,0,0,0,0,23.06,0,0,0,0,0,8.73,0,17.29,0,0.38,9.61,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,360.11

3,00:30-00:45,28.82,20.17,0,0,0,0,23.06,0,0,0,0,0,8.73,0,17.29,0,0.38,9.61,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,360.11

4,00:45-01:00,28.82,20.17,0,0,0,0,23.06,0,0,0,0,0,8.73,0,17.29,0,0.38,9.61,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,360.11

5,01:00-01:15,28.82,20.17,0,0,0,0,23.06,0,0,0,0,0,8.73,0,17.29,0,0.38,9.61,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,360.11

6,01:15-01:30,28.82,20.17,0,0,0,0,23.06,0,0,0,0,0,8.73,0,17.29,0,0.38,9.61,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,360.11

7,01:30-01:45,28.82,20.17,0,0,0,0,23.06,0,0,0,0,0,8.73,0,17.29,0,0.38,9.61,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,360.11

8,01:45-02:00,28.82,20.17,0,0,0,0,23.06,0,0,0,0,0,8.73,0,17.29,0,0.38,9.61,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,360.11

9,02:00-02:15,28.82,20.17,0,0,0,0,23.06,0,0,0,0,0,8.73,0,17.29,0,0.38,9.61,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,360.11

10,02:15-02:30,28.82,20.17,0,0,0,0,23.06,0,0,0,0,0,8.73,0,17.29,0,0.38,9.61,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,360.11

11,02:30-02:45,28.82,20.17,0,0,0,0,23.06,0,0,0,0,0,8.73,0,17.29,0,0.38,9.61,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,360.11

12,02:45-03:00,28.82,20.17,0,0,0,0,23.06,0,0,0,0,0,8.73,0,17.29,0,0.38,9.61,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,360.11

13,03:00-03:15,28.82,20.17,0,0,0,0,23.06,0,0,0,0,0,8.73,0,17.29,0,0.38,9.61,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,360.11

14,03:15-03:30,28.82,20.17,0,0,0,0,23.06,0,0,0,0,0,8.73,0,17.29,0,0.38,9.61,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,360.11

15,03:30-03:45,28.82,20.17,0,0,0,0,23.06,0,0,0,0,0,8.73,0,17.29,0,0.38,9.61,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,360.11

16,03:45-04:00,28.82,20.17,0,0,0,0,23.06,0,0,0,0,0,8.73,0,17.29,0,0.38,9.61,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,360.11

17,04:00-04:15,28.82,20.17,0,0,0,0,23.06,0,0,0,0,0,8.73,0,17.29,0,0.38,9.61,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.37,23.06,360.19

18,04:15-04:30,28.82,20.17,0,0,0,0,23.06,0,0,0,0,0,8.73,0,17.29,0,0.38,9.61,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.37,23.06,360.19

19,04:30-04:45,28.82,20.17,0,0,0,0,23.06,0,0,0,0,0,8.73,0,17.29,0,0.38,9.61,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.37,23.06,360.19

20,04:45-05:00,28.82,20.17,0,0,0,0,23.06,0,0,0,0,0,8.73,0,17.29,0,0.38,9.61,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.37,23.06,360.19

21,05:00-05:15,28.82,20.17,0,0,0,0,23.06,0,0,0,38.43,0,8.73,0,17.29,0,0.43,16.33,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,405.31

22,05:15-05:30,28.82,20.17,0,0,0,0,23.06,0,0,0,38.43,0,8.73,0,17.29,0,0.43,16.33,0,0,5.76,0,0,0,0,0,0,0,0,0,8.65,48.04,48.04,23.06,0,0,26.9,19.21,48.04,1.29,23.06,405.31

