Column1,Block,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/2171,NR/2024/23050/C,GNA/NR/2024/09/01/7119,NR/2024/23056/C,NR/2024/23017/A/36376,NR/2024/22835/A/36578,NR/30092023/26122029/SH-06,NR/2024/22837/A/36609,NR/2024/22820/A/36356,NR/2024/22816/A/36521,NR/2024/22802/A/36612,NR/2024/22734/A/36667,GNA/NR/2024/09/01/6020,NR/2024/23051/C,NR/2024/22754/A/36573,GNA/NR/2024/09/01/9821,NR/2024/22839/A/36607,NR/2024/22753/A/36574,NR/2024/22848/A/36596,NR/2024/22888/A/36587,NR/2024/22860/A/36593,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/7908,NR/2024/23038/A/36555,NR/2024/22832/A/36611,NR/2024/22833/A/36610,NR/2024/21658/A/36332,NR/2024/22874/A/36614,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/2024/23052/C,NR/2024/23057/C,NR/2024/22898/A/36387,NR/2024/22899/A/36388,Total
,,NVVNL,TPTCL,DELHI,AEL,MANIKARAN,TPDDL,JITPL,NVVNL,DIAPL,MANIKARAN,PUNJAB,NVVNL,IEXL,TPTCL,NVVNL,TPDDL,INSTINCT,NVVNL,PTC,APPCPL,NVVNL,PTC,APPCPL,APPCPL,APPCPL,TPTCL,MANIKARAN,IEXL,NVVNL,NVVNL,ITCLH,NVVNL,DELHI,BAWANA_GAS,NVVNL,SJVNL,SJVNL,SJVNL,
,,NA,NA,NA,NA,ODISHA_STATE,NA,NA,NA,HIMACHAL_STATE,MSEB_State,DELHI_UT,NA,KARNATAKA_STATE,NA,NA,NA,NA,NA,HIMACHAL_STATE,Arunachal_State,NA,HIMACHAL_STATE,UTTARAKHAND_STATE,KERALA_State,Nagaland_State,NA,MP_State,MSEB_State,NA,NA,ANDHRA_PRADESH_STATE,MP_State,HIMACHAL_STATE,DELHI_UT,NA,NA,NA,NA,
,,JPNIGRIE_JNSTPP,JITPL,SKS_Raigarh,APL_Raigarh_TPP,MAADURGA_THERMAL,JHAJJAR,JITPL,SORANG_HEP,GBHHPL,AEML,BAWANA_GAS,JPL2,NSLSUGAR,SIMHAPURI,JPNIGRIE_JNSTPP,JPL2,JPL2,Kameng,HP,Arunachal_Ben,TRN_ENERGY,HP,UTTARAKHAND,KSEB,Nagaland_Ben,SIMHAPURI,BLAPOWER_MP,A_A_Energy_MH_Bio,RKM_POWER,RKM_POWER,ITCWIND,JP_BINA,CHANJUII,BAWANA_GAS,SOLAPUR_SOLAR,TPSL_BKN2,RSRPL_BKN,TPSL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,NDMC,BRPL,BRPL,TPDDL,NDMC,TPDDL,DIAPL,BYPL,PUNJAB,NDMC,MES_Delhi,BRPL,BRPL,TPDDL,BRPL,TPDDL,BYPL,BRPL,NDMC,BRPL,BYPL,BYPL,BYPL,BRPL,BRPL,MES_Delhi,NDMC,NDMC,ITCLH,TPDDL,TPDDL,HARYANA,MES_Delhi,NDMC,NDMC,NDMC,
,,West-North,East-North,West-North,West-North,East-North,North-North,East-North,North-North,North-North,West-North,North-North,West-North,South-West-North,South-West-North,West-North,West-North,West-North,North East-East-North,North-North,North East-East-North,West-North,North-North,North-North,South-West-North,North East-East-North,South-East-North,West-North,West-North,West-North,West-North,South-West-North,West-North,North-North,North-North,West-North,North-North,North-North,North-North,
1,00:00-00:15,96.85,24.21,12.47,48.42,2.42,242.12,24.8,58.11,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,32.93,6.78,181.59,84.43,67.8,13.56,48.42,21.79,3.87,37.41,37.41,0.87,48.42,9.8,26.91,0,0,0,0,1664.46

2,00:15-00:30,96.85,24.21,12.47,48.42,2.42,242.12,24.8,58.11,8.72,91.04,26.91,37.41,4.84,0,0,96.85,96.85,109.92,60.53,32.93,6.78,181.59,84.43,67.8,13.56,48.42,21.79,3.87,37.41,37.41,0.87,48.42,9.8,26.91,0,0,0,0,1664.46

