Block,Time Block,DADRT2,CHAMERA3,CHAMERA2,JHAJJAR,CHAMERA1,BSIUL,BRBCL,SEWA2,SALAL,SASAN,SIMHST1,SINGRAULI_HYDRO,SIMHST2,SINGRAULI,KISHANGANGA,KHSTPP-I,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KGSU3AND4,KOLDAM,KUDGI,MAPS,RSTPSU1TO6,RSTPSU7,RAMPUR,RIHAND1,RAPPC,RIHAND3,RAPPB,RIHAND2,FSTPP I & II,DULHASTI,DHAULIGNGA,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,NAPP,NTPL,PARBATI3,NLCEXP,NLCIIST1,KGSU1AND2,ANTA_RF,ANTA_LF,ANTA_GF,AURY_CRF,ANTA_CRF,DADRI_CRF,AURY_RF,AURY_LF,DADRI_GF,AURY_GF,DADRI_RF,DADRI_LF,TelanganaSTPP,TALA,UNCHAHAR2,TEHRI,URI,UNCHAHAR1,TANDA2,UNCHAHAR4,VALLURNTECL,TALST2,UNCHAHAR3,URI2,TANAKPUR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,327.65,0,2.19,273.74,0,0,14.46,0,2.25,381.63,0,0,0,99.05,0,43.3,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,13.79,31.77,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,40.87,45.01,5.85,19.82,0,0,0,0,0,25.93,12.59,0,0,0,0,0

2,00:15-00:30,320.83,0,2.31,264.1,0,0,14.46,0,2.25,381.74,0,0,0,99.05,0,43.3,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,13.79,31.77,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,40.87,28.79,5.85,19.82,0,0,0,0,0,25.93,12.59,0,0,0,0,0

3,00:30-00:45,325.65,0,2.31,244.82,0,0,14.46,0,13.45,381.74,0,0,0,99.05,0,43.3,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,13.79,31.77,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,40.87,14.39,4.79,19.82,0,0,0,0,0,25.93,12.59,0,0,0,0,0

4,00:45-01:00,300.58,0,2.31,235.18,0,0,14.46,0,76.52,381.74,0,0,0,99.05,0,43.3,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,13.79,31.77,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,40.87,14.39,4.79,19.82,0,0,0,0,0,25.93,12.59,0,0,0,0,0

5,01:00-01:15,290.94,0,2.31,205.66,0,0,14.46,0,76.52,381.74,0,0,0,99.05,0,43.3,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,13.79,31.77,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,36.28,14.39,4.79,17.68,0,0,0,0,0,25.93,10.86,0,0,0,0,0

6,01:15-01:30,290.94,0,2.31,186.38,0,0,14.46,0,76.52,381.74,0,0,0,99.05,0,43.3,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,13.79,31.77,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,36.28,14.39,4.79,17.68,0,0,0,0,0,25.93,10.86,0,0,0,0,0

7,01:30-01:45,290.94,0,2.31,167.1,0,0,14.46,0,76.52,381.74,0,0,0,99.05,0,43.3,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,13.79,31.77,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,36.28,14.39,4.79,17.68,0,0,0,0,0,5.19,10.86,0,0,0,0,0

8,01:45-02:00,290.94,0,2.31,176.74,0,0,14.46,0,25.77,381.74,0,0,0,99.05,0,36.77,8.55,122.24,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,13.79,31.77,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,30.64,14.39,4.79,14.94,0,0,0,0,0,5.19,10.86,0,0,0,0,0

9,02:00-02:15,290.94,0,2.31,166.14,0,0,14.46,0,12.32,381.74,0,0,0,99.05,0,43.3,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,13.79,31.77,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,36.28,14.39,4.79,17.68,0,0,0,0,0,5.19,10.86,0,0,0,0,0

10,02:15-02:30,290.94,0,2.31,158.42,0,0,14.46,0,12.32,381.74,0,0,0,99.05,0,43.3,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,13.79,31.77,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,35.9,14.39,4.79,17.49,0,0,0,0,0,5.19,10.86,0,0,0,0,0

11,02:30-02:45,290.94,0,2.31,158.42,0,0,14.46,0,12.32,381.74,0,0,0,99.05,0,43.3,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,13.79,31.77,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,35.9,14.39,4.79,17.49,0,0,0,0,0,5.19,10.86,0,0,0,0,0

12,02:45-03:00,290.94,0,2.31,158.42,0,0,14.46,0,12.32,381.74,0,0,0,99.05,0,43.3,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,13.79,31.77,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,30.26,14.39,4.79,14.76,0,0,0,0,0,5.19,10.86,0,0,0,0,0

13,03:00-03:15,290.94,0,2.31,158.42,0,0,14.46,0,12.32,381.74,0,0,0,99.05,0,43.3,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,13.79,31.77,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,30.26,14.39,4.79,14.76,0,0,0,0,0,5.19,10.86,0,0,0,0,0

14,03:15-03:30,290.94,0,2.31,158.42,0,0,14.46,0,12.32,381.74,0,0,0,99.05,0,36.77,8.55,122.24,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,13.79,31.77,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,30.26,14.39,4.79,14.76,0,0,0,0,0,5.19,10.86,0,0,0,0,0

15,03:30-03:45,290.94,0,2.31,158.42,0,0,14.46,0,12.32,381.74,0,0,0,99.05,0,37.32,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,11.88,31.77,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,30.25,14.39,4.79,14.75,0,0,0,0,0,5.19,10.86,0,0,0,0,0

16,03:45-04:00,290.94,0,2.31,158.42,0,0,14.46,0,12.32,381.74,0,0,0,99.05,0,37.32,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,11.88,31.77,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,30.25,14.39,4.79,14.75,0,0,0,0,0,5.19,10.86,0,0,0,0,0

17,04:00-04:15,290.94,0,2.31,158.42,0,0,14.46,0,12.32,381.74,0,0,0,99.05,0,43.3,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,11.88,31.77,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,30.06,14.39,4.79,14.65,0,0,0,0,0,5.19,10.86,0,0,0,0,0

18,04:15-04:30,290.94,0,2.31,158.42,0,0,14.46,0,12.32,381.74,0,0,0,99.05,0,43.3,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,11.88,31.77,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,30.06,14.39,4.79,14.65,0,0,0,0,0,5.19,10.86,0,0,0,0,0

19,04:30-04:45,290.94,0,2.31,158.42,0,0,14.46,0,12.32,381.74,0,0,0,99.05,0,43.3,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,11.88,31.77,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,30.06,14.39,4.79,14.65,0,0,0,0,0,5.19,10.86,0,0,0,0,0

20,04:45-05:00,290.94,0,2.31,158.42,0,0,14.46,0,12.32,381.74,0,0,0,99.05,0,43.3,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,11.88,31.77,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,30.06,14.39,4.79,14.65,0,0,0,0,0,5.19,10.86,0,0,0,0,0

21,05:00-05:15,257.39,0,2.31,158.42,0,0,14.46,0,12.32,381.74,0,0,0,99.05,0,43.3,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,11.88,47.65,8.78,45.1,0,0,0,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,30.06,14.39,4.79,14.65,0,0,0,0,0,5.19,10.86,0,0,0,0,0

22,05:15-05:30,228.47,0,2.31,158.42,0,1.06,14.46,0,12.32,381.74,0,0,0,99.05,0,43.3,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,11.88,47.65,8.78,45.1,0,0,0,40.15,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,30.06,14.39,4.79,14.65,0,0,0,0,0,5.19,10.86,0,0,0,0,0

23,05:30-05:45,199.55,9.33,12.59,158.42,0,6.29,14.46,0,12.32,381.74,0,0,0,99.05,0,43.3,8.55,142.96,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,11.88,47.65,17.57,67.64,0,0,0,40.15,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,30.06,14.39,4.79,14.65,0,0,0,0,0,5.19,10.86,0,0,0,0,0

24,05:45-06:00,181.23,18.66,25.31,158.42,11.42,6.29,14.46,0,12.32,381.74,0,0,0,99.05,0,37.32,8.55,123.22,0,0,0,0,0,0,0,0,0,88.69,50.03,119.84,0,114.48,11.88,47.65,26.49,85.73,0,0,0,40.15,0,31.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,30.06,14.39,4.79,14.65,0,0,0,0,0,5.19,10.86,0,0,0,0,0

