Column1,Time,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01102023/22052037/LT-59,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/16082024/31082024/APL-Raigarh_august,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/31082024/SKS-Raigarh,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/01082024/31082024/jitpl,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug'24,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01102023/06022042/L_NR_2012_07,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/14082046/L_NR_2021_16
1,00:00-00:15,0,0,0,7.91,114.92,0,0,12,10.8,0,13.34,0,36.33,0,40,36.33,0,13.33,5.5,31.28,17.08,32,48.08,0,24.04,96.17,21.16,8.74,100.19,32,17.23,261.1,0,271.92,96.17,38.47,86.75,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,7.91,114.92,0,0,12.34,11,0,13.5,0,37.33,0,40.5,37.33,0,13.5,5.5,31.28,17.08,32,48.08,0,24.04,96.17,21.16,8.74,100.19,32,17.23,261.1,0,271.92,96.17,38.47,86.75,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,7.91,114.92,0,0,12,11.2,0,13.66,0,37.33,0,41,37.33,0,13.67,5.5,31.28,17.08,32,48.08,0,24.04,96.17,21.16,8.74,100.19,32,17.23,261.1,0,271.92,96.17,38.47,86.75,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,7.91,65.94,0,0,12,11.41,0,13.66,0,37.67,0,41,37.67,0,13.67,5.5,31.28,17.08,32,48.08,0,24.04,96.17,21.16,8.74,100.19,32,17.23,261.1,0,271.92,96.17,38.47,86.75,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,7.91,65.94,0,0,12.34,11.61,0,13.66,0,37,0,41,37,0,13.67,5.37,31.28,17.08,32,48.08,0,24.04,96.17,21.16,8.74,100.19,32,17.23,261.1,0,271.92,96.17,38.47,86.75,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,0,7.91,65.94,0,0,12.66,11.81,0,13.5,0,45,0,40.5,45,0,13.5,5.37,31.28,17.08,32,48.08,0,24.04,96.17,21.16,8.74,100.19,32,17.23,261.1,0,271.92,96.17,38.47,86.75,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,0,7.91,65.94,0,0,12.66,12.01,0,15.84,0,44.33,0,47.5,44.33,0,15.83,5.37,31.28,17.08,26.7799,48.08,0,24.04,96.17,21.16,8.74,100.19,26.7799,17.23,226.56,0,271.92,96.17,38.47,76.25,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,0,7.91,65.94,0,0,12.66,12.41,0,15.66,0,43.33,0,47,43.33,0,15.67,5.37,31.28,17.08,26.7799,48.08,0,24.04,96.17,21.16,8.74,100.19,26.7799,17.23,226.56,0,271.92,96.17,38.47,76.25,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,0,7.91,65.94,0,0,12.34,12.81,0,15.34,0,42.67,0,46,42.67,0,15.33,5.22,31.28,16.8,26.7799,48.08,0,24.04,96.17,21.16,8.74,100.19,26.7799,17.23,226.56,0,271.92,96.17,38.47,76.25,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,0,0,7.91,65.94,0,0,12,13.21,0,15,0,42,0,45,42,0,15,5.22,31.28,16.8,26.7799,48.08,0,24.04,96.17,21.16,8.74,100.19,26.7799,17.23,226.56,0,271.92,96.17,38.47,76.25,0,0,0,0,0,0,0,0,0

