Block,Time Block,KHSTPP-I,FSTPP I & II,JHAJJAR,CHAMERA3,KGSU1AND2,KGSU3AND4,CHAMERA2,DHAULIGNGA,DULHASTI,DADRT2,KKNP,KISHANGANGA,NNTPP,NAPP,NTPL,PARBATI3,NLCEXP,NLCIIST1,NLCIIST2,NJPC,MAPS,NLCTS2EXP,KUDGI,KOTESHWR,KKNPPU2,KOLDAM,CHAMERA1,BSIUL,BRBCL,KHSTPP-II,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,DADRI_CRF,AURY_GF,UNCHAHAR2,URI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,RIHAND2,SASAN,TALST2,RIHAND1,SINGRAULI_HYDRO,TANAKPUR,SIMHST1,RSTPSU1TO6,SIMHST2,TALA,RSTPSU7,SINGRAULI,SALAL,SEWA2,RIHAND3,TANDA2,TelanganaSTPP,TEHRI,RAPPB,RAMPUR,RAPPC,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,18.41,11,345.21,0,0,0,0,0,0,364.59,0,0,0,42.42,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,19.23,93.94,0,0,0,0,0,0,0,0,0,0,0,0,22.41,3.18,5.77,0,0,4.14,13.96,98.43,221.76,0,76.25,0,1.23,0,0,0,0,0,115.78,1.35,0,119.56,0,0,0,0,0,51.73,0,0,0,0,0

2,00:15-00:30,18.41,11,345.21,0,0,0,0,0,0,364.59,0,0,0,42.42,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,19.23,93.94,0,0,0,0,0,0,0,0,0,0,0,0,22.41,0.63,5.77,0,0,4.14,13.96,98.43,221.76,0,76.25,0,1.23,0,0,0,0,0,115.78,1.35,0,119.56,0,0,0,0,0,51.73,0,0,0,0,0

3,00:30-00:45,32.39,11,345.21,0,0,0,0,0,0,364.59,0,0,0,42.42,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,19.23,93.94,0,0,0,0,0,0,0,0,0,0,0,0,22.41,0.63,5.77,0,0,4.14,13.96,98.43,221.76,0,76.25,0,1.23,0,0,0,0,0,115.78,1.35,0,119.56,0,0,0,0,0,51.73,0,0,0,0,0

4,00:45-01:00,32.39,11,345.21,0,0,0,0,0,0,364.59,0,0,0,42.42,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,19.23,93.94,0,0,0,0,0,0,0,0,0,0,0,0,22.41,0.63,5.77,0,0,4.14,13.96,98.43,221.76,0,76.25,0,1.23,0,0,0,0,0,115.78,1.35,0,119.56,0,0,0,0,0,51.73,0,0,0,0,0

5,01:00-01:15,32.39,11,345.21,0,0,0,0,0,0,364.59,0,0,0,42.42,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,17.33,93.94,0,0,0,0,0,0,0,0,0,0,0,0,22.41,0.63,5.77,0,0,4.14,13.96,98.43,221.76,0,76.25,0,1.23,0,0,0,0,0,115.78,1.35,0,119.56,0,0,0,0,0,51.73,0,0,0,0,0

6,01:15-01:30,32.39,11,345.21,0,0,0,0,0,0,364.59,0,0,0,42.42,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,16.62,93.94,0,0,0,0,0,0,0,0,0,0,0,0,22.41,0.63,5.77,0,0,4.14,13.96,98.43,221.76,0,76.25,0,1.23,0,0,0,0,0,115.78,1.35,0,119.56,0,0,0,0,0,51.73,0,0,0,0,0

7,01:30-01:45,32.39,11,345.21,0,0,0,0,0,0,364.59,0,0,0,42.42,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,17.33,93.94,0,0,0,0,0,0,0,0,0,0,0,0,22.41,0.63,5.77,0,0,4.14,13.96,98.43,221.76,0,76.25,0,1.23,0,0,0,0,0,115.78,1.35,0,119.56,0,0,0,0,0,51.73,0,0,0,0,0

8,01:45-02:00,32.39,11,345.21,0,0,0,0,0,0,364.59,0,0,0,42.42,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,16.41,93.94,0,0,0,0,0,0,0,0,0,0,0,0,22.41,0.63,5.77,0,0,4.14,13.96,98.43,221.76,0,76.25,0,1.23,0,0,0,0,0,115.78,1.35,0,119.56,0,0,0,0,0,51.73,0,0,0,0,0

9,02:00-02:15,21.39,11,345.21,0,0,0,0,0,0,364.59,0,0,0,42.42,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,16.68,93.94,0,0,0,0,0,0,0,0,0,0,0,0,22.41,0.63,5.77,0,0,4.14,13.96,98.43,221.76,0,76.25,0,1.97,0,0,0,0,0,115.78,1.35,0,119.56,0,0,0,0,0,51.73,0,0,0,0,0

10,02:15-02:30,21.39,11,345.21,0,0,0,0,0,0,364.59,0,0,0,42.42,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,15.46,93.94,0,0,0,0,0,0,0,0,0,0,0,0,22.41,0.63,5.77,0,0,4.14,13.96,98.43,221.76,0,76.25,0,1.97,0,0,0,0,0,115.78,1.35,0,119.56,0,0,0,0,0,51.73,0,0,0,0,0

11,02:30-02:45,21.39,11,345.21,0,0,0,0,0,0,364.59,0,0,0,42.42,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,16.77,93.94,0,0,0,0,0,0,0,0,0,0,0,0,22.41,0.63,5.77,0,0,4.14,13.96,98.43,221.76,0,76.25,0,1.97,0,0,0,0,0,115.78,1.35,0,119.56,0,0,0,0,0,51.73,0,0,0,0,0

12,02:45-03:00,21.39,11,345.21,0,0,0,0,0,0,364.59,0,0,0,42.42,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,17.33,93.94,0,0,0,0,0,0,0,0,0,0,0,0,22.41,0.63,5.77,0,0,4.14,13.96,98.43,221.76,0,76.25,0,1.97,0,0,0,0,0,115.78,1.35,0,119.56,0,0,0,0,0,51.73,0,0,0,0,0

13,03:00-03:15,21.39,11,345.21,0,0,0,0,0,15.85,364.59,0,0,0,42.42,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,17.33,93.94,0,0,0,0,0,0,0,0,0,0,0,0,22.41,0.63,5.77,0,0,4.14,13.96,98.43,221.76,0,76.25,0,1.97,0,0,0,0,0,115.78,1.35,0,119.56,0,0,0,0,0,51.73,0,0,0,0,0

14,03:15-03:30,21.39,11,345.21,0,0,0,0,0,15.85,364.59,0,0,0,42.42,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,17.33,93.94,0,0,0,0,0,0,0,0,0,0,0,0,22.41,0.63,5.77,0,0,4.14,13.96,98.43,221.76,0,76.25,0,1.97,0,0,0,0,0,115.78,1.35,0,119.56,0,0,0,0,0,51.73,0,0,0,0,0

15,03:30-03:45,21.39,11.07,345.21,0,0,0,0,0,15.85,362.67,0,0,0,42.42,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,17.33,94.73,0,0,0,0,0,0,0,0,0,0,0,0,22.48,0.63,5.77,0,0,4.14,13.96,98.43,221.76,0,76.25,0,7.51,0,0,0,0,0,115.78,1.35,0,119.56,0,0,0,0,0,51.73,0,0,0,0,0

16,03:45-04:00,21.39,11.07,345.21,0,0,0,0,0,15.85,362.67,0,0,0,42.42,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,17.33,94.73,0,0,0,0,0,0,0,0,0,0,0,0,22.48,0.63,5.77,0,0,4.14,13.96,98.43,221.76,0,76.25,0,7.51,0,0,0,0,0,115.78,1.35,0,119.56,0,0,0,0,0,51.73,0,0,0,0,0

17,04:00-04:15,21.39,11.07,345.21,0,0,0,0,0,15.85,362.67,0,0,0,42.42,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,17.33,94.73,0,0,0,0,0,0,0,0,0,0,0,0,22.48,0.63,5.77,0,0,4.14,13.96,98.43,186.07,0,76.25,0,7.51,0,0,0,0,0,115.78,1.35,0,119.56,0,0,0,0,0,51.73,0,0,0,0,0

18,04:15-04:30,21.39,11.07,345.21,0,0,0,0,0,15.85,362.67,0,0,0,42.42,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,17.33,94.73,0,0,0,0,0,0,0,0,0,0,0,0,22.48,0.63,5.77,0,0,4.14,13.96,98.43,186.07,0,76.25,0,7.51,0,0,0,0,0,115.78,1.35,0,119.56,0,0,0,0,0,51.73,0,0,0,0,0

19,04:30-04:45,21.39,11.07,345.21,0,0,0,0,0,15.85,362.67,0,0,0,42.42,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,17.33,94.73,0,0,0,0,0,0,0,0,0,0,0,0,22.48,0.63,5.77,0,0,4.14,13.96,98.43,186.07,0,76.25,0,7.51,0,0,0,0,0,115.78,1.35,0,119.56,0,0,0,0,0,51.73,0,0,0,0,0

20,04:45-05:00,21.39,11.07,345.21,0,0,0,0,0,15.85,362.67,0,0,0,42.42,0,0,0,0,0,18.21,0,0,0,8.53,0,0,0,0,17.33,94.73,0,0,0,0,0,0,0,0,0,0,0,0,22.48,0.63,5.77,0,0,4.14,13.96,98.43,186.07,0,76.25,0,7.51,0,0,0,0,0,115.78,1.35,0,119.56,0,0,14.96,0,0,51.73,0,0,0,0,0

21,05:00-05:15,21.39,13.26,345.21,0,0,0,0,0,15.85,362.67,0,0,0,42.42,0,0,0,0,0,18.21,0,0,0,8.53,0,0,0,0,17.33,94.73,0,0,0,0,0,0,0,0,0,0,0,0,22.48,0.63,5.77,0,0,4.14,13.96,98.43,186.07,0,76.25,0,1.23,0,0,0,0,0,115.78,1.35,0,119.56,0,0,14.96,0,0,51.73,0,0,0,0,0

22,05:15-05:30,21.39,13.26,345.21,0,0,0,0,0,15.85,362.67,0,0,0,42.42,0,0,0,0,0,18.21,0,0,0,8.53,0,0,0,0,17.33,94.73,0,0,0,0,0,0,0,0,0,0,0,0,22.48,0.63,5.77,0,0,4.14,13.96,114.2,186.07,0,88.47,0,1.23,0,0,0,0,0,128.66,1.35,0,119.56,0,0,29.93,0,0,51.73,0,0,0,0,0

23,05:30-05:45,21.39,13.26,375.13,0,0,0,0,0,15.85,362.67,0,0,0,42.42,0,0,0,0,0,18.21,0,0,0,8.53,0,0,0,0,17.33,94.73,0,0,0,0,0,0,0,0,0,0,0,0,27.07,0.63,6.56,0,0,4.14,16.5,114.2,186.07,0,88.47,0,1.23,0,0,0,0,0,134.33,1.35,0,119.56,0,0,29.93,0,0,51.73,0,0,0,0,0

24,05:45-06:00,27.92,17.24,379.37,0,0,0,0,0,15.85,399.21,0,0,0,42.42,0,0,0,0,0,18.21,0,0,0,8.53,0,0,0,0,17.33,122.88,0,0,0,0,0,0,0,0,0,0,0,0,35.14,0.63,8.52,0,0,4.14,21.88,114.2,186.07,0,88.47,0,1.23,0,0,0,0,0,134.33,1.35,0,119.56,0,0,29.93,0,0,51.73,0,0,0,0,0

25,06:00-06:15,27.92,17.24,379.37,0,0,0,1.92,0,15.85,466.52,0,0,0,42.42,0,3.67,0,0,0,44.98,0,0,0,8.53,0,0,0,0,17.33,122.91,0,0,0,0,0,0,0,0,0,0,0,0,35.14,0.63,8.52,0,0,4.14,21.88,114.2,186.07,0,88.47,0,1.23,0,0,0,0,0,134.33,1.35,0,119.56,0,0,29.93,0,0,51.73,0,0,0,0,0

26,06:15-06:30,32.18,20,465.91,0,0,0,3.21,0,15.85,529.63,0,0,0,42.42,0,15.9,0,0,0,67.48,0,0,0,17.07,0,0,0,0,17.33,142.61,0,0,0,0,0,0,0,0,0,0,0,0,40.76,0.63,9.89,0,0,4.14,25.24,114.2,186.07,0,88.47,0,1.23,0,0,0,0,0,134.33,1.35,0,119.56,0,0,43.08,0,0,51.73,0,0,0,0,0

27,06:30-06:45,32.4,20,552.46,9.31,0,0,7.68,7.62,31.69,616.15,0,0,0,42.42,0,15.9,0,0,0,89.97,0,0,0,25.6,0,0,11.55,2.12,17.33,142.61,0,0,0,0,0,0,0,0,0,0,0,0,40.76,0.63,9.89,0,0,4.14,25.39,114.2,186.07,0,88.47,0,1.23,0,0,0,0,0,134.33,1.35,0,119.56,0,0,44.89,0,0,51.73,0,0,0,0,0

28,06:45-07:00,32.4,20,597.13,27.94,0,0,30.76,26.36,31.69,652.53,0,0,0,42.42,0,15.9,0,0,0,112.46,0,0,0,37.55,0,0,11.78,12.54,17.33,142.61,0,0,0,0,0,0,0,0,0,0,0,0,40.76,0.63,9.89,0,0,4.14,25.39,114.2,186.07,0,88.47,0,1.23,0,0,0,0,0,134.33,1.35,7.6,119.56,0,0,59.85,0,0,51.73,0,0,0,0,0

29,07:00-07:15,32.4,20,569.25,27.94,0,0,30.76,26.36,31.69,656.57,0,0,0,42.42,0,15.9,0,0,0,112.46,0,0,0,37.55,0,0,27.02,12.54,17.33,142.61,0,0,0,0,0,0,0,0,0,0,0,0,40.76,1.28,9.89,0,0,4.14,25.39,114.2,186.07,0,88.47,0,1.23,0,0,0,0,0,134.33,1.35,7.6,119.56,0,0,59.85,0,0,51.73,0,0,0,0,0

