Column1,Block,NR/2025/33869/C,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/1196,NR/2025/33875/C,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/33868/C,GNA/NR/2025/08/01/2414,NR/2025/29992/A/98022,NR/2025/33870/C,GNA/NR/2025/08/01/4452,NR/2025/32397/A/97707,NR/2025/33656/A/98161,NR/2025/33637/A/98112,NR/2025/31049/A/98168,NR/2025/32534/A/98065,NR/2025/31048/A/98169,NR/2025/33633/A/98113,NR/2025/33845/C,NR/2025/33469/A/97789,NR/2025/32262/A/97729,NR/2025/32375/A/98149,NR/2025/32559/A/98267,NR/2025/33847/C,NR/2025/31045/A/98170,NR/2025/32610/A/98266,NR/2025/33848/C,NR/2025/31043/A/98171,NR/2025/29440/A/97646,NR/2025/33849/C,NR/2025/32455/A/98146,NR/2025/32004/A/98271,NR/2025/32534/A/98066,NR/2025/33834/C,NR/2025/31421/A/98156,NR/2025/33670/A/98077,NR/2025/33833/C,NR/2025/32556/A/98268,NR/2025/32535/A/98068,NR/2025/32535/A/98067,GNARE/NR/2024/12/20/3668,NR/2025/32599/A/97863,NR/2025/32532/A/98063,NR/2025/32532/A/98062,NR/2025/33632/A/98114,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/4125,Total
,,MES_Delhi,BAWANA_GAS,MANIKARAN,MANIKARAN,PowerPulse,MANIKARAN,NDMC,APPCPL,NVVNL,NVVNL,PUNJAB,DELHI,NVVNL,MANIKARAN,BYPL,NVVNL,APPCPL,IEXL,PowerPulse,GMRETL,PowerPulse,OIDLWM2_AEROCITY,PowerPulse,GMRETL,APPCPL,DIAPL,TPTCL,NVVNL,APPCPL,APPCPL,PowerPulse,APPCPL,APPCPL,PowerPulse,ITCLH,APPCPL,MANIKARAN,APPCPL,OIDLWM2_AEROCITY,PowerPulse,NVVNL,PTC,PowerPulse,APPCPL,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,SECI_Trader,BRPL,ABLWM1_AEROCITY,ABLWM1_AEROCITY,GMRETL,NDMC,NDMC,
,,NA,DELHI_UT,MP_State,NA,MSEB_State,MSEB_State,NA,GOA_State,NA,NA,DELHI_UT,HIMACHAL_STATE,NA,NA,KERALA_State,MP_State,GOA_State,MSEB_State,NA,NA,NA,NA,NA,NA,MSEB_State,HIMACHAL_STATE,MSEB_State,MP_State,NA,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,MSEB_State,NA,NA,NA,GoHP_NJPC_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,NTPCREL_PSS2_KPS2_S,BAWANA_GAS,BLAPOWER_MP,MBMP,Vidarbha_Industry_MH,AEML,JIPL,GOA_Beneficiary,Kameng,JHABUA_IPP,BAWANA_GAS,CHANJUII,JPNIGRIE_JNSTPP,DBPL,KSEB,JP_BINA,GOA_Beneficiary,A_A_Energy_MH_Bio,APL_Raipur_TPP,JGCPL_BKN2,APL_Raigarh_TPP,TESPL_BKN2,APL_Raigarh_TPP,JGCPL_BKN2,AEML,GBHHPL,TPC_MSEB,JP_BINA,RKM_POWER,RKM_POWER,MAHAN_ENERGEN,RKM_POWER,JPL2,MAHAN_ENERGEN,ITCWIND,RKM_POWER,MBMP,AEML,TCSPL_BKN2,MAHAN_ENERGEN,JPNIGRIE_JNSTPP,GoHP_NJPC,APL_Raigarh_TPP,JPL2,TCSPL_BKN2,TESPL_BKN2,APSEPL_FTG,TS1PL_BKN,TCSPL_BKN2,TESPL_BKN2,JGCPL_BKN2,TRN_ENERGY,SKS_Raigarh,
,,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,HARYANA,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,TPDDL,BRPL,PUNJAB,TPDDL,TPDDL,BRPL,BYPL,TPDDL,BRPL,MES_Delhi,BRPL,BLKMH,TPDDL,OIDLWM2_AEROCITY,TPDDL,DTCP,BYPL,DIAPL,BYPL,TPDDL,NDMC,NDMC,TPDDL,NDMC,NDMC,TPDDL,ITCLH,NDMC,BRPL,BYPL,OIDLWM2_AEROCITY,TPDDL,TPDDL,BRPL,TPDDL,NDMC,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,TPDDL,BRPL,ABLWM1_AEROCITY,ABLWM1_AEROCITY,MAX_HPTL,NDMC,NDMC,
,,West-North,North-North,West-North,West-North,West-North,West-North,East-North,West-North,North East-East-North,West-North,North-North,North-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,
1,00:00-00:15,0,0,20.51,33.79,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,0,0,15.3,8.69,164.1,0,0,0,96.53,0,0,12.55,54.3,48.26,26.32,0,0,26.32,0,96.53,0,0,48.26,106.18,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1368.5499999999997

2,00:15-00:30,0,0,20.51,33.79,82.05,20.83,29.03,19.31,193.06,20.51,0,19.22,0,41.03,0,0,15.3,8.69,164.1,0,0,0,96.53,0,0,12.55,54.3,48.26,26.32,0,0,26.32,0,96.53,0,0,48.26,106.18,0,0,48.26,82.05,0,26.32,0,0,0,0,0,0,0,14.62,14.62,1368.5499999999997

