Block,Time Block,KHSTPP-I,KISHANGANGA,JHAJJAR,DHAULIGNGA,KHSTPP-II,KGSU1AND2,FSTPP I & II,DULHASTI,KGSU3AND4,CHAMERA1,BSIUL,CHAMERA3,CHAMERA2,BRBCL,DADRT2,KOLDAM,KKNP,KKNPPU2,NAPP,NLCEXP,KOTESHWR,NLCIIST1,MAPS,NJPC,NLCIIST2,NLCTS2EXP,KUDGI,DADRI_RF,DADRI_LF,UNCHAHAR3,URI,UNCHAHAR2,VALLURNTECL,UNCHAHAR4,URI2,AURY_GF,DADRI_CRF,ANTA_CRF,AURY_CRF,AURY_RF,ANTA_LF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_GF,TelanganaSTPP,SINGRAULI,SALAL,SEWA2,TALA,TEHRI,UNCHAHAR1,TANDA2,SASAN,SINGRAULI_HYDRO,SIMHST1,TALST2,SIMHST2,TANAKPUR,NNTPP,RIHAND3,RIHAND2,RAPPB,NTPL,RIHAND1,PARBATI3,RSTPSU1TO6,RAPPC,RSTPSU7,RAMPUR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,42.78,0,281.39,8.8,143.18,0,15.85,47.72,0,0,0,0,2.32,19.32,327.96,0,0,0,39.8,0,8.56,0,0,0,0,0,0,0,0,21.52,2.13,34.17,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,134.86,2.25,0,0,14.41,18.02,0,404.17,0,0,0,0,11.5,0,120.03,114.66,0,0,88.83,0,0,50.23,0,0,0,0,0,0,0

2,00:15-00:30,42.78,0,281.39,8.8,143.18,0,15.85,47.72,0,0,0,0,2.32,19.32,327.96,0,0,0,39.8,0,8.56,0,0,0,0,0,0,0,0,21.52,2.13,34.17,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,134.86,2.25,0,0,14.41,16.65,0,404.32,0,0,0,0,6.81,0,120.03,114.66,0,0,88.83,0,0,50.23,0,0,0,0,0,0,0

3,00:30-00:45,42.78,0,281.39,8.8,143.18,0,15.85,47.72,0,0,0,0,2.32,19.32,327.96,0,0,0,39.8,0,8.56,0,0,0,0,0,0,0,0,21.52,2.13,34.17,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,134.86,13.47,0,0,14.41,16.65,0,404.32,0,0,0,0,6.81,0,120.03,114.66,0,0,88.83,0,0,50.23,0,0,0,0,0,0,0

4,00:45-01:00,42.78,0,281.39,8.8,143.18,0,15.85,47.72,0,0,0,0,2.32,19.32,327.96,0,0,0,39.8,0,8.56,0,0,0,0,0,0,0,0,21.52,2.13,34.17,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,134.86,76.64,0,0,14.41,16.65,0,404.32,0,0,0,0,6.81,0,120.03,114.66,0,0,88.83,0,0,50.23,0,0,0,0,0,0,0

5,01:00-01:15,42.78,0,257.25,8.8,143.18,0,20.08,47.72,0,0,0,0,2.32,19.32,327.96,0,0,0,39.8,0,8.56,0,0,0,0,0,0,0,0,21.52,2.13,34.17,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,134.86,76.64,0,0,14.41,16.65,0,404.32,0,0,0,0,11.5,0,120.03,114.66,0,0,88.83,0,0,50.23,0,0,0,0,0,0,0

