Block,Time,TANAKPUR,ANTA_CRF,AURY_GF,URI,RIHAND1,NJPC,SALAL,DHAULIGNGA,DULHASTI,UNCHAHAR3,ANTA_RF,CHAMERA2,UNCHAHAR1,DADRI_GF,DADRI_LF,AURY_RF,RAPPC,CHAMERA3,URI2,SINGRAULI,KOTESHWR,KOLDAM,TEHRI,RIHAND2,DADRI_RF,ANTA_LF,AURY_LF,UNCHAHAR2,RAPPB,BSIUL,SEWA2,RAMPUR,CHAMERA1,PARBATI3,RIHAND3,AURY_CRF,KISHANGANGA,JHAJJAR,DADRI_CRF,UNCHAHAR4,DADRT2,ANTA_GF,NAPP,SINGRAULI_HYDRO,TANDA2,KHSTPP-II,TALA,KHSTPP-I,FSTPP I & II,BRBCL,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,4.942610,0.000000,0.000000,40.466899,72.131203,0.000000,2.241730,0.000000,1.856373,17.109204,0.000000,0.000000,6.745680,0.000000,0.000000,0.000000,52.268105,0.000000,23.875471,121.141702,8.084313,0.000000,0.000000,113.943375,0.000000,0.000000,0.000000,28.277538,0.000000,6.289964,0.000000,0.000000,0.000000,0.000000,58.530578,0.000000,0.000000,231.021700,0.000000,0.000000,361.725000,0.000000,42.031866,0.775018,0.000000,114.178930,0.000000,30.332329,14.141036,19.291953,403.945542,0,0,0,0,0

2,00:15-00:30,4.942610,0.000000,0.000000,40.466899,61.286440,0.000000,2.241730,0.000000,1.856373,14.005992,0.000000,0.000000,6.414590,0.000000,0.000000,0.000000,52.268105,0.000000,23.875471,121.141702,8.084313,0.000000,0.000000,113.943375,0.000000,0.000000,0.000000,28.277538,0.000000,6.289964,0.000000,0.000000,0.000000,0.000000,58.530578,0.000000,0.000000,231.021700,0.000000,0.000000,361.725000,0.000000,42.031866,0.775018,0.000000,114.178930,0.000000,30.332329,14.141036,18.561316,403.945542,0,0,0,0,0

3,00:30-00:45,4.201219,0.000000,0.000000,26.622960,61.286440,0.000000,2.241730,0.000000,1.856373,14.005992,0.000000,0.000000,6.414590,0.000000,0.000000,0.000000,52.268105,0.000000,23.875471,121.141702,8.084313,0.000000,0.000000,91.586166,0.000000,0.000000,0.000000,23.450159,0.000000,6.289964,0.000000,0.000000,0.000000,0.000000,43.051063,0.000000,0.000000,231.021700,0.000000,0.000000,361.725000,0.000000,42.031866,0.775018,0.000000,92.707802,0.000000,24.616592,11.006086,17.247278,403.945542,0,0,0,0,0

4,00:45-01:00,4.201219,0.000000,0.000000,26.622960,61.286440,0.000000,2.241730,0.000000,1.856373,14.005992,0.000000,0.000000,6.414590,0.000000,0.000000,0.000000,52.268105,0.000000,18.166119,121.141702,8.084313,0.000000,0.000000,91.586166,0.000000,0.000000,0.000000,22.494472,0.000000,6.289964,0.000000,0.000000,0.000000,0.000000,43.051063,0.000000,0.000000,231.021700,0.000000,0.000000,361.725000,0.000000,42.031866,0.775018,0.000000,92.707802,0.000000,24.616592,11.006086,18.155708,403.945542,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,26.622960,61.286440,0.000000,2.241730,0.000000,1.856373,14.005992,0.000000,0.000000,6.414590,0.000000,0.000000,0.000000,52.268105,0.000000,18.166119,121.141702,8.084313,0.000000,0.000000,91.586166,0.000000,0.000000,0.000000,22.494472,0.000000,6.289964,0.000000,0.000000,0.000000,0.000000,43.051063,0.000000,0.000000,231.021700,0.000000,0.000000,361.725000,0.000000,42.031866,0.775018,0.000000,92.707802,0.000000,24.616592,11.006086,16.600344,403.945542,0,0,0,0,0

