Column1,Block,GNA/NR/2025/09/01/2909,GNA/NR/2025/09/01/5084,GNA/NR/2025/09/01/5590,GNA/NR/2025/09/01/7452,GNA/NR/2025/09/01/4602,GNA/NR/2025/09/01/8071,GNA/NR/2025/09/01/4314,NR/30092023/26122029/SH-06,GNA/NR/2025/09/01/7215,GNA/NR/2025/09/01/6485,GNA/NR/2025/09/01/6755,NR/30092023/31122025/SH-07,GNA/NR/2025/09/01/2039,GNA/NR/2025/09/01/9418,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/09/01/7691,GNA/NR/2025/09/01/7205,GNA/NR/2025/09/01/9239,NR/2025/29440/A/101505,NR/2025/34529/A/101944,NR/2025/29910/A/101868,NR/2025/29992/A/101598,NR/2025/34676/A/102031,NR/2025/34527/A/101943,NR/2025/33476/A/101865,NR/2025/33479/A/101866,NR/2025/34499/A/101827,NR/2025/34545/A/102051,NR/2025/34323/A/101860,NR/2025/33226/A/102032,NR/2025/34818/C,NR/2025/34840/C,NR/2025/34528/A/101942,NR/2025/34904/C,NR/2025/34904/C/Alternate/1,NR/2025/34854/C,NR/2025/34854/C/Alternate/1,NR/2025/34856/C,NR/2025/34902/C,NR/2025/34874/C,NR/2025/34892/C,NR/2025/34903/C,NR/2025/34324/A/101852,NR/2025/34325/A/101851,NR/2025/34891/C,NR/2025/34893/C,NR/2025/34885/C,GNARE/NR/2024/12/20/3668,NR/2025/34710/A/101629,NR/2025/34712/A/101633,NR/2025/34713/A/101634,NR/2025/34683/A/101891,NR/2025/34682/A/101893,NR/2025/34683/A/101890,NR/2025/34615/A/101643,NR/2025/34681/A/101894,NR/2025/34681/A/101895,NR/2025/34682/A/101892,Total
,,APPCPL,PTC,PTC,APPCPL,PTC,PTC,PTC,PUNJAB,PowerPulse,MANIKARAN,NVVNL,BAWANA_GAS,MANIKARAN,APPCPL,DELHI,NDMC,NDMC,NDMC,ITCLH,PTC,APPCPL,BYPL,NVVNL,PTC,PowerPulse,PowerPulse,INSTINCT,MANIKARAN,APPCPL,NVVNL,DIAPL,PowerPulse,PTC,NVVNL,NVVNL,IEXL,IEXL,MANIKARAN,NVVNL,INSTINCT,APPCPL,NVVNL,APPCPL,APPCPL,APPCPL,APPCPL,MES_Delhi,SECI_Trader,GMRETL,GMRETL,GMRETL,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,BRPL,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,
,,NA,NA,TELANGANA_State,GOA_State,GoHP_Koldam_STATE,GoHP_Rampur_STATE,GoHP_NJPC_STATE,DELHI_UT,NA,MP_State,NA,DELHI_UT,NA,GOA_State,HIMACHAL_STATE,NA,NA,NA,ANDHRA_PRADESH_STATE,GoHP_NJPC_STATE,KERALA_State,KERALA_State,MP_State,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,GoHP_Koldam_STATE,NA,NA,ODISHA_STATE,ODISHA_STATE,NA,NA,NA,NA,MP_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,ACBIL,KWHEP,NAVABHARATVL,GOA_Beneficiary,GoHP_Koldam,GoHP_Rampur,GoHP_NJPC,BAWANA_GAS,APL_Raipur_TPP,BLAPOWER_MP,JHABUA_IPP,BAWANA_GAS,MCCPL,GOA_Beneficiary,CHANJUII,TRN_ENERGY,SKS_Raigarh,JIPL,ITCWIND,GoHP_NJPC,KSEB,KSEB,JP_BINA,KWHEP,APL_Raipur_TPP,APL_Raipur_TPP,JPL2,DBPL,JPL2,JPNIGRIE_JNSTPP,GBHHPL,APL_Raipur_TPP,GoHP_Koldam,Kameng,Kameng,ORSISL,ORSISL,DBPL,JPNIGRIE_JNSTPP,JPL2,JPL2,JP_BINA,RKM_POWER,RKM_POWER,RKM_POWER,RKM_POWER,NTPCREL_PSS2_KPS2_S,APSEPL_FTG,JNEPL_BKN2,JNEPL_BKN2,JGCPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,TESPL_BKN2,TS1PL_BKN,TESPL_BKN2,TCSPL_BKN2,TESPL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,PUNJAB,BRPL,BRPL,BRPL,HARYANA,BRPL,BRPL,TPDDL,NDMC,NDMC,NDMC,ITCLH,BRPL,BYPL,BYPL,TPDDL,BRPL,TPDDL,TPDDL,BRPL,BRPL,NDMC,TPDDL,DIAPL,TPDDL,BRPL,TPDDL,TPDDL,MES_Delhi,MES_Delhi,BRPL,TPDDL,BRPL,NDMC,TPDDL,NDMC,NDMC,NDMC,NDMC,MES_Delhi,TPDDL,BLKMH,DTCP,MAX_HPTL,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,BRPL,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,
,,West-North,North-North,South-East-West-North,West-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,East-North,South-West-North,North-North,South-West-North,South-West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,North East-East-North,North East-East-West-North,East-North,East-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,20.48,0,36.86,15.27,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,8.67,8.67,17.35,0.87,81.91,192.74,44.33,48.18,61.44,96.37,0,122.87,40.96,24.09,48.18,12.53,0,40.96,0,192.74,0,4.82,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310.62

2,00:15-00:30,20.48,0,36.86,15.27,0,28.67,20.48,0,12.29,20.48,20.48,0,20.48,19.27,0,8.67,8.67,17.35,0.87,81.91,192.74,44.33,48.18,61.44,96.37,0,122.87,40.96,24.09,48.18,12.53,0,40.96,0,192.74,0,4.82,0,0,0,0,0,24.09,24.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310.62

