Block,Time,BRBCL,RAPPB,RIHAND2,SALAL,TANDA2,TEHRI,UNCHAHAR1,UNCHAHAR4,ANTA_GF,DADRI_LF,CHAMERA3,DULHASTI,KHSTPP-II,KISHANGANGA,SASAN,SEWA2,SINGRAULI,TALA,URI,URI2,ANTA_CRF,AURY_GF,AURY_LF,DADRI_GF,CHAMERA1,KOLDAM,NLCIIST1,NLCIIST2,NNTPP,RIHAND3,ANTA_LF,AURY_RF,DHAULIGNGA,KKNP,NTPL,PARBATI3,RIHAND1,UNCHAHAR2,DADRI_CRF,JHAJJAR,KUDGI,NJPC,NLCEXP,RAMPUR,SIMHST2,KHSTPP-I,KKNPPU2,RSTPSU7,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,DADRI_RF,CHAMERA2,MAPS,NLCTS2EXP,RSTPSU1TO6,SIMHST1,TALST2,UNCHAHAR3,ANTA_RF,AURY_CRF,BSIUL,DADRT2,FSTPP I & II,KGSU1AND2,KGSU3AND4,KOTESHWR,NAPP,RAPPC,VALLURNTECL
1,00:00-00:15,20,0,118.75,1.4,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,44.83,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,2.05,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

2,00:15-00:30,20,0,118.75,1.4,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,44.83,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,2.56,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

3,00:30-00:45,20,0,118.75,1.4,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,44.83,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,7.81,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

4,00:45-01:00,20,0,118.75,1.4,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,44.83,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,7.81,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

5,01:00-01:15,20,0,118.75,1.4,0,0,20.56,0,0,23.57,0,0,148.3,0,345.94,0,125.96,0,1.11,4.31,44.83,0,0,0,0,0,0,0,0,124.32,0,71.46,0,0,0,0,45,42.39,0,436.2,0,0,0,0,0,45.22,0,0,0,7.81,0,47.12,0,0,0,0,0,0,26.39,0,0,0,683.14,13.9,0,0,8.88,44.21,53.81,0

