Column1,Time,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/6891,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/8036,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/4651,NR/01102023/15082037/GNA_NR_2012_01,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/5143,GNA/WR/2025/01/01/8625,NR/01102023/22052037/LT-59,GNA/WR/2025/01/01/9606,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNARE/NR/2024/12/20/3668,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,GNARE/SR/2025/01/13/4532,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16
1,00:00-00:15,26.99,1.21,0,0,74.53,0,26.99,35.06,6.81,200,63.42,28.26,23.07,23.07,229.66,1.15,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.39,0,271.81,0,11,13.67,38.33,0,13.01,0,0,0,13.67,38.34,40.99,0,0,0,0,0,0,0,0

2,00:15-00:30,26.99,1.21,0,0,74.53,0,26.99,35.06,6.81,200,63.42,29.27,23.07,23.07,229.66,1.15,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.39,0,271.81,0,11,13.83,38.67,0,12.41,0,0,0,13.83,38.66,41.51,0,0,0,0,0,0,0,0

3,00:30-00:45,26.99,1.21,0,0,74.53,0,26.99,35.06,6.81,200,63.42,29.27,23.07,23.07,229.66,1.15,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.39,0,271.81,0,11,14,39,0,12.01,0,0,0,14,39,42,0,0,0,0,0,0,0,0

4,00:45-01:00,26.99,1.21,0,0,74.53,0,26.99,35.06,6.81,200,63.42,29.27,23.07,23.07,229.66,1.15,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.39,0,271.81,0,11.33,14,39.33,0,11.81,0,0,0,14,39.34,42,0,0,0,0,0,0,0,0

5,01:00-01:15,26.99,1.21,0,0,74.53,0,26.99,35.06,6.72,200,63.42,29.27,23.07,23.07,229.66,1.15,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.39,0,271.81,0,11.67,14.17,31.67,0,18.81,0,0,0,14.17,31.66,42.49,0,0,0,0,0,0,0,0

6,01:15-01:30,26.99,1.21,0,0,74.53,0,26.99,35.06,6.72,200,63.42,29.27,23.07,23.07,229.66,1.15,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.39,0,271.81,0,11.67,14.33,32,0,18.41,0,0,0,14.33,32,43.01,0,0,0,0,0,0,0,0

7,01:30-01:45,26.99,1.21,0,0,74.53,0,26.99,35.06,6.72,200,63.42,29.27,23.07,23.07,229.66,1.15,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.39,0,271.81,0,11.67,14.5,33.33,0,17.61,0,0,0,14.5,33.34,43.5,0,0,0,0,0,0,0,0

8,01:45-02:00,26.99,1.21,0,0,74.53,0,26.99,35.06,6.72,200,63.42,29.27,23.07,23.07,229.66,1.15,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.39,0,271.81,0,11.33,14.67,34,0,16.81,0,0,0,14.67,34,43.99,0,0,0,0,0,0,0,0

9,02:00-02:15,26.99,1.21,0,0,74.53,0,26.99,35.06,6.62,0,63.42,29.27,23.07,23.07,229.66,1.08,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.32,0,271.81,0,11.33,14.83,34.67,0,9.6,0,0,0,14.83,34.66,44.51,0,0,0,0,0,0,0,0

10,02:15-02:30,26.99,1.21,0,0,74.53,0,26.99,35.06,6.62,0,63.42,28.26,23.07,23.07,229.66,1.08,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.32,0,271.81,0,11,15,36,0,9.2,0,0,0,15,36,45,0,0,0,0,0,0,0,0

11,02:30-02:45,26.99,1.21,0,0,74.53,0,26.99,35.06,6.62,0,63.42,28.26,23.07,23.07,229.66,1.08,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.32,0,271.81,0,11,15,35.33,0,15.41,0,0,0,15,35.34,45,0,0,0,0,0,0,0,0

12,02:45-03:00,26.99,1.21,0,0,74.53,0,26.99,35.06,6.62,0,63.42,28.26,23.07,23.07,229.66,1.08,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.32,0,271.81,0,10.67,15,34,0,15.01,0,0,0,15,34,45,0,0,0,0,0,0,0,0

13,03:00-03:15,26.99,1.21,0,0,74.53,0,26.99,35.06,6.54,0,63.42,28.26,23.07,23.07,229.66,1.08,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.32,0,271.81,0,10,15,34.67,0,14.81,0,0,0,15,34.66,45,0,0,0,0,0,0,0,0

14,03:15-03:30,26.99,1.21,0,0,74.53,0,26.99,35.06,6.54,0,63.42,28.26,23.07,23.07,229.66,1.08,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.32,0,271.81,0,9.67,15,33,0,14.41,0,0,0,15,33,45,0,0,0,0,0,0,0,0

15,03:30-03:45,26.99,1.21,0,0,74.53,0,26.99,35.06,6.54,0,63.42,28.26,23.07,23.07,229.66,1.08,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.32,0,271.81,0,9.33,17.5,37.33,0,13.81,0,0,0,17.5,37.34,52.5,0,0,0,0,0,0,0,0

16,03:45-04:00,26.99,1.21,0,0,74.53,0,26.99,35.06,6.54,0,63.42,28.26,23.07,23.07,229.66,1.08,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.32,0,271.81,0,9,17.17,37,0,13.41,0,0,0,17.17,37,51.49,0,0,0,0,0,0,0,0

17,04:00-04:15,26.99,1.21,0,0,86.71,0,26.99,35.06,6.54,0,63.42,28.26,23.07,23.07,260.13,1,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.24,0,271.81,0,8.67,16.67,34,0,16.41,0,0,0,16.67,34,49.99,0,0,0,0,0,0,0,0

18,04:15-04:30,26.99,1.21,0,0,86.71,0,26.99,35.06,6.54,0,63.42,28.26,23.07,23.07,260.13,1,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.24,0,271.81,0,8.33,16.33,34.67,0,15.61,0,0,0,16.33,34.66,49.01,0,0,0,0,0,0,0,0

19,04:30-04:45,26.99,1.21,0,0,86.71,0,26.99,35.06,6.54,0,63.42,27.75,23.07,23.07,260.13,1,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.24,0,271.81,0,8,16,35,0,15.01,0,0,0,16,35,48,0,0,0,0,0,0,0,0

20,04:45-05:00,26.99,1.21,0,0,86.71,0,26.99,35.06,6.54,0,63.42,27.75,23.07,23.07,260.13,1,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.24,0,271.81,0,8,15.67,33,0,14.41,0,0,0,15.67,33,46.99,0,0,0,0,0,0,0,0

21,05:00-05:15,26.99,1.16,0,0,86.71,0,26.99,35.06,6.44,0,63.42,27.25,23.07,23.07,260.13,1,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.24,0,271.81,0,11.67,15.33,32.33,0,13.61,0,0,0,15.33,32.34,46.01,0,0,0,0,0,0,0,0

22,05:15-05:30,26.99,1.16,0,0,86.71,0,26.99,35.06,6.44,0,63.42,27.25,23.07,23.07,260.13,1,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.24,0,271.81,0,11,14.83,32.33,0,13.01,0,0,0,14.83,32.34,44.51,0,0,0,0,0,0,0,0

23,05:30-05:45,26.99,1.16,0,0,86.71,0,26.99,32.98,6.44,0,63.42,26.74,23.07,23.07,260.13,1,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.24,0,271.81,0,10,14.67,32.33,0,12.41,0,0,0,14.67,32.34,43.99,0,0,0,0,0,0,0,0

24,05:45-06:00,26.99,1.16,0,0,86.71,0,26.99,32.98,6.44,0,63.42,26.74,23.07,23.07,260.13,1,8.65,23.07,17.3,5.77,100.15,42,190.26,0,1.24,0,271.81,0,9.67,14.33,32.33,0,11.61,0,0,0,14.33,32.34,43.01,0,0,0,0,0,0,0,0

25,06:00-06:15,26.99,1.16,0,0,86.71,0,26.99,37.22,6.34,0,0,26.24,23.07,23.07,260.13,1,8.65,23.07,17.3,5.77,100.15,42,0,0,1.24,0,271.81,0,9.33,14.17,25.67,0.72,11.41,0,0.05,0,14.17,25.66,42.49,0,0,0,0,0,0,0,0

26,06:15-06:30,26.99,1.16,0,0,86.71,0,26.99,41.46,6.34,0,0,26.24,23.07,23.07,260.13,1,8.65,23.07,17.3,5.77,100.15,42,0,0,1.24,0,271.81,0,8.67,14,26.67,2.82,11.21,0,0.85,0,14,26.66,42,0,0,0,0,0,0,0,0

27,06:30-06:45,25.16,1.16,0,0,86.71,0,25.16,45.7,6.34,0,0,25.23,23.07,23.07,260.13,1.08,8.65,23.07,17.3,5.77,100.15,42,0,0,1.24,0,271.81,0,8.33,13.67,25.67,6.44,11,0,3.23,1,13.67,25.66,40.99,0,0,0,0,0,0,0,0

28,06:45-07:00,19.71,1.16,0,0,86.71,0,19.71,57.67,6.34,0,0,25.23,23.07,23.07,260.13,1.08,8.65,23.07,17.3,5.77,100.15,42,0,0,1.24,0,271.81,0.04,8,13.17,24,12.18,10.8,0.23,8.01,4,13.17,24,39.49,0,0,0,0,0,0,0,0

29,07:00-07:15,12.6,1.16,0,0,86.71,0,32,57.67,6.16,0,0,24.22,23.07,23.07,260.13,1.08,8.65,23.07,17.3,5.77,100.15,0,0,0,1.24,0,271.81,0.28,7.67,13,23,21.37,10.8,6.18,16.57,10,13,23,39,1,5,0,0,0,0,2,10

30,07:15-07:30,12.6,1.16,0,0,86.71,0,32,57.67,6.16,0,0,24.22,23.07,23.07,260.13,1.08,8.65,23.07,17.3,5.77,100.15,0,0,0,1.24,0,271.81,0.34,7.33,12.83,21.67,25.1,10.8,13.53,25.1,15,12.83,21.66,38.51,4,5,1,1,2.18,0.44,3,10

31,07:30-07:45,12.6,1.16,0.15,0.12,86.71,0.15,32,57.67,6.16,0,0,24.22,23.07,23.07,260.13,1.08,8.65,23.07,17.3,5.77,100.15,0,0,0,0,0,271.81,0.51,7,12.67,21,22.23,7,22.06,22.23,22.24,12.67,21,37.99,7,5,3,3,7.26,1.45,7,10

