Time,Block,NR/2023/15229/D,NR/2023/14187/F,NR/2023/15236/D,NR/2023/15230/D,NR/2023/11739/A,NR/2023/13284/A,NR/2023/15259/C,NR/2023/11469/A,NR/2023/15247/C,NR/2023/11697/A,NR/2023/11203/A,NR/2023/13983/F,NR/2023/15258/C,NR/2023/11458/A,NR/2023/13983/F/II,NR/2023/14688/F,NR/2023/11654/A,NR/2023/13283/A,NR/2023/15246/C,NR/2023/15243/C,NR/2023/15261/C,NR/2023/12646/A,NR/2023/11954/A,NR/2023/11325/A,NR/2023/11315/A,NR/2023/13859/A,NR/2023/15237/D,NR/2023/14688/F/II,NR/2023/11470/A,NR/2023/11328/A,NR/2023/13573/A,NR/2023/13858/A,Total
,,NVVNL,GBHHPL,SJVNL,NVVNL,NVVNL,APPCPL,TPDDL,NVVNL,GBHHPL,APPCPL,KEIPL,ITCLH,IEXL,STATKRAFT,ITCLH,GMRETL,TPTCL,APPCPL,IEXL,SJVNL,PXIL,MANIKARAN,KEIPL,APPCPL,GMRETL,MANIKARAN,SJVNL,GMRETL,NVVNL,APPCPL,NVVNL,MANIKARAN,Total

,,NA,HIMACHAL PRADESH,WEST BENGAL,NA,MP,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,ANDHRA PRADESH,DELHI,TAMIL NADU,ANDHRA PRADESH,GOA,NA,GOA,KARNATAKA,NA,NA,TAMIL NADU,MEGHALAYA,MEGHALAYA,MEGHALAYA,HIMACHAL PRADESH,UTTAR PRADESH,GOA,NA,UTTARAKHAND,NA,HIMACHAL PRADESH,
,,SOLAPUR_SOLAR,GBHHPL,IPCL_WB,KAMENG,JP BINA,HP,CHANJUII,JPNIGRIE_JNSTPP,GBHHPL,HP,Meghalaya_Ben,ITCWIND,BYPL,TANGEDCO,ITCWIND,GOA_Beneficiary,JPL-2,GOA_Beneficiary,NSLSUGAR,Teesta_III,Teesta_III,TANGEDCO,Meghalaya_Ben,Meghalaya_Ben,Meghalaya_Ben,HP,BCMLB001,GOA_Beneficiary,KAMENG,UTTARAKHAND,SKS Raigarh,HP,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MES (Delhi),DIAPL,NDMC,TPDDL,BRPL,BRPL,TPDDL,BRPL,DIAPL,BYPL,BYPL,ITCLH,ASIL_UP,BYPL,ITCLH,TPDDL,BRPL,BRPL,MES (Delhi),NDMC,BRPL,BRPL,BYPL,BYPL,BYPL,BRPL,NDMC,TPDDL,BRPL,BYPL,NDMC,BRPL,
,,West-North,North-North,East-North,North East-East-North,West-North,North-North,North-North,West-North,North-North,North-North,North East-East-North,South-West-North,North-North,South-West-North,South-East-North,West-East-North,West-North,West-North,South-East-North,East-North,East-North,South-West-North,North East-East-North,North East-East-North,North East-East-North,North-North,North-North,West-North,North East-East-North,North-North,West-North,North-North,
1,00:00-00:15,0,3.860000,0.000000,193.200000,42.490000,81.820000,19.610000,84.990000,4.040000,35.070000,63.030000,0.630000,0.000000,98.530000,0.240000,24.150000,66.480000,24.150000,6.760000,0.000000,220.250000,23.120000,36.450000,24.150000,22.220000,188.370000,0.000000,0.000000,21.240000,48.300000,62.790000,84.520000,1480.46

2,00:15-00:30,0,3.860000,0.000000,193.200000,42.490000,81.820000,19.610000,84.990000,4.040000,35.070000,63.030000,0.630000,0.000000,98.530000,0.240000,24.150000,66.480000,24.150000,6.760000,0.000000,184.510000,23.120000,36.450000,24.150000,22.220000,188.370000,0.000000,0.000000,21.240000,48.300000,62.790000,84.520000,1444.72

3,00:30-00:45,0,3.860000,0.000000,193.200000,42.490000,81.820000,19.610000,84.990000,4.040000,35.070000,63.030000,0.630000,0.000000,98.530000,0.240000,24.150000,66.480000,24.150000,6.760000,0.000000,144.900000,23.120000,36.450000,24.150000,22.220000,188.370000,0.000000,0.000000,21.240000,48.300000,62.790000,84.520000,1405.11

4,00:45-01:00,0,3.860000,0.000000,193.200000,42.490000,81.820000,19.610000,84.990000,4.040000,35.070000,63.030000,0.630000,0.000000,98.530000,0.240000,24.150000,66.480000,24.150000,6.760000,0.000000,109.160000,23.120000,36.450000,24.150000,22.220000,188.370000,0.000000,0.000000,21.240000,48.300000,62.790000,84.520000,1369.37

