Column1,Block,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/06/9700,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/1475,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/06/7927,NR/30092023/31122025/SH-07,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/30092023/26122029/SH-06,NR/2024/24052/A/44567,NR/2024/23952/A/44553,NR/2024/24060/A/44719,NR/2024/24165/C,NR/2024/24051/A/44568,NR/2024/24097/A/44561,WR/2024/25054/A/44723,NR/2024/24166/C,NR/2024/24088/A/44563,GNA/SR/2024/12/01/6968,NR/2024/24159/C,NR/2024/24161/C,NR/2024/24071/A/44566,Total
,,PTC,PXIL,NDMC,NDMC,NDMC,PTC,NDMC,DELHI,NDMC,IEXL,BAWANA_GAS,MANIKARAN,APPCPL,PUNJAB,IEXL,ITCLH,NVVNL,HPXL,IEXL,IEXL,APPCPL,HPXL,IEXL,KSEB,SJVNL,SJVNL,IEXL,
,,DELHI_UT,PUNJAB_STATE,NA,NA,NA,DELHI_UT,NA,HIMACHAL_STATE,NA,BIHAR_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TELANGANA_State,ANDHRA_PRADESH_STATE,NA,NA,TELANGANA_State,KARNATAKA_STATE,DELHI_UT,PUNJAB_STATE,KARNATAKA_STATE,DELHI_UT,NA,NA,NA,
,,BYPL,PUNJAB,SKS_Raigarh,RKM_POWER,TRN_ENERGY,BRPL,JPL2,CHANJUII,RKM_POWER,BSPHCL,BAWANA_GAS,BRPL,BYPL,BAWANA_GAS,NSLKSLWPRTY,ITCWIND,JITPL,BALCO,NSLKSLWPRTY,NSLSUGARALAND,BRPL,PSPCL,NSLSTUNGBHDRA,BYPL,RSRPL_BKN,TPSL_BKN2,TESPL_BKN2,
,,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,MSEB_State,MSEB_State,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,
,,HP,TPDDL,NDMC,NDMC,NDMC,HP,NDMC,TPDDL,NDMC,TPDDL,HARYANA,AEML,AEML,PUNJAB,MES_Delhi,ITCLH,NDMC,BYPL,MES_Delhi,MES_Delhi,GOA_Beneficiary,BYPL,MES_Delhi,KSEB,NDMC,NDMC,MES_Delhi,
,,North-North,North-North,West-North,West-North,West-North,North-North,West-North,North-North,West-North,East-North,North-North,North-West,North-West,North-North,South-West-North,South-West-North,East-North,West-North,South-West-North,South-West-North,North-West,North-North,South-West-North,North-West-South,North-North,North-North,North-North,
1,00:00-00:15,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.43,17.27,0,0,7.67,0,0,0.96,150,0,0,0,403.02

2,00:15-00:30,31.71,0,8.63,25.9,8.63,95.13,25.9,2.01,25.9,0,0,0,0,0,2.88,0.43,17.27,0,0,7.67,0,0,0.96,150,0,0,0,403.02

