Column1,Block,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/16/2341,NR/2025/26085/A/66870,NR/2025/26109/C,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/24/8633,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/4327,NR/2025/25945/A/66665,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/6216,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/4565,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1831,NR/30092023/26122029/SH-06,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/6490,GNARE/NR/2024/12/20/3668,NR/2025/26031/A/66365,NR/2025/25752/A/66219,NR/2025/25955/A/66662,WR/2025/27361/A/66673,NR/2025/25947/A/66664,WR/2025/27350/A/66364,NR/2025/25948/A/66663,Total
,,IEXL,IEXL,ITCLH,TPDDL,HPXL,NDMC,IEXL,HPXL,IEXL,PowerPulse,NDMC,HPXL,APPCPL,IVPL_Trader,IEXL,DELHI,PXIL,BAWANA_GAS,IEXL,IEXL,IEXL,PUNJAB,APPCPL,HPXL,SECI_Trader,DIAPL,IEXL,APPCPL,APPCPL,APPCPL,KEIPL,APPCPL,
,,SIKKIM_STATE,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,SIKKIM_STATE,NA,GoHP_NJPC_STATE,NA,NA,NA,NA,DELHI_UT,SIKKIM_STATE,HIMACHAL_STATE,UTTARPRADESH_STATE,DELHI_UT,SIKKIM_STATE,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,CSEB_State,NA,HIMACHAL_STATE,NA,NA,DELHI_UT,NA,DELHI_UT,NA,
,,RCHEP,JPNIGRIE_JNSTPP,ITCWIND,JHAJJAR,JPL2,JPL2,MEYONGCHU_HEP,SIMHAPURI,GoHP_NJPC,APL_Raipur_TPP,SKS_Raigarh,JPL,RKM_POWER,BYPL,LLHEP1234,CHANJUII,LAPL_UP,BAWANA_GAS,Kalez_Khola_HEP,KGEPL_HP,RHPPL_HP,BAWANA_GAS,BYPL,MSPLTD,APSEPL_FTG,GBHHPL,TPSL_BKN2,JIPL,BYPL,RKM_POWER,BYPL,TRN_ENERGY,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,CSEB_State,DELHI_UT,
,,BRPL,BRPL,ITCLH,TPDDL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,NDMC,TPC_MSEB,BRPL,TPDDL,BRPL,HARYANA,BRPL,BRPL,BRPL,PUNJAB,KSEB,BRPL,TPDDL,DIAPL,MES_Delhi,NDMC,CSEB_Beneficiary,NDMC,CSEB_Beneficiary,NDMC,
,,East-North,West-North,South-West-North,North-North,West-North,West-North,East-North,South-East-North,North-North,West-North,West-North,West-North,West-North,North-West,East-North,North-North,North-North,North-North,East-North,North-North,North-North,North-North,North-West-South,West-North,North-North,North-North,North-North,East-North,North-West,West-North,North-West,West-North,
1,00:00-00:15,2.88,19.23,0.48,213.45,72.11,43.7,2.88,22.04,77.3,96.15,14.57,72.11,43.7,0,9.62,10.67,48.08,32,2.88,9.62,1.92,32,52.5,9.62,0,3.85,0,28.97,24.04,43.7,0,14.57,1004.6400000000002

2,00:15-00:30,2.88,19.23,0.48,213.45,72.11,43.7,2.88,22.04,77.3,96.15,14.57,72.11,43.7,0,9.62,10.67,48.08,32,2.88,9.62,1.92,32,52.5,9.62,0,3.85,0,28.97,24.04,43.7,0,14.57,1004.6400000000002

3,00:30-00:45,2.88,19.23,0.48,213.45,72.11,43.7,2.88,22.04,77.3,96.15,14.57,72.11,43.7,0,9.62,10.67,48.08,32,2.88,9.62,1.92,32,52.5,9.62,0,3.85,0,28.97,24.04,43.7,0,14.57,1004.6400000000002

4,00:45-01:00,2.88,19.23,0.48,213.45,72.11,43.7,2.88,22.04,77.3,96.15,14.57,72.11,43.7,0,9.62,10.67,48.08,32,2.88,9.62,1.92,32,52.5,9.62,0,3.85,0,28.97,24.04,43.7,0,14.57,1004.6400000000002

5,01:00-01:15,2.88,19.23,0.48,213.45,72.11,43.7,2.88,22.04,77.3,96.15,14.57,72.11,43.7,0,9.62,10.59,48.08,32,2.88,9.62,1.92,32,52.5,9.62,0,3.85,0,28.97,24.04,43.7,0,14.57,1004.5600000000003

6,01:15-01:30,2.88,19.23,0.48,213.45,72.11,43.7,2.88,22.04,77.3,96.15,14.57,72.11,43.7,0,9.62,10.59,48.08,32,2.88,9.62,1.92,32,52.5,9.62,0,3.85,0,28.97,24.04,43.7,0,14.57,1004.5600000000003

7,01:30-01:45,2.88,19.23,0.48,213.45,72.11,43.7,2.88,22.04,77.3,96.15,14.57,72.11,43.7,0,9.62,10.59,48.08,32,2.88,9.62,1.92,32,52.5,9.62,0,3.85,0,28.97,24.04,43.7,0,14.57,1004.5600000000003

