Block,Time,URI2,AURY_GF,CHAMERA2,DADRI_RF,DADRI_GF,URI,JHAJJAR,BSIUL,SEWA2,UNCHAHAR2,NAPP,ANTA_LF,RIHAND1,DHAULIGNGA,UNCHAHAR4,SALAL,AURY_RF,AURY_LF,TEHRI,KISHANGANGA,SINGRAULI_HYDRO,TANAKPUR,KOLDAM,UNCHAHAR3,SINGRAULI,ANTA_GF,DADRI_CRF,RAPPC,RIHAND3,ANTA_CRF,KOTESHWR,CHAMERA3,NJPC,PARBATI3,DADRI_LF,RIHAND2,AURY_CRF,TANDA2,SASAN,RAPPB,CHAMERA1,KHSTPP-II,DADRT2,BRBCL,ANTA_RF,RAMPUR,DULHASTI,KHSTPP-I,UNCHAHAR1,TALA,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,23.793790,0.000000,0.000000,0.000000,0.000000,38.205907,113.433400,0.000000,0.000000,16.093146,0.000000,0.000000,88.439600,0.000000,0.000000,2.234061,0.000000,0.000000,0.000000,0.000000,0.570080,3.078563,0.000000,5.767800,118.600388,0.000000,0.000000,51.845312,118.879765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.553562,0.000000,0.000000,342.427076,0.000000,0.000000,73.528657,346.068000,14.419524,0.000000,0.000000,15.841120,24.244712,7.690400,0.000000,4.806500,0,0,0,0,0

2,00:15-00:30,23.793790,0.000000,0.000000,0.000000,0.000000,38.205907,113.433400,0.000000,0.000000,13.458200,0.000000,0.000000,88.439600,0.000000,0.000000,14.521398,0.000000,0.000000,0.000000,0.000000,0.570080,3.078563,0.000000,5.767800,118.600388,0.000000,0.000000,51.845312,118.879765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.553562,0.000000,0.000000,356.846501,0.000000,0.000000,41.335900,346.068000,14.419524,0.000000,0.000000,15.841120,12.496900,7.690400,0.000000,4.806500,0,0,0,0,0

3,00:30-00:45,23.793790,0.000000,0.000000,0.000000,0.000000,5.306376,113.433400,0.000000,0.000000,13.458200,0.000000,0.000000,88.439600,0.000000,0.000000,68.138867,0.000000,0.000000,0.000000,0.000000,0.570080,3.078563,0.000000,5.767800,118.600388,0.000000,0.000000,51.845312,118.879765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.553562,0.000000,0.000000,367.306722,0.000000,0.000000,41.335900,346.068000,14.419524,0.000000,0.000000,0.000000,12.496900,7.690400,0.000000,4.806500,0,0,0,0,0

4,00:45-01:00,23.793790,0.000000,0.000000,0.000000,0.000000,5.306376,113.433400,0.000000,0.000000,13.458200,0.000000,0.000000,51.165769,0.000000,0.000000,68.138867,0.000000,0.000000,0.000000,0.000000,0.570080,3.078563,0.000000,5.767800,118.600388,0.000000,0.000000,51.845312,118.879765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.553562,0.000000,0.000000,374.876959,0.000000,0.000000,41.335900,346.068000,14.419524,0.000000,0.000000,0.000000,12.496900,7.690400,0.000000,4.806500,0,0,0,0,0

5,01:00-01:15,23.793790,0.000000,0.000000,0.000000,0.000000,5.306376,113.433400,0.000000,0.000000,13.458200,0.000000,0.000000,51.165769,0.000000,0.000000,68.138867,0.000000,0.000000,0.000000,0.000000,0.570080,3.078563,0.000000,5.767800,118.600388,0.000000,0.000000,51.845312,93.614470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,87.716029,0.000000,0.000000,381.756262,0.000000,0.000000,41.335900,346.068000,14.419524,0.000000,0.000000,0.000000,12.496900,7.690400,0.000000,4.806500,0,0,0,0,0

