Time,Block,NR/2024/19846/C,NR/2024/19075/A/16853,NR/2024/19727/A/17568,NR/2024/19839/C,NR/2024/19484/A/17473,NR/2024/19835/C,NR/2024/18919/A/17462,NR/2024/19795/C,NR/2024/19030/A/16867,NR/2024/18936/A/16818,NR/2024/19825/C,NR/2024/19656/A/17173,NR/2024/19143/A/16849,NR/2024/19796/C,NR/2024/18935/A/16817,NR/2024/19738/C,NR/2024/19043/A/16861,NR/2024/18976/A/16827,NR/2024/18996/A/17409,NR/2024/18934/A/16816,NR/2024/19726/A/17574,NR/2024/19337/A/16959,NR/2024/19848/C,NR/2024/19827/C,NR/2024/18986/A/16882,NR/2024/19290/A/17582,NR/2024/18978/A/16829,NR/2024/19679/A/17287,NR/2024/19762/C,NR/2024/19115/A/16851,NR/2024/19677/A/17282,NR/2024/19469/A/16958,NR/2024/19024/A/16961,NR/2024/18977/A/16828,NR/2024/19792/C,NR/2024/19483/A/17474,NR/2024/19121/A/16962,NR/2024/19485/A/17472,NR/2024/19245/A/16960,NR/2024/19609/A/17426,NR/2024/18855/A/16963,NR/2024/19172/A/17583,NR/2024/19793/C,NR/2024/19622/A/16945,Total
,,PXIL,IEXL,IEXL,HPXL,NVVNL,HPXL,APPCPL,NVVNL,IEXL,PXIL,IEXL,DIAPL,IEXL,IEXL,PXIL,DIAPL,IEXL,PXIL,PTC,PXIL,IEXL,DIAPL,IEXL,IEXL,ITCLH,TPDDL,PXIL,IEXL,BRPL,IEXL,IEXL,DIAPL,DIAPL,PXIL,NVVNL,NVVNL,GMRETL,NVVNL,DIAPL,HPXL,GMRETL,TPDDL,NVVNL,PXIL,Total

,,KERALA,ODISHA,NA,KERALA,NA,NA,NAGALAND,NA,NA,TAMIL NADU,NA,HIMACHAL PRADESH,DELHI,TELANGANA,TAMIL NADU,HIMACHAL PRADESH,NA,ODISHA,MAHARASHTRA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,KARNATAKA,ANDHRA PRADESH,NA,TAMIL NADU,HIMACHAL PRADESH,NA,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,RAJASTHAN,NA,HIMACHAL PRADESH,KERALA,RAJASTHAN,NA,NA,KERALA,
,,KSEB,VSL,SEIL,KSEB,RKM_POWER,SEILP2,Nagaland_Ben,KAMENG,JHABUA_IPP,SAKTHISUGARSLTD,DBPL,GBHHPL,EDWPCL12,NAVABHARATVL,SAKTHISUGARS_ELMTN,GBHHPL,MBMP,FACORPOWER,JPL_DHULE,SAKTHISUGRAR_TN,HP-GOVT,GBHHPL,KWHEP,PCKL,ITCWIND,JHAJJAR,BIRLACARBONTN,HP-GOVT,DADRT2,SWPL,HP,GBHHPL,GBHHPL,MEENAKSHI,SORANG_HEP,SKS Raigarh,RUVNL,RKM_POWER,GBHHPL,KSEB,RUVNL,JHAJJAR,SOLAPUR_SOLAR,KSEB,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,TPDDL,BYPL,NDMC,BYPL,BYPL,TPDDL,BRPL,BRPL,BYPL,DIAPL,UPPCL,BRPL,BRPL,DIAPL,BRPL,BRPL,BRPL,BRPL,TPDDL,DIAPL,BYPL,BYPL,ITCLH,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,DIAPL,DIAPL,BRPL,TPDDL,NDMC,BYPL,NDMC,DIAPL,BRPL,BYPL,TPDDL,MES (Delhi),BRPL,
,,South-West-North,East-North,South-East-West-North,South-East-North,West-North,South-East-North,North East-East-North,North East-East-North,West-East-North,South-West-North,West-North,North-North,North-North,South-East-West-North,South-West-North,North-North,West-East-North,East-West-North,West-North,South-West-North,North-North,North-North,North-North,South-East-West-North,South-West-North,North-North,South-West-North,North-North,North-North,West-East-North,North-North,North-North,North-North,South-West-North,North-North,West-North,North-North,West-North,North-North,South-East-North,North-North,North-North,West-North,South-West-North,
1,00:00-00:15,337.860000,0.000000,193.060000,0.000000,37.290000,44.630000,9.650000,52.510000,0.000000,0.000000,96.530000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,144.800000,1.930000,31.280000,96.530000,0.530000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,0.000000,4.830000,0.000000,53.090000,12.430000,0.000000,37.290000,0.000000,96.530000,66.790000,115.840000,0,96.530000,1793.53

2,00:15-00:30,337.860000,0.000000,193.060000,0.000000,37.290000,44.630000,9.650000,52.510000,0.000000,0.000000,96.530000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,144.800000,1.930000,31.280000,96.530000,0.530000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,0.000000,4.830000,0.000000,53.090000,12.430000,0.000000,37.290000,0.000000,96.530000,66.790000,115.840000,0,96.530000,1793.53

3,00:30-00:45,337.860000,0.000000,193.060000,0.000000,37.290000,44.630000,9.650000,52.510000,0.000000,0.000000,96.530000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,144.800000,1.930000,31.280000,96.530000,0.530000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,0.000000,4.830000,0.000000,53.090000,12.430000,0.000000,37.290000,0.000000,96.530000,66.790000,115.840000,0,96.530000,1793.53

4,00:45-01:00,337.860000,0.000000,193.060000,0.000000,37.290000,44.630000,9.650000,52.510000,0.000000,0.000000,96.530000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,144.800000,1.930000,31.280000,96.530000,0.530000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,0.000000,4.830000,0.000000,53.090000,12.430000,0.000000,37.290000,0.000000,96.530000,66.790000,115.840000,0,96.530000,1793.53

5,01:00-01:15,337.860000,0.000000,193.060000,0.000000,37.290000,44.630000,9.650000,52.510000,0.000000,0.000000,48.260000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,144.800000,1.930000,31.280000,96.530000,0.480000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,0.000000,4.830000,0.000000,53.090000,12.430000,0.000000,37.290000,0.000000,96.530000,66.790000,115.840000,0,96.530000,1745.21

6,01:15-01:30,337.860000,0.000000,193.060000,0.000000,37.290000,44.630000,9.650000,52.510000,0.000000,0.000000,48.260000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,144.800000,1.930000,31.280000,96.530000,0.480000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,0.000000,4.830000,0.000000,53.090000,12.430000,0.000000,37.290000,0.000000,96.530000,66.790000,115.840000,0,96.530000,1745.21

7,01:30-01:45,337.860000,0.000000,193.060000,0.000000,37.290000,44.630000,9.650000,52.510000,0.000000,0.000000,48.260000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,144.800000,1.930000,31.280000,96.530000,0.480000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,0.000000,4.830000,0.000000,53.090000,12.430000,0.000000,37.290000,0.000000,96.530000,66.790000,115.840000,0,96.530000,1745.21

8,01:45-02:00,337.860000,0.000000,193.060000,0.000000,37.290000,44.630000,9.650000,52.510000,0.000000,0.000000,48.260000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,144.800000,1.930000,31.280000,96.530000,0.480000,67.570000,0.000000,96.530000,0.000000,0.000000,96.530000,0.000000,4.830000,0.000000,53.090000,12.430000,0.000000,37.290000,0.000000,96.530000,66.790000,115.840000,0,96.530000,1745.21

9,02:00-02:15,0.000000,0.000000,0.000000,0.000000,37.290000,44.630000,9.650000,52.510000,0.000000,0.000000,48.260000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.480000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,0.000000,37.290000,0.000000,0.000000,66.790000,115.840000,0,0.000000,560.39

10,02:15-02:30,0.000000,0.000000,0.000000,0.000000,37.290000,44.630000,9.650000,52.510000,0.000000,0.000000,48.260000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.480000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,0.000000,37.290000,0.000000,0.000000,66.790000,115.840000,0,0.000000,560.39

11,02:30-02:45,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,9.650000,52.510000,0.000000,0.000000,48.260000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.480000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,0.000000,37.290000,0.000000,0.000000,66.790000,115.840000,0,0.000000,515.76

12,02:45-03:00,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,9.650000,52.510000,0.000000,0.000000,48.260000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.480000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,0.000000,37.290000,0.000000,0.000000,66.790000,115.840000,0,0.000000,515.76

13,03:00-03:15,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,9.650000,52.510000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.480000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,0.000000,37.290000,0.000000,0.000000,66.790000,115.840000,0,0.000000,467.5

14,03:15-03:30,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,9.650000,52.510000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.480000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,0.000000,37.290000,0.000000,0.000000,66.790000,115.840000,0,0.000000,467.5

15,03:30-03:45,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,9.650000,52.510000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.480000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,0.000000,37.290000,0.000000,0.000000,66.790000,115.840000,0,0.000000,467.5

16,03:45-04:00,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,9.650000,52.510000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.480000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,0.000000,37.290000,0.000000,0.000000,66.790000,115.840000,0,0.000000,467.5

17,04:00-04:15,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,9.650000,52.510000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.480000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,0.000000,37.290000,0.000000,0.000000,66.790000,115.840000,0,0.000000,467.5

18,04:15-04:30,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,9.650000,52.510000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.480000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,0.000000,37.290000,0.000000,0.000000,66.790000,115.840000,0,0.000000,467.5

19,04:30-04:45,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,9.650000,52.510000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.480000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,0.000000,37.290000,0.000000,0.000000,66.790000,115.840000,0,0.000000,466.53

20,04:45-05:00,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,9.650000,52.510000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.480000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,0.000000,37.290000,0.000000,0.000000,66.790000,115.840000,0,0.000000,466.53

21,05:00-05:15,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,9.650000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.480000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,0,0.000000,464.53

22,05:15-05:30,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,9.650000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.480000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,0,0.000000,464.53

23,05:30-05:45,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,9.650000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.480000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,0,0.000000,464.53

24,05:45-06:00,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,9.650000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.480000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,0,0.000000,464.53

25,06:00-06:15,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.530000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,0,0.000000,454.93

26,06:15-06:30,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.530000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,0,0.000000,454.93

27,06:30-06:45,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.530000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,0.13,0.000000,455.06

28,06:45-07:00,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.530000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,0.88,0.000000,455.81

29,07:00-07:15,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.630000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,1.63,0.000000,456.66

30,07:15-07:30,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.630000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,2.24,0.000000,457.27

31,07:30-07:45,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.630000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,2.32,0.000000,457.35

32,07:45:08:00,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.630000,67.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,2.91,0.000000,457.94

33,08:00-08:15,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,0.000000,0.000000,72.400000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,3.45,0.000000,579.48

34,08:15-08:30,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,0.000000,0.000000,72.400000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,3.61,0.000000,579.64

35,08:30-08:45,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,0.000000,0.000000,72.400000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,4.22,0.000000,580.25

36,08:45:09:00,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,0.000000,0.000000,72.400000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,4.79,0.000000,580.82

37,09:00:09:15,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,0.000000,0.000000,72.400000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,4.76,0.000000,580.79

38,09:15-09:30,0.000000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,52.510000,0.000000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.970000,67.570000,0.000000,0.000000,72.400000,0.000000,0.000000,0.000000,4.830000,0.000000,57.920000,12.430000,66.790000,37.290000,0.000000,0.000000,0.000000,115.840000,4.69,0.000000,580.72

