Block,Time,DULHASTI,JHAJJAR,KKNP,KUDGI,NLCIIST2,NNTPP,RAPPB,TALA,CHAMERA2,FSTPP I & II,NLCIIST1,SASAN,UNCHAHAR2,ANTA_CRF,ANTA_GF,ANTA_LF,BRBCL,CHAMERA1,KKNPPU2,MAPS,NTPL,RAPPC,RIHAND2,RSTPSU1TO6,RSTPSU7,TEHRI,UNCHAHAR1,UNCHAHAR3,ANTA_RF,AURY_RF,DADRI_CRF,DADRI_GF,KISHANGANGA,NJPC,NLCEXP,NLCTS2EXP,SIMHST1,DADRI_RF,DADRT2,DHAULIGNGA,KGSU1AND2,TALST2,TANAKPUR,TANDA2,TelanganaSTPP,UNCHAHAR4,CHAMERA3,KGSU3AND4,KHSTPP-I,KOLDAM,NAPP,RAMPUR,SEWA2,VALLURNTECL,DADRI_LF,KOTESHWR,SALAL,SIMHST2,SINGRAULI,URI2,AURY_GF,AURY_LF,BSIUL,KHSTPP-II,PARBATI3,RIHAND1,RIHAND3,SINGRAULI_HYDRO,URI,AURY_CRF
1,00:00-00:15,16.48,434.65,0,0,0,0,0,0,0,20.8,0,343.12,42.39,44.1,0,0,20,0,0,0,0,53.17,118.76,0,0,0,10.28,26.4,0,0,91.52,0,0,0,0,0,0,0,683.14,0,0,0,5.76,0,0,0,0,0,45.53,0,43.68,0,0,0,0,8.87,1.4,0,139.69,4.31,0,0,0,148.3,0,92,62.16,0.63,0.99,70.81

2,00:15-00:30,16.48,434.65,0,0,0,0,0,0,0,20.8,0,343.12,42.39,44.1,0,0,20,0,0,0,0,53.17,118.76,0,0,0,10.28,26.4,0,0,91.52,0,0,0,0,0,0,0,683.14,0,0,0,5.76,0,0,0,0,0,45.53,0,43.68,0,0,0,0,8.87,1.4,0,139.69,4.31,0,0,0,148.3,0,92,62.16,0.63,0.99,70.81

3,00:30-00:45,16.48,434.65,0,0,0,0,0,0,0,20.8,0,343.12,42.39,44.1,0,0,20,0,0,0,0,53.17,118.76,0,0,0,10.28,26.4,0,0,91.52,0,0,0,0,0,0,0,683.14,0,0,0,5.76,0,0,0,0,0,45.53,0,43.68,0,0,0,0,8.87,1.4,0,139.69,4.31,0,0,0,148.3,0,92,62.16,0.63,0.99,70.81

4,00:45-01:00,16.48,434.65,0,0,0,0,0,0,0,20.8,0,343.12,42.39,44.1,0,0,20,0,0,0,0,53.17,118.76,0,0,0,10.28,26.4,0,0,91.52,0,0,0,0,0,0,0,683.14,0,0,0,5.76,0,0,0,0,0,45.53,0,43.68,0,0,0,0,8.87,1.4,0,139.69,4.31,0,0,0,148.3,0,92,62.16,0.63,0.99,70.81

5,01:00-01:15,16.48,434.65,0,0,0,0,0,0,0,20.8,0,343.12,42.39,44.1,0,0,20,0,0,0,0,53.17,118.76,0,0,0,10.28,26.4,0,0,91.52,0,0,0,0,0,0,0,683.14,0,0,0,5.76,0,0,0,0,0,45.53,0,43.68,0,0,0,0,8.87,1.4,0,139.69,4.31,0,0,0,148.3,0,92,62.16,0.63,0.99,70.81

6,01:15-01:30,16.48,434.65,0,0,0,0,0,0,0,20.8,0,343.12,42.39,44.1,0,0,20,0,0,0,0,53.17,118.76,0,0,0,10.28,26.4,0,0,91.52,0,0,0,0,0,0,0,683.14,0,0,0,5.76,0,0,0,0,0,45.53,0,43.68,0,0,0,0,8.87,1.4,0,139.69,4.31,0,0,0,148.3,0,92,62.16,0.63,0.99,70.81

7,01:30-01:45,16.48,434.65,0,0,0,0,0,0,0,20.8,0,343.12,42.39,44.1,0,0,20,0,0,0,0,53.17,118.76,0,0,0,9.14,26.4,0,0,91.52,0,0,0,0,0,0,0,683.14,0,0,0,0,0,0,0,0,0,45.53,0,43.68,0,0,0,0,8.87,1.4,0,139.69,4.31,0,0,0,148.3,0,92,62.16,0.63,0.99,70.81

8,01:45-02:00,16.48,434.65,0,0,0,0,0,0,0,20.8,0,343.12,42.39,44.1,0,0,20,0,0,0,0,53.17,118.76,0,0,0,9.14,26.4,0,0,91.52,0,0,0,0,0,0,0,683.14,0,0,0,0,0,0,0,0,0,45.53,0,43.68,0,0,0,0,8.87,1.4,0,139.69,4.31,0,0,0,148.3,0,92,62.16,0.63,0.99,70.81

9,02:00-02:15,16.48,434.65,0,0,0,0,0,0,0,20.8,0,343.12,42.39,44.1,0,0,20,0,0,0,0,53.17,118.76,0,0,0,9.14,26.4,0,0,91.52,0,0,0,0,0,0,0,683.14,0,0,0,0,0,0,0,0,0,45.53,0,43.68,0,0,0,0,17.75,1.4,0,139.69,4.31,0,0,0,148.3,0,92,62.16,0.63,0.99,70.81

10,02:15-02:30,16.48,434.65,0,0,0,0,0,0,0,20.8,0,343.12,42.39,44.1,0,0,20,0,0,0,0,53.17,118.76,0,0,0,9.14,26.4,0,0,91.52,0,0,0,0,0,0,0,683.14,0,0,0,0,0,0,0,0,0,45.53,0,43.68,0,0,0,0,17.75,1.4,0,139.69,4.31,0,0,0,148.3,0,92,62.16,0.63,0.99,70.81

11,02:30-02:45,16.48,434.65,0,0,0,0,0,0,0,20.8,0,343.12,42.39,44.1,0,0,20,0,0,0,0,53.17,118.76,0,0,0,9.14,26.4,0,0,91.52,0,0,0,0,0,0,0,683.14,0,0,0,0,0,0,0,0,0,45.53,0,43.68,0,0,0,0,17.75,1.4,0,139.69,4.31,0,0,0,148.3,0,92,62.16,0.63,0.99,70.81

12,02:45-03:00,16.48,434.65,0,0,0,0,0,0,0,20.8,0,343.12,42.39,44.1,0,0,20,0,0,0,0,53.17,118.76,0,0,0,9.14,26.4,0,0,91.52,0,0,0,0,0,0,0,683.14,0,0,0,0,0,0,0,0,0,45.53,0,43.68,0,0,0,0,17.75,1.4,0,139.69,4.31,0,0,0,148.3,0,92,62.16,0.63,0.99,70.81

13,03:00-03:15,16.48,434.65,0,0,0,0,0,0,0,20.8,0,363.38,42.39,44.42,0,0,20,0,0,0,0,53.17,118.76,0,0,14.12,9.14,26.4,0,0,91.52,0,0,0,0,0,0,0,683.14,0,0,0,0,0,0,0,0,0,45.53,0,43.68,0,0,0,0,17.75,1.4,0,139.69,4.31,0,0,0,148.3,0,92,62.16,0.63,0.99,70.81

14,03:15-03:30,16.48,434.65,0,0,0,0,0,0,0,20.8,0,383.62,42.39,44.42,0,0,20,0,0,0,0,53.17,118.76,0,0,14.12,9.14,26.4,0,0,91.52,0,0,0,0,0,0,0,683.14,0,0,0,0,0,0,0,0,0,45.53,0,43.68,0,0,0,0,17.75,1.4,0,139.69,4.31,0,0,0,148.3,0,92,62.16,0.63,0.99,70.81

15,03:30-03:45,16.48,434.65,0,0,0,0,0,0,0,20.8,0,390.38,42.39,44.42,0,0,20,0,0,0,0,53.17,118.76,0,0,14.12,9.14,26.4,0,0,91.52,0,0,0,0,0,0,0,683.14,0,0,0,0,0,0,0,0,0,45.53,0,43.68,0,0,0,0,17.75,1.4,0,139.69,4.31,0,0,0,148.3,0,92,62.16,0.63,0.99,70.81

16,03:45-04:00,16.48,434.65,0,0,0,0,0,0,0,20.8,0,397.12,42.39,44.42,0,0,20,0,0,0,0,53.17,118.76,0,0,28.22,9.14,26.4,0,0,91.52,0,0,0,0,0,0,0,683.14,0,0,0,0,0,0,0,0,0,45.53,0,43.68,0,0,0,0,17.75,9.29,0,139.69,4.31,0,0,0,148.3,0,92,62.16,0.63,0.99,70.81

17,04:00-04:15,16.48,434.65,0,0,0,0,0,0,0,20.8,0,403.88,42.39,44.42,0,0,20,0,0,0,0,53.17,118.76,0,0,42.34,9.14,26.4,0,0,91.52,0,0,0,0,0,0,0,683.14,0,0,0,0,0,0,0,0,0,45.53,0,43.68,0,0,0,0,17.75,41.83,0,139.69,4.31,0,0,0,148.3,0,92,62.16,0.63,0.99,70.81

18,04:15-04:30,16.48,434.65,0,0,0,0,0,0,0,20.8,0,410.62,42.39,44.42,0,0,20,0,0,0,0,53.17,118.76,0,0,42.34,9.14,26.4,0,0,91.52,0,0,0,0,0,0,0,683.14,0,0,0,0,0,0,0,0,0,45.53,0,43.68,0,0,0,0,17.75,41.83,0,139.69,4.31,0,0,0,148.3,0,92,62.16,0.63,0.99,70.81

19,04:30-04:45,16.48,434.65,0,0,0,0,0,0,0,20.8,0,410.62,42.39,44.62,0,0,20,0,0,0,0,53.17,118.76,0,0,42.34,9.14,26.4,0,0,91.52,0,0,0,0,0,0,0,683.14,0,0,0,0,0,0,0,0,0,45.53,0,43.68,0,0,0,0,17.75,41.83,0,139.69,4.31,0,0,0,148.3,0,92,62.16,0.63,0.99,70.81

