Column1,Block,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/7902,NR/30092023/26122029/SH-06,NR/2025/26289/A/70949,NR/2025/26002/A/70886,NR/2025/26312/A/70496,NR/2025/26101/A/70771,NR/2025/26286/A/70587,NR/2025/26233/A/70951,NR/2025/26198/A/71077,NR/2025/26085/A/70553,NR/2025/26199/A/71076,NR/2025/26153/A/70501,NR/2025/26291/A/70948,NR/2025/26200/A/71075,NR/2025/26265/A/70950,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/26232/A/70952,NR/2025/25858/A/70888,NR/2025/26202/A/71094,GNA/NR/2025/05/01/4138,NR/2025/25855/A/70887,NR/2025/26197/A/71079,NR/2025/26191/A/70489,NR/2025/26201/A/71074,NR/30092023/31122025/SH-07,NR/2025/26336/A/70579,NR/2025/26236/A/70498,GNARE/NR/2024/12/20/3668,NR/2025/26648/C,NR/2025/26649/C,NR/2025/26650/C,NR/2025/26335/A/70581,NR/2025/26654/C,NR/2025/26646/C,NR/2025/26685/C,NR/2025/26647/C,NR/2025/26686/C,Total
,,HPXL,HPXL,NDMC,IEXL,IEXL,PXIL,PXIL,PXIL,PXIL,PXIL,HPXL,PowerPulse,PowerPulse,PowerPulse,PXIL,PUNJAB,HPXL,PowerPulse,IEXL,GMRETL,DIAPL,HPXL,APPCPL,ITCLH,APPCPL,IEXL,HPXL,APPCPL,HPXL,DELHI,HPXL,PowerPulse,NVVNL,PowerPulse,PowerPulse,APPCPL,PXIL,APPCPL,BAWANA_GAS,BRPL,IEXL,SECI_Trader,HPXL,HPXL,HPXL,BRPL,IEXL,HPXL,NVVNL,HPXL,NVVNL,
,,HIMACHAL_STATE,MSEB_State,NA,ODISHA_STATE,JK_and_LADAKH_UT,ODISHA_STATE,CSEB_State,ODISHA_STATE,UTTARPRADESH_STATE,Meghalaya_State,NA,NA,NA,NA,NA,DELHI_UT,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,GEB_State,NA,ANDHRA_PRADESH_STATE,NA,TAMILNADU_State,MP_State,NA,NA,HIMACHAL_STATE,GEB_State,NA,NA,NA,NA,NA,NA,NA,DELHI_UT,NA,NA,NA,MP_State,GEB_State,GEB_State,NA,NA,NA,NA,NA,NA,
,,KGEPL_HP,GRETAENERGY,JIPL,VSL,O2ZTPL,FACORPOWER,SKSIPL,FACORPOWER,LAPL_UP,Meghalaya_Ben,JPL,APL_Raipur_TPP,COASTGEN,MAHAN_ENERGEN,SINGOLI,BAWANA_GAS,SIMHAPURI,COASTGEN,MBMP,GBHHPL,GBHHPL,PCBL_MUNDRA,RKM_POWER,ITCWIND,JPL2,SURYADEV_ALLOYSTN,Ultratech_Sidhi_MP,TRN_ENERGY,JPL,CHANJUII,PCBL_PALEJ,APL_Raipur_TPP,JPNIGRIE_JNSTPP,COASTGEN,APL_Raipur_TPP,SKS_Raigarh,JPNIGRIE_JNSTPP,RKM_POWER,BAWANA_GAS,DADRT2,TPSL_BKN2,APSEPL_FTG,Ultratech_Sidhi_MP,PCBL_MUNDRA,PCBL_PALEJ,TS1PL_BKN,MBMP,JPL,Kameng,SIMHAPURI,SORANG_HEP,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,PUNJAB,BRPL,BRPL,NDMC,TPDDL,DIAPL,BRPL,NDMC,ITCLH,NDMC,BRPL,BRPL,NDMC,BRPL,TPDDL,BRPL,TPDDL,TPDDL,BRPL,TPDDL,NDMC,BRPL,NDMC,HARYANA,BRPL,MES_Delhi,TPDDL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,TPDDL,BRPL,TPDDL,
,,North-North,West-North,East-North,East-North,North-North,East-North,West-North,East-North,North-North,North East-East-North,West-North,West-North,South-East-North,West-North,North-North,North-North,South-West-North,South-West-North,West-North,North-North,North-North,West-North,West-North,South-West-North,West-North,South-West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,South-East-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,North East-East-North,South-West-North,North-North,
1,00:00-00:15,13.51,5.79,17.55,0,0,14.48,10.62,14.48,28.96,67.57,0,164.1,164.1,123.08,28.96,32,48.26,0,0,0,4.83,4.83,37.29,0.77,37.29,62.74,24.13,12.43,96.53,10.99,4.83,0,77.22,0,144.8,12.43,48.26,37.29,32,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1602.1799999999998

2,00:15-00:30,13.51,5.79,17.55,0,0,14.48,10.62,14.48,28.96,67.57,0,164.1,164.1,123.08,28.96,32,48.26,0,0,0,4.83,4.83,37.29,0.77,37.29,62.74,24.13,12.43,96.53,10.99,4.83,0,77.22,0,144.8,12.43,48.26,37.29,32,135.14,0,0,0,0,0,0,0,0,51.13,0,33.79,1602.1799999999998

