Block,Time,DADRT2,KGSU1AND2,KOLDAM,NLCTS2EXP,NNTPP,RSTPSU7,SASAN,URI,BRBCL,KKNPPU2,RIHAND1,RIHAND3,SINGRAULI_HYDRO,TelanganaSTPP,UNCHAHAR4,DADRI_CRF,NJPC,CHAMERA2,KISHANGANGA,KUDGI,MAPS,PARBATI3,SALAL,SEWA2,TANAKPUR,UNCHAHAR2,ANTA_RF,AURY_GF,DADRI_GF,CHAMERA1,CHAMERA3,DHAULIGNGA,DULHASTI,KGSU3AND4,RAPPC,TALST2,UNCHAHAR1,ANTA_CRF,AURY_CRF,AURY_LF,DADRI_LF,KHSTPP-I,KKNP,NAPP,NLCIIST2,RAMPUR,SINGRAULI,BSIUL,FSTPP I & II,KHSTPP-II,RAPPB,SIMHST1,SIMHST2,TEHRI,URI2,DADRI_RF,JHAJJAR,KOTESHWR,NLCEXP,NLCIIST1,NTPL,RIHAND2,RSTPSU1TO6,TALA,TANDA2,UNCHAHAR3,VALLURNTECL,ANTA_GF,ANTA_LF,AURY_RF
1,00:00-00:15,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.79,0,0,0,0,13.17,0,0,0,0,26.73,0,0,42.39,42.84,0,0,0,9.68,0,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,104.15,13.04,18.2,148.3,0,0,0,0,33.23,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

2,00:15-00:30,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.79,0,0,0,0,13.17,0,0,0,0,26.73,0,0,42.39,42.84,0,0,0,9.68,0,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,104.15,13.04,18.2,148.3,0,0,0,0,33.23,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

3,00:30-00:45,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.79,0,0,0,0,13.17,0,0,0,0,26.73,0,0,42.39,42.84,0,0,0,9.68,0,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,104.15,13.04,18.2,148.3,0,0,0,0,33.23,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

4,00:45-01:00,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.79,0,0,0,0,13.17,0,0,0,0,26.73,0,0,42.39,42.84,0,0,0,9.68,0,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,104.15,13.04,18.2,148.3,0,0,0,0,33.23,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

5,01:00-01:15,683.14,0,0,0,0,0,415.12,35.33,20,0,92,124.33,0.79,0,0,0,0,13.17,0,0,0,0,26.73,0,0,42.39,42.84,0,0,0,0,0,16.48,0,51.01,0,19.98,0,0,0,0,45.83,0,41.86,0,0,98.1,13.04,18.2,148.3,0,0,0,0,33.23,59.73,559.57,6.41,0,0,0,118.76,0,0,0,26.4,0,0,0,68.96

