Block,Time,KOTESHWR,KUDGI,NLCTS2EXP,PARBATI3,RAPPD,RIHAND1,SIMHST1,VALLURNTECL,BRBCL,CHAMERA3,DULHASTI,KKNPPU2,KOLDAM,MAPS,RSTPSU7,SALAL,AURY_CRF,AURY_GF,CHAMERA1,CHAMERA2,NAPP,SASAN,SINGRAULI,TANAKPUR,UNCHAHAR3,DADRI_LF,DADRI_RF,DADRT2,JHAJJAR,KHSTPP-I,NJPC,NNTPP,SINGRAULI_HYDRO,TALA,KHSTPP-II,NLCIIST1,RAPPC,RIHAND2,RIHAND3,TEHRI,TEHRIPSP,TelanganaSTPP,UNCHAHAR1,URI,URI2,ANTA_GF,ANTA_LF,RAMPUR,RAPPB,SIMHST2,UNCHAHAR4,AURY_RF,DADRI_GF,NLCEXP,NLCIIST2,PARBATI2,ANTA_CRF,DADRI_CRF,BSIUL,DHAULIGNGA,FSTPP I & II,KGSU1AND2,KGSU3AND4,KISHANGANGA,KKNP,NTPL,RSTPSU1TO6,SEWA2,TALST2,TANDA2,UNCHAHAR2,ANTA_RF,AURY_LF
1,00:00-00:15,20.29,0,0,0,24.71,98.32,0,0,24.99,33.94,55.97,0,8.62,0,0,85.41,0,0,42.15,47.12,24.48,340.31,135.15,12.81,27.69,0,79.04,549.38,667.25,45.53,175.79,0,1.13,16.32,148.3,0,65.42,125.27,130.84,48.11,69.46,0,21.65,52.36,38.97,0,0,5.7,0,0,3.22,79.22,0,0,0,0,0,0,13.04,42.46,20.8,0,0,7.05,0,0,0,0,0,5.73,45,51.2,0

2,00:15-00:30,20.29,0,0,0,24.71,98.32,0,0,24.99,33.94,55.97,0,8.62,0,0,85.41,0,0,42.15,47.12,24.48,340.31,135.15,12.81,27.69,0,79.04,549.38,667.25,45.53,175.79,0,1.13,16.32,148.3,0,65.42,125.27,130.84,48.11,69.46,0,21.65,52.36,38.97,0,0,5.7,0,0,3.22,79.22,0,0,0,0,0,0,13.04,42.46,20.8,0,0,7.05,0,0,0,0,0,5.73,45,51.2,0

3,00:30-00:45,20.29,0,0,0,24.71,98.32,0,0,24.99,33.94,55.97,0,8.62,0,0,85.41,0,0,42.15,47.12,24.48,340.31,143.34,12.81,27.69,0,79.04,549.38,667.25,45.53,175.79,0,1.13,16.32,148.3,0,65.42,125.27,130.84,48.11,69.46,0,21.65,52.36,38.97,0,0,5.7,0,0,3.22,79.22,0,0,0,0,0,0,6.52,42.46,20.8,0,0,7.05,0,0,0,0,0,5.73,45,51.2,0

4,00:45-01:00,20.29,0,0,0,24.71,98.32,0,0,24.99,33.94,55.97,0,8.62,0,0,85.41,0,0,42.15,47.12,24.48,340.31,143.34,12.81,27.69,0,79.04,549.38,667.25,45.53,175.79,0,1.13,16.32,148.3,0,65.42,125.27,130.84,48.11,69.46,0,21.65,52.36,38.97,0,0,5.7,0,0,3.22,79.22,0,0,0,0,0,0,6.52,42.46,20.8,0,0,7.05,0,0,0,0,0,5.73,45,51.2,0

5,01:00-01:15,20.29,0,0,0,24.71,98.32,0,0,24.99,33.94,55.97,0,8.62,0,0,85.41,0,0,42.15,47.12,24.48,340.31,144.98,12.81,27.69,0,79.04,549.38,667.25,45.53,175.79,0,1.13,16.32,148.3,0,65.42,125.27,130.84,48.11,69.46,0,21.65,37.53,28.84,0,0,5.7,0,0,3.22,79.22,0,0,0,0,0,0,6.52,42.46,20.8,0,0,7.05,0,0,0,0,0,2.76,45,51.2,0

6,01:15-01:30,20.29,0,0,0,24.71,98.32,0,0,24.99,33.94,55.97,0,8.62,0,0,85.41,0,0,42.15,47.12,24.48,340.31,144.98,12.81,27.69,0,79.04,549.38,667.25,45.53,175.79,0,1.13,16.32,148.3,0,65.42,125.27,130.84,48.11,69.46,0,21.65,37.53,28.84,0,0,5.7,0,0,3.22,79.22,0,0,0,0,0,0,6.52,42.46,20.8,0,0,7.05,0,0,0,0,0,2.76,45,51.2,0

