,,RAJASTHAN,MAHARASHTRA,HIMACHAL PRADESH,NA,NAGALAND,NA,MAHARASHTRA,NA,TAMIL NADU,NA,ODISHA,TAMIL NADU,NA,HIMACHAL PRADESH,DELHI,ANDHRA PRADESH,NA,TAMIL NADU,ODISHA,TAMIL NADU,RAJASTHAN,DELHI,
,,RUVNL,SWPL,GBHHPL,JHABUA_IPP,Nagaland_Ben,MEENAKSHI,JPL_DHULE,KAMENG,BIRLACARBONTN,SOLAPUR_SOLAR,FACORPOWER,SAKTHISUGARSLTD,JHAJJAR,GBHHPL,EDWPCL12,ITCWIND,MBMP,SAKTHISUGARS_ELMTN,VSL,SAKTHISUGRAR_TN,RUVNL,BYPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,
,,BYPL,BRPL,DIAPL,BRPL,BYPL,BRPL,BRPL,TPDDL,BRPL,MES (Delhi),BRPL,BRPL,TPDDL,DIAPL,UPPCL,ITCLH,BRPL,BRPL,BRPL,BRPL,BYPL,TANGEDCO,
,,North-North,West-East-North,North-North,West-East-North,North East-East-North,South-West-North,West-North,North East-East-North,South-West-North,West-North,East-West-North,South-West-North,North-North,North-North,North-North,South-West-North,West-East-North,South-West-North,East-North,South-West-North,North-North,North-East-South,
39,09:30-09:45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,6.63,0.000000,0.000000,116.090000,4.840000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,66.930000,0.00,248.09

40,09:45-10:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.630000,0.000000,7.03,0.000000,0.000000,116.090000,4.840000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,66.930000,0.00,248.49

41,10:00-10:15,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,7.43,0.000000,6.770000,116.090000,4.840000,0.000000,0.970000,46.440000,5.800000,0.000000,4.840000,66.930000,0.00,356.85

42,10:15-10:30,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,7.78,0.000000,6.770000,116.090000,4.840000,0.000000,0.970000,46.440000,5.800000,0.000000,4.840000,66.930000,0.00,357.2

43,10:30-10:45,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,8.05,0.000000,6.770000,116.090000,4.840000,0.000000,0.970000,46.440000,5.800000,0.000000,4.840000,66.930000,0.00,357.47

44,10:45-11:00,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,8.33,0.000000,6.770000,116.090000,4.840000,0.000000,0.970000,46.440000,5.800000,0.000000,4.840000,66.930000,0.00,357.75

45,11:00-11:15,66.930000,48.370000,0.000000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,8.48,0.000000,6.770000,116.090000,4.840000,0.000000,0.970000,46.440000,5.800000,0.000000,4.840000,0.000000,0.00,357.9

46,11:15-11:30,66.930000,48.370000,0.000000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,8.65,0.000000,6.770000,116.090000,4.840000,0.000000,0.970000,46.440000,5.800000,0.000000,4.840000,0.000000,0.00,358.07

47,11:30-11:45,66.930000,48.370000,0.000000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,8.81,0.000000,6.770000,116.090000,4.840000,0.000000,0.970000,46.440000,5.800000,0.000000,4.840000,0.000000,0.00,358.23

48,11:45-12:00,66.930000,48.370000,0.000000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,8.82,0.000000,6.770000,116.090000,4.840000,0.000000,0.970000,46.440000,5.800000,0.000000,4.840000,0.000000,0.00,358.24

49,12:00-12:15,66.930000,48.370000,0.000000,19.350000,0.000000,0.000000,48.370000,0.000000,14.510000,8.89,24.180000,6.770000,116.090000,4.840000,0.000000,0.970000,46.440000,5.800000,19.350000,4.840000,0.000000,0.00,435.7

50,12:15-12:30,66.930000,48.370000,0.000000,19.350000,0.000000,0.000000,48.370000,0.000000,14.510000,8.92,24.180000,6.770000,116.090000,4.840000,0.000000,0.970000,46.440000,5.800000,19.350000,4.840000,0.000000,0.00,435.73

51,12:30-12:45,66.930000,48.370000,0.000000,19.350000,0.000000,0.000000,48.370000,0.000000,14.510000,8.81,24.180000,6.770000,116.090000,4.840000,0.000000,0.970000,46.440000,5.800000,19.350000,4.840000,0.000000,0.00,435.62

52,12:45-13:00,66.930000,48.370000,0.000000,19.350000,0.000000,0.000000,48.370000,0.000000,14.510000,8.65,24.180000,6.770000,116.090000,4.840000,0.000000,0.970000,46.440000,5.800000,19.350000,4.840000,0.000000,0.00,435.46

53,13:00-13:15,66.930000,48.370000,0.000000,19.350000,0.000000,0.000000,48.370000,0.000000,14.510000,8.56,24.180000,6.770000,116.090000,4.840000,0.000000,0.970000,46.440000,5.800000,19.350000,4.840000,0.000000,0.00,435.37

54,13:15-13:30,66.930000,48.370000,0.000000,19.350000,0.000000,0.000000,48.370000,0.000000,14.510000,8.26,24.180000,6.770000,116.090000,4.840000,0.000000,0.970000,46.440000,5.800000,19.350000,4.840000,0.000000,0.00,435.07

55,13:30-13:45,66.930000,48.370000,0.000000,19.350000,0.000000,0.000000,48.370000,0.000000,14.510000,8.18,24.180000,6.770000,116.090000,4.840000,0.000000,0.970000,46.440000,5.800000,19.350000,4.840000,0.000000,0.00,434.99

56,13:45-14:00,66.930000,48.370000,0.000000,19.350000,0.000000,0.000000,48.370000,0.000000,14.510000,8.08,24.180000,6.770000,116.090000,4.840000,0.000000,0.970000,46.440000,5.800000,19.350000,4.840000,0.000000,0.00,434.89

57,14:00-14:15,66.930000,48.370000,0.000000,19.350000,0.000000,0.000000,48.370000,0.000000,14.510000,7.92,24.180000,6.770000,116.090000,4.840000,0.000000,0.970000,46.440000,5.800000,19.350000,4.840000,0.000000,0.00,434.73

58,14:15-14:30,66.930000,48.370000,0.000000,19.350000,0.000000,0.000000,48.370000,0.000000,14.510000,7.65,24.180000,6.770000,116.090000,4.840000,0.000000,0.970000,46.440000,5.800000,19.350000,4.840000,0.000000,0.00,434.46

59,14:30-14:45,66.930000,48.370000,0.000000,19.350000,0.000000,0.000000,48.370000,0.000000,14.510000,7.23,24.180000,6.770000,116.090000,4.840000,0.000000,0.970000,46.440000,5.800000,19.350000,4.840000,0.000000,0.00,434.04

60,14:45-15:00,66.930000,48.370000,0.000000,19.350000,0.000000,0.000000,48.370000,0.000000,14.510000,6.76,24.180000,6.770000,116.090000,4.840000,0.000000,0.970000,46.440000,5.800000,19.350000,4.840000,0.000000,0.00,433.57

61,15:00-15:15,66.930000,48.370000,0.000000,19.350000,0.000000,0.000000,48.370000,0.000000,14.510000,6.35,24.180000,6.770000,116.090000,4.840000,0.000000,0.730000,46.440000,5.800000,19.350000,4.840000,0.000000,0.00,432.92

62,15:15-15:30,66.930000,48.370000,0.000000,19.350000,0.000000,0.000000,48.370000,0.000000,14.510000,5.68,24.180000,6.770000,116.090000,4.840000,0.000000,0.730000,46.440000,5.800000,19.350000,4.840000,0.000000,0.00,432.25

63,15:30-15:45,66.930000,48.370000,0.000000,19.350000,0.000000,0.000000,48.370000,0.000000,14.510000,5.3,24.180000,6.770000,116.090000,4.840000,0.000000,0.730000,46.440000,5.800000,19.350000,4.840000,0.000000,107.00,538.87

64,15:45-16:00,66.930000,48.370000,0.000000,19.350000,0.000000,0.000000,48.370000,0.000000,14.510000,4.83,24.180000,6.770000,116.090000,4.840000,0.000000,0.730000,46.440000,5.800000,19.350000,4.840000,0.000000,72.00,503.4

65,16:00-16:15,66.930000,48.370000,0.000000,0.000000,0.000000,0.000000,48.370000,52.630000,0.000000,4.17,0.000000,6.770000,116.090000,4.840000,0.000000,0.730000,46.440000,5.800000,0.000000,4.840000,0.000000,80.00,485.98

66,16:15-16:30,66.930000,48.370000,0.000000,0.000000,0.000000,0.000000,48.370000,52.630000,0.000000,3.77,0.000000,6.770000,116.090000,4.840000,0.000000,0.730000,46.440000,5.800000,0.000000,4.840000,0.000000,73.00,478.58

67,16:30-16:45,66.930000,48.370000,0.000000,0.000000,0.000000,0.000000,48.370000,52.630000,0.000000,3.24,0.000000,6.770000,116.090000,4.840000,0.000000,0.730000,46.440000,5.800000,0.000000,4.840000,0.000000,72.00,477.05

68,16:45-17:00,66.930000,48.370000,0.000000,0.000000,0.000000,0.000000,48.370000,52.630000,0.000000,2.62,0.000000,6.770000,116.090000,4.840000,0.000000,0.730000,46.440000,5.800000,0.000000,4.840000,0.000000,72.00,476.43

