Column1,Block,NR/2025/25681/C,NR/2025/25682/C,NR/2025/25517/A/59338,NR/2025/25516/A/59327,GNARE/NR/2024/12/20/3668,NR/2025/25518/A/59347,GNA/NR/2025/03/01/6891,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/3469,GNA/SR/2025/03/01/7500,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/4651,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/1906,NR/30092023/31122025/SH-07,WR/2025/26499/A/59360,WR/2025/26427/A/59116,WR/2025/26582/A/59358,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/8036,NR/2025/25159/A/59008,GNA/WR/2025/03/01/6406,WR/2025/26426/A/59115,GNA/NR/2025/03/01/9482,Total
,,SJVNL,SJVNL,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,SECI_Trader,OIDLWM3_AEROCITY,PTC,PUNJAB,NDMC,NDMC,APPCPL,TPTCL,NDMC,DELHI,PTC,NDMC,BAWANA_GAS,APPCPL,KEIPL,APPCPL,APPCPL,NDMC,ITCLH,APPCPL,KEIPL,NDMC,
,,NA,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,NA,HIMACHAL_STATE,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,NA,
,,TPSL_BKN2,RSRPL_BKN,TCSPL_BKN2,TCSPL_BKN2,APSEPL_FTG,TCSPL_BKN2,BYPL,BAWANA_GAS,RKM_POWER,TRN_ENERGY,BYPL,BYPL,SKS_Raigarh,CHANJUII,BRPL,JPL2,BAWANA_GAS,BRPL,BRPL,BRPL,BYPL,RKM_POWER,ITCWIND,BRPL,BYPL,JIPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,KERALA_State,MSEB_State,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,HARYANA_STATE,MSEB_State,CSEB_State,CSEB_State,MSEB_State,DELHI_UT,DELHI_UT,MSEB_State,CSEB_State,DELHI_UT,
,,NDMC,NDMC,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,TPDDL,OIDLWM3_AEROCITY,HP,PUNJAB,NDMC,NDMC,KSEB,TPC_MSEB,NDMC,TPDDL,HP,NDMC,HARYANA,AEML,CSEB_Beneficiary,CSEB_Beneficiary,AEML,NDMC,ITCLH,AEML,CSEB_Beneficiary,NDMC,
,,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,North-West-South,North-West,West-North,North-North,North-North,West-North,North-North,North-West,North-West,North-West,North-West,West-North,South-West-North,North-West,North-West,East-North,
1,00:00-00:15,0,0,0,0,0,0,79.27,26.99,23.31,8.64,200,0,6.72,4.14,237.82,23.31,26.99,0,24,24,0,23.31,0.43,42,167.53,17.28,935.7399999999998

2,00:15-00:30,0,0,0,0,0,0,79.27,26.99,23.31,8.64,200,0,6.72,4.14,237.82,23.31,26.99,0,24,24,0,23.31,0.43,42,167.53,17.28,935.7399999999998

3,00:30-00:45,0,0,0,0,0,0,79.27,26.99,23.31,8.64,200,0,6.72,4.14,237.82,23.31,26.99,0,24,24,0,23.31,0.43,42,167.53,17.28,935.7399999999998

4,00:45-01:00,0,0,0,0,0,0,79.27,26.99,23.31,8.64,200,0,6.72,4.14,237.82,23.31,26.99,0,24,24,0,23.31,0.43,42,167.53,17.28,935.7399999999998

5,01:00-01:15,0,0,0,0,0,0,79.27,26.99,23.31,8.64,200,0,6.72,4.14,237.82,23.31,26.99,0,24,24,0,23.31,0.43,42,167.53,17.28,935.7399999999998

6,01:15-01:30,0,0,0,0,0,0,79.27,26.99,23.31,8.64,200,0,6.72,4.14,237.82,23.31,26.99,0,24,24,0,23.31,0.43,42,167.53,17.28,935.7399999999998

7,01:30-01:45,0,0,0,0,0,0,79.27,26.99,23.31,8.64,200,0,6.72,4.14,237.82,23.31,26.99,0,24,24,0,23.31,0.43,42,167.53,17.28,935.7399999999998

8,01:45-02:00,0,0,0,0,0,0,79.27,26.99,23.31,8.64,200,0,6.72,4.14,237.82,23.31,26.99,0,24,24,0,23.31,0.43,42,167.53,17.28,935.7399999999998

9,02:00-02:15,0,0,0,0,0,0,79.27,26.99,23.31,8.64,0,0,6.72,4.04,237.82,23.31,26.99,0,24,24,0,23.31,0.43,42,167.53,17.28,735.6399999999999

