Block,Time,DHAULIGNGA,RAMPUR,CHAMERA3,KISHANGANGA,NJPC,NAPP,CHAMERA2,JHAJJAR,PARBATI3,KOTESHWR,DULHASTI,DADRT2,KOLDAM,RIHAND3,TEHRI,UNCHAHAR4,SINGRAULI,RIHAND2,TANDA2,UNCHAHAR3,SEWA2,RIHAND1,URI2,UNCHAHAR2,RAPPC,UNCHAHAR1,SINGRAULI_HYDRO,RAPPB,BSIUL,CHAMERA1,TANAKPUR,SALAL,URI,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,TALST2,VALLURNTECL,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,SIMHST2,RSTPSU1TO6,RSTPSU7,SIMHST1,KUDGI,MAPS,NLCEXP,NLCIIST1,TALA,FSTPP I & II,BRBCL,KHSTPP-I,KHSTPP-II,VSTPS I,VSTPS II,VSTPS III,VSTPS IV,VSTPS V,LARA-I,MOUDA,SIPAT I,SIPAT II,SOLAPUR,MOUDA_II,TAPS-II,SASAN,GADARWARA-I,KHARGONE-I,KSTPS I&II,KSTPS7,KAPS,GANDHAR-APM,GANDHAR-NAPM,GANDHAR-RLNG,GANDHAR-ComGas,KAWAS-APM,KAWAS-NAPM,KAWAS-RLNG,KAWAS-zLIQ,KAWAS-ComGas
1,00:00-00:15,0,0.791484,21.118518,2.551476,40.951052,45.56718,43.635161,661.459879,0,26.13859,35.813791,689.353782,1.063965,126.520838,33.066273,1.427606,141.894467,120.694688,2.525983,26.963602,17.179061,94.319982,35.798816,43.545976,59.738476,22.193776,1.075357,0,19.6614,42.14808,3.843,36.022,50.232,0,6.080756,92.427499,0,0,73.287535,0,0,0,6.41457,34.405422,0,3.03,2.99,3.78,0.42,0.87,0.22,2,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.78,0.81,0,20.73185,15.386,46.39908,147.515625,2.341473,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,4.551534,1.870228,3.542468,3.511691,1.371098,348.975,4.2939,3.542466,2.889862,1.341844,0.827495,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

2,00:15-00:30,0,0.791484,21.118518,2.551476,40.951052,45.56718,43.635161,661.459879,0,26.13859,35.813791,689.353782,0,126.520838,33.066273,1.427606,141.894467,120.694688,2.525983,26.963602,17.179061,94.319982,35.798816,43.545976,59.738476,22.193776,1.075357,0,19.6614,42.14808,3.843,36.022,50.232,0,6.080756,92.427499,0,0,73.287535,0,0,0,6.41457,34.405422,0,3.03,2.99,3.78,0.42,0.87,0.22,2,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.78,0.81,0,20.73185,15.386,46.39908,147.515625,2.341473,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,4.551534,1.870228,3.542468,3.511691,1.371098,348.975,4.2939,3.542466,2.889862,1.341844,0.827495,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

3,00:30-00:45,0,0.791484,21.118518,2.551476,40.951052,45.56718,43.635161,661.459879,0,26.13859,35.813791,689.353782,0,126.520838,33.066273,1.427606,141.894467,120.694688,2.525983,26.963602,17.179061,94.319982,35.068228,43.545976,59.738476,22.193776,1.075357,0,19.6614,42.14808,3.843,36.022,50.232,0,6.080756,92.427499,0,0,73.287535,0,0,0,6.41457,34.405422,0,3.03,2.99,3.78,0.42,0.87,0.22,2,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.78,0.81,0,20.73185,15.386,46.39908,147.515625,2.341473,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,4.551534,1.870228,3.542468,3.511691,1.371098,348.975,4.2939,3.542466,2.889862,1.341844,0.827495,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

4,00:45-01:00,0,0.791484,21.118518,2.551476,40.951052,45.56718,43.635161,661.459879,0,26.13859,35.813791,689.353782,0,126.520838,33.066273,1.427606,141.894467,120.694688,2.525983,26.963602,17.179061,94.319982,35.068228,43.545976,59.738476,22.193776,1.075357,0,19.6614,42.14808,3.843,36.022,52.992,0,6.080756,92.427499,0,0,73.287535,0,0,0,6.41457,34.405422,0,3.03,2.99,3.78,0.42,0.87,0.22,2,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.78,0.81,0,20.73185,15.386,46.39908,147.515625,2.341473,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,4.551534,1.870228,3.542468,3.511691,1.371098,348.975,4.2939,3.542466,2.889862,1.341844,0.827495,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

5,01:00-01:15,0,0.791484,21.118518,2.551476,40.951052,45.56718,43.635161,661.459879,0,26.13859,35.813791,689.353782,0,126.520838,33.066273,1.427606,141.894467,120.694688,2.525983,26.963602,17.179061,94.319982,35.068228,43.545976,59.738476,22.193776,1.075357,0,19.6614,42.14808,3.843,36.022,52.992,0,6.080756,92.427499,0,0,73.287535,0,0,0,6.41457,34.405422,0,3.03,2.99,3.78,0.42,0.87,0.22,2,2.18,0,0,1.85,7.95,1.94,0,9.33,0.25,1.78,0.81,0,20.73185,15.386,46.39908,147.515625,2.341473,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,4.551534,1.870228,3.542468,3.511691,1.371098,348.975,4.2939,3.542466,2.889862,1.341844,0.827495,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

