Column1,Time,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/06/01/7762,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7786,NR/01102023/19072037/LT-05,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7663,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/2868,NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/9719,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/8510,GNA/NR/2025/04/01/8456,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/8964,NR/01102023/22052037/LT-59,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,GNARE/SR/2025/01/13/4532,WR/01102023/16072048/L_NR_2022_08,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19
1,00:00-00:15,0,20.51,0,100.55,0,24.23,2.81,32,11.9,20.51,41.02,115.4,53.33,41.02,272.91,11.89,17.37,87.06,261.18,0,41.02,20.51,11.82,9.07,4.48,5.54,0,4.3,4.29,0,0,112.5,41.67,37.5,41.67,43.02,29.33,0,0,0,0,0,0,0,0,0,37.5,0,0

2,00:15-00:30,0,20.51,0,100.55,0,24.23,2.81,32,11.9,20.51,41.02,115.4,53.33,41.02,272.91,11.89,17.37,87.06,261.18,0,41.02,20.51,11.82,9.07,4.48,5.54,0,4.3,4.29,0,0,112.5,41.67,37.5,41.67,43.02,29.33,0,0,0,0,0,0,0,0,0,37.5,0,0

3,00:30-00:45,0,20.51,0,100.55,0,24.23,2.81,30,11.9,20.51,41.02,115.4,53.33,41.02,272.91,11.89,17.37,87.06,261.18,0,41.02,20.51,10.53,9.07,4.48,4.92,25.64,4.3,4.29,0,0,113.51,41.67,37.83,41.67,43.02,29,0,0,0,0,0,0,0,0,0,37.83,0,0

4,00:45-01:00,0,20.51,0,100.55,0,24.23,2.81,30,11.9,20.51,41.02,115.4,53.33,41.02,272.91,11.89,17.37,87.06,261.18,0,41.02,20.51,10.53,9.07,4.48,4.92,25.64,4.3,4.29,0,0,113.51,41.67,37.83,41.67,42.02,29,0,0,0,0,0,0,0,0,0,37.83,0,0

5,01:00-01:15,0,20.51,0,100.55,0,24.23,2.62,26.7,11.9,20.51,41.02,98.39,53.33,41.02,272.91,11.89,17.37,83.52,261.18,0,41.02,20.51,10.43,9.07,4.48,4.92,26.7,4.3,4.29,0,0,112.99,41.67,37.67,41.67,41.22,28.67,0,0,0,0,0,0,0,0,0,37.67,0,0

6,01:15-01:30,0,20.51,0,100.55,0,24.23,2.62,26.7,11.9,20.51,41.02,70.37,53.33,41.02,272.91,11.89,17.37,87.06,261.18,0,41.02,20.51,10.43,9.07,4.48,4.92,26.7,4.3,4.29,0,0,114,41.67,38,41.67,40.22,29,0,0,0,0,0,0,0,0,0,38,0,0

7,01:30-01:45,0,20.51,0,100.55,0,24.23,2.62,26.7,11.9,20.51,41.02,70.37,53.33,41.02,272.91,11.89,17.37,69.09,261.18,0,41.02,20.51,10.43,9.07,4.48,4.92,26.7,4.3,4.29,0,0,113.51,41.67,37.83,41.67,36.22,29.67,0,0,0,0,0,0,0,0,0,37.83,0,0

8,01:45-02:00,0,20.51,0,100.55,0,24.23,2.62,26.7,11.9,20.51,41.02,70.37,53.33,41.02,272.91,11.89,17.37,69.09,261.18,0,41.02,20.51,10.43,9.07,4.48,4.92,26.7,4.3,4.29,0,0,112.99,41.67,37.67,41.67,35.61,30,0,0,0,0,0,0,0,0,0,37.67,0,0

9,02:00-02:15,0,20.51,0,100.55,0,24.23,2.62,26.94,11.9,20.51,41.02,70.37,53.33,41.02,272.91,11.89,17.37,69.09,201.12,164.08,41.02,20.51,10.35,9.07,4.48,4.61,26.94,4.3,4.29,0,0,109.99,41.67,36.67,41.67,34.61,30,0,0,0,0,0,0,0,0,0,36.67,0,0

10,02:15-02:30,0,20.51,0,100.55,0,24.23,2.62,26.94,11.9,20.51,41.02,70.37,53.33,41.02,272.91,11.89,17.37,69.09,201.12,164.08,41.02,20.51,10.35,9.07,4.48,4.61,26.94,4.3,4.29,0,0,112.5,41.67,37.5,41.67,34.01,30.33,0,0,0,0,0,0,0,0,0,37.5,0,0

