Column1,Time,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02012046/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,SR/01102023/07102043/L_NR_2018_61,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/SKS-Raigarh,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/30092023/26122029/SH-06,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug'24,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/31082024/jitpl,NR/30092023/31122025/SH-07,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16
1,00:00-00:15,232.54,0,4.94,57.84,78.33,0,0,0,0,31.67,78.33,35,0,0,0,0,95,31.66,31.21,201.18,0,0,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,31.29,0,100.94,70.6,0,0,0,0,0,0,0

2,00:15-00:30,193.78,0,4.94,57.84,78.33,0,0,0,0,31.67,78.33,35,0,0,0,0,95,31.66,31.01,176.96,0,0,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,31.29,0,100.94,70.6,0,0,0,0,0,0,0

3,00:30-00:45,193.78,0,4.94,57.84,78.33,0,0,0,0,31.67,78.33,35,0,0,0,0,95,31.66,30.81,172.12,0,0,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,31.29,0,53.29,70.6,0,0,0,0,0,0,0

4,00:45-01:00,193.78,0,4.94,57.84,78.33,0,0,0,0,31.67,78.33,35,0,0,0,0,95,31.66,30.81,172.12,0,0,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,31.29,0,53.29,70.6,0,0,0,0,0,0,0

5,01:00-01:15,193.78,4.39,4.75,57.84,78.33,0,0,0,0,31.33,78.33,35,0,0,0,0,94,31.34,30.81,172.12,0,0,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,31.29,0,53.29,70.6,0,0,0,0,0,0,0

6,01:15-01:30,193.78,4.39,4.75,57.84,78.33,0,0,0,0,30.83,78.33,35,0,0,0,0,92.5,30.84,30.61,172.12,0,0,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,31.29,0,53.29,70.6,0,0,0,0,0,0,0

7,01:30-01:45,193.78,4.05,4.75,57.84,78.33,0,0,0,0,30.83,78.33,30,0,0,0,0,92.5,30.84,24.81,172.12,0,0,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,31.29,0,53.29,70.6,0,0,0,0,0,0,0

8,01:45-02:00,193.78,3.95,4.75,57.84,78.33,0,0,0,0,29.67,78.33,30,0,0,0,0,89,29.66,24.61,172.12,0,0,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,31.29,0,53.29,70.6,0,0,0,0,0,0,0

9,02:00-02:15,193.78,4.16,4.56,57.84,73.33,0,0,0,0,30.83,73.33,30,0,0,0,0,92.5,30.84,24.41,172.12,0,0,96.89,18.78,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,31.29,0,53.29,70.6,0,0,0,0,0,0,0

10,02:15-02:30,193.78,4.16,4.56,57.84,73.33,0,0,0,0,30.83,73.33,30,0,0,0,0,92.5,30.84,24.21,172.12,0,0,96.89,18.78,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,31.29,0,53.29,70.6,0,0,0,0,0,0,0

11,02:30-02:45,150.67,4.16,4.56,57.84,73.33,0,0,0,0,30.83,73.33,35,0,0,0,0,92.5,30.84,24.01,111.42,0,0,96.89,18.78,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,29.26,0,53.29,70.6,0,0,0,0,0,0,0

12,02:45-03:00,150.67,4.16,4.56,57.84,73.33,0,0,0,0,30.83,73.33,35,0,0,0,0,92.5,30.84,23.81,111.42,0,0,96.89,18.78,48.44,12.48,0,26.8708,96.89,24.22,38.76,24.77,26.87,21.32,0,29.26,0,53.29,70.6,0,0,0,0,0,0,0

13,03:00-03:15,150.67,4.16,4.38,57.84,77.33,0,0,0,0,30.83,77.33,36.66,0,0,0,0,92.5,30.84,18.61,172.12,0,0,96.89,17.85,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,29.26,0,53.29,70.6,0,0,0,0,0,0,0

14,03:15-03:30,150.67,4.16,4.38,57.84,77.33,0,0,0,0,30.83,77.33,36.66,0,0,0,0,92.5,30.84,18.21,172.12,0,0,96.89,17.85,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,29.26,0,53.29,70.6,0,0,0,0,0,0,0

15,03:30-03:45,150.67,4.16,4.38,57.84,13.33,0,0,0,0,30.83,13.33,36.66,0,0,0,0,92.5,30.84,17.61,172.12,0,0,96.89,17.85,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,29.26,0,53.29,70.6,0,0,0,0,0,0,0

16,03:45-04:00,150.67,4.16,4.38,57.84,13.33,0,0,0,0,30.83,13.33,36.66,0,0,0,0,92.5,30.84,17.21,172.12,0,0,96.89,17.85,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,29.26,0,53.29,70.6,0,0,0,0,0,0,0

17,04:00-04:15,150.67,4.16,4.24,57.84,13.33,0,0,0,0,30.83,13.33,36.66,0,0,0,0,92.5,30.84,10,172.12,0,0,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,29.26,0,53.29,70.6,0,0,0,0,0,0,0

18,04:15-04:30,150.67,4.16,4.24,57.84,13.33,0,0,0,0,30.83,13.33,36.66,0,0,0,0,92.5,30.84,10,172.12,0,0,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,29.26,0,53.29,70.6,0,0,0,0,0,0,0

19,04:30-04:45,150.67,4.16,4.24,57.84,13.33,0,0,0,0,28.33,13.33,36.66,0,0,0,0,85,28.34,10,172.12,0,0,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,29.26,0,53.29,70.6,0,0,0,0,0,0,0

20,04:45-05:00,150.67,4.16,4.24,57.84,13.33,0,0,0,0,28.67,13.33,36.66,0,0,0,0,86,28.66,10,172.12,0,0,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,29.26,0,53.29,70.6,0,0,0,0,0,0,0

21,05:00-05:15,150.67,0,4.1,57.84,13.33,0,0,0,0,28.83,13.33,31.66,0,0,0,0,86.5,28.84,10,172.12,0,0,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,29.26,0,53.29,70.6,0,0,0,0,0,0,0

22,05:15-05:30,150.67,0,4.1,57.84,13.33,0,0,0,0,29,13.33,31.66,0,0,0,0,87,29,10,172.12,0,0,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,29.26,0,53.29,70.6,0,0,0,0,0,0,0

23,05:30-05:45,150.67,0,4.1,57.84,0,0,0,0,0,29.17,0,31.66,0,0,0,0,87.5,29.16,10,172.12,0,0,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,29.26,0,53.29,70.6,0,0,0,0,0,0,0

24,05:45-06:00,150.67,0,4.1,57.84,0,0,0,0,0,29.33,0,31.66,0,0,0,0,88,29.34,10,172.12,0,0,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,30.28,0,53.29,70.6,0,0,0,0,0,0,0

25,06:00-06:15,150.67,0,3.91,57.84,0,4,8.45,10.59,0.41,30.83,0,30.66,1,0,1,0,92.5,30.84,10,172.12,0,0,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,30.28,0,53.29,70.6,0,1,0.82,0,1,0,0

26,06:15-06:30,150.67,0,3.91,57.84,0,9,13.27,17.04,2.69,30.83,0,30,1,0,2,0.15,92.5,30.84,10,172.12,0,0,96.89,13.69,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,30.28,0,53.29,70.6,0,4,2.92,0.75,2,1,0

