Time,Block,NR/2023/11955/F,NR/2023/13014/D,NR/2023/11958/F,NR/2023/10611/A,NR/2023/10223/A,NR/2023/11947/F,NR/2023/11284/A,NR/2023/13031/C,NR/2023/10434/A,NR/2023/11961/F,NR/2023/11642/A,NR/2023/11862/F,NR/2023/11643/A,NR/2023/10344/A,NR/2023/10236/A,NR/2023/10613/A,NR/2023/10229/A,NR/2023/11963/F,NR/2023/11956/F,NR/2023/12656/F,NR/2023/11476/A,NR/2023/10487/A,NR/2023/13022/C,NR/2023/11342/A,NR/2023/11941/F,NR/2023/12903/F,NR/2023/13024/C,NR/2023/11959/F,NR/2023/11957/F,NR/2023/11960/F,NR/2023/10173/A,NR/2023/11962/F,NR/2023/11640/A,NR/2023/11952/F,NR/2023/11330/A,NR/2023/10944/A,ER/2023/7928/C,ER/2023/7930/C,ER/2023/7951/C,NR/2023/13018/D,NR/2023/13016/D,NR/2023/13020/D,Total
,,SHPPBPL,NVVNL,SHPPBPL,APPCPL,TPTCL,HPXL,STATKRAFT,TPDDL,NVVNL,SHPPBPL,MANIKARAN,APPCPL,MANIKARAN,BYPL,NVVNL,APPCPL,NVVNL,SHPPBPL,SHPPBPL,IEXL,IEXL,TPTCL,PXIL,IEXL,NVVNL,SJVNL,GBHHPL,SHPPBPL,SHPPBPL,SHPPBPL,STATKRAFT,SHPPBPL,MANIKARAN,KEIPL,APPCPL,APPCPL,HPXL,IEXL,IEXL,TS1PL_BKN,NVVNL,TS1PL_BKN,Total

,,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,ARUNACHAL PRADESH,NA,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MANIPUR,HIMACHAL PRADESH,MEGHALAYA,NA,NAGALAND,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,JAMMU AND KASHMIR,NA,NA,DELHI,TELANGANA,NA,WEST BENGAL,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,TAMIL NADU,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,DELHI,DELHI,NA,NA,NA,
,,SHPPBPL,KAMENG,SHPPBPL,Arunachal_Ben,JPL,B_S_ISPAT_MH,HP,CHANJUII,SEIL,SHPPBPL,HP,Manipur_Ben,HP,Meghalaya_Ben,ILFS,Nagaland_Ben,JPNIGRIE_JNSTPP,SHPPBPL,SHPPBPL,SAPU1234,JSPL_DCPP,APNRL,BRPL,NAVABHARAT,SKS Raigarh,IPCL_WB,GBHHPL,SHPPBPL,SHPPBPL,SHPPBPL,TANGEDCO,SHPPBPL,TANGEDCO,Meghalaya_Ben,HP,HP,BRPL,BYPL,BYPL,TS1PL_BKN,SOLAPUR_SOLAR,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,ODISHA,WEST BENGAL,DELHI,DELHI,DELHI,
,,BAL184,TPDDL,AISHER,BYPL,BRPL,NDMC,BYPL,TPDDL,TPDDL,JHPL-DL,BRPL,STT,BRPL,BYPL,BRPL,BYPL,BRPL,UHL,BAL224,MES (Delhi),BRPL,TPDDL,ASIL_UP,BRPL,NDMC,NDMC,DIAPL,BMDRC,BAL234,MAX-HPTL,BYPL,MHIL,BRPL,BYPL,BRPL,BYPL,VLSEZ,VLSEZ,CESC,BYPL,MES (Delhi),BRPL,
,,North-North,North East-East-North,North-North,North East-East-North,West-North,West-North,North-North,North-North,South-West-North,North-North,North-North,North East-East-North,North-North,North East-East-North,South-West-North,North East-East-North,West-North,North-North,North-North,North-North,West-North,East-North,North-North,South-West-North,West-North,East-North,North-North,North-North,North-North,North-North,South-West-North,North-North,South-West-North,North East-East-North,North-North,North-North,North-East,North-East,North-East,North-North,West-North,North-North,
1,00:00-00:15,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.900000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.690000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,31.590000,0.640000,0.720000,0.640000,75.580000,0.420000,23.160000,36.500000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,1031.4

2,00:15-00:30,0.360000,75.560000,0.560000,9.970000,21.530000,6.770000,33.860000,16.900000,24.190000,0.700000,14.510000,2.900000,13.060000,12.170000,236.850000,12.690000,43.060000,0.420000,0.370000,2.900000,48.380000,41.600000,0.000000,116.100000,33.860000,0.000000,31.590000,0.640000,0.720000,0.640000,75.580000,0.420000,23.160000,36.500000,65.020000,27.860000,0.000000,0.000000,0.000000,0,0,0,1031.4
