Column1,Time,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/SR/2025/01/13/4532,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/1831,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/8964,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/6216,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/8456,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/4565,GNA/SR/2025/04/01/2597,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/8510,NR/30092023/31122025/SH-07,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/6639,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/01/6490,NR/01102023/06022042/L_NR_2012_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,NR/01102023/30042040/GNA_LT_36,NR/01102023/05012040/L_NR_2020_02,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/04/01/4420
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,5,29.17,66.66,2.89,1.92,100.25,72.17,28.87,2.89,2.31,25.06,2.89,9.62,230.95,5.43,204.88,31.28,9.62,48.12,52.5,66.02,0,43.74,4.43,25.06,14.58,72.17,6.21,0,7.67,19.25,96.23,9.62,74.61,66.67,29.17,0,87.49,25,0,0,0,5.6,11.97,0

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,5,29.5,66.66,2.89,1.92,100.25,72.17,28.87,2.89,2.31,25.06,2.89,9.62,230.95,5.43,204.88,31.28,9.62,48.12,52.5,66.02,0,43.74,4.43,25.06,14.58,72.17,6.21,0,7.67,19.25,96.23,9.62,74.61,66.67,29.5,0,88.5,25,0,0,0,5.6,11.97,0

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,5,33.33,73.34,2.89,1.92,100.25,72.17,28.87,2.89,3.97,25.06,2.89,9.62,230.95,5.42,204.88,31.28,9.62,48.12,52.5,66.02,0,43.74,4.43,25.06,14.58,72.17,6.21,0,7.67,19.25,96.23,9.62,74.61,73.33,33.33,0,100.01,31.67,0,0,0,5.6,11.97,0

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,5,33.33,73.34,2.89,1.92,100.25,72.17,28.87,2.89,3.97,25.06,2.89,9.62,230.95,5.42,204.88,31.28,9.62,48.12,52.5,66.02,0,43.74,4.43,25.06,14.58,72.17,6.21,0,7.67,19.25,96.23,9.62,74.61,73.33,33.33,0,100.01,31.67,0,0,0,5.6,11.97,0

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,5,33.33,73.34,2.89,1.92,91.97,72.17,28.87,2.89,3.97,26.93,2.89,9.62,230.95,5.43,228.94,31.28,9.62,48.12,52.5,66.02,0,43.74,4.43,26.93,14.58,72.17,6.21,0,7.14,19.25,96.23,9.62,74.61,73.33,33.33,0,100.01,32.33,0,0,0,5.46,11.79,0

