Column1,Time,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/10/16/4393,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/9072,NR/01102023/15082037/GNA_NR_2012_01,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,GNA/NR/2024/10/01/3642,NR/01102023/31052040/LT-31,GNA/NR/2024/10/16/2350,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/10/01/6101,NR/01102023/31102037/L_NR_2019_11,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/10/01/9582,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/8106
1,00:00-00:15,206.18,142.69,2.17,2.41,64.39,2.78,200,26.33,100.59,0,0,0,0,0,0,0,0,0,7,0,7.2,0,16.67,7,16.67,7,21,0,26.33,0,47.56,68.1,0,0,26.33,4.15,2.78,273,12.42,28.76,4.15,12.42

2,00:15-00:30,206.18,142.69,2.17,2.41,64.39,2.78,200,26.33,100.59,0,0,0,0,0,0,0,0,0,7,0,7.2,0,17.33,7,17.33,7,21,0,26.33,0,47.56,68.1,0,0,26.33,4.15,2.78,273,12.42,28.76,4.15,12.42

3,00:30-00:45,206.18,142.69,2.72,2.41,64.39,2.78,200,26.33,100.59,0,0,0,0,0,0,0,0,0,7,0,7.2,0,17.67,7,17.67,7,21,0,26.33,0,47.56,68.1,0,0,26.33,4.15,2.78,273,12.42,28.76,4.15,12.42

4,00:45-01:00,206.18,142.69,2.72,2.41,64.39,2.78,200,26.33,100.59,0,0,0,0,0,0,0,0,0,7,0,7.2,0,18.33,7,18.33,7,21,0,26.33,0,47.56,68.1,0,0,26.33,4.15,2.78,273,12.42,29.26,4.15,12.42

5,01:00-01:15,206.18,142.69,2.72,2.41,64.39,25.28,200,26.33,100.59,0,0,0,0,0,0,0,0,0,7,0,7.2,0,18.67,7,18.67,7,21,0,26.33,0,47.56,68.1,0,0,26.33,2.84,25.28,273,12.42,29.26,4.15,12.42

6,01:15-01:30,206.18,142.69,2.72,2.41,64.39,25.28,200,26.33,100.59,0,0,0,0,0,0,0,0,0,7,0,7.2,0,19,7,19,7,21,0,26.33,0,47.56,68.1,0,0,26.33,2.84,25.28,273,12.42,29.26,4.15,12.42

7,01:30-01:45,206.18,142.69,2.72,2.41,70.39,25.28,200,26.33,100.59,0,0,0,0,0,0,0,0,0,7,0,7.2,0,19.33,7,19.33,7,21,0,26.33,0,47.56,68.1,0,0,26.33,2.61,25.28,273,12.42,29.26,4.15,12.42

8,01:45-02:00,206.18,142.69,2.72,2.41,70.39,25.28,200,26.33,100.59,0,0,0,0,0,0,0,0,0,7,0,7.2,0,19.67,7,19.67,7,21,0,26.33,0,47.56,68.1,0,0,26.33,2.61,25.28,273,12.42,29.26,4.15,12.42

9,02:00-02:15,206.18,142.69,2.56,2.41,70.39,26.91,0,26.33,57.93,0,0,0,0,0,0,0,0,0,7,0,7.2,0,24,9.16,24,9.17,27.5,0,26.33,0,47.56,68.1,0,0,26.33,2.61,26.91,273,12.42,29.26,4.15,12.42

10,02:15-02:30,206.18,142.69,2.56,2.41,70.39,26.91,0,26.33,57.93,0,0,0,0,0,0,0,0,0,7,0,7.2,0,24.67,9.34,24.67,9.33,28,0,26.33,0,47.56,68.1,0,0,26.33,2.61,26.91,273,12.42,28.76,4.15,12.42

11,02:30-02:45,206.18,142.69,2.56,2.41,70.39,26.91,0,26.33,86.9,0,0,0,0,0,0,0,0,0,7,0,7.2,0,30,9.34,30,9.33,28,0,26.33,0,47.56,68.1,0,0,26.33,2.61,26.91,273,12.42,28.76,4.15,12.42

12,02:45-03:00,206.18,142.69,2.56,2.41,70.39,26.91,0,26.33,86.9,0,0,0,0,0,0,0,0,0,7,0,7.2,0,30.33,9.34,30.33,9.33,28,0,26.33,0,47.56,68.1,0,0,26.33,2.61,26.91,273,12.42,28.76,4.15,12.42

13,03:00-03:15,206.18,142.69,2.48,2.41,70.39,26.91,0,26.33,86.9,0,0,0,0,0,0,0,0,0,7,0,7.2,0,30.33,9.5,30.33,9.5,28.5,0,26.33,0,47.56,68.1,0,0,26.33,2.61,26.91,273,12.42,28.76,4.06,12.42

14,03:15-03:30,206.18,142.69,2.48,2.41,70.39,26.91,0,26.33,88.83,0,0,0,0,0,0,0,0,0,7,0,7.2,0,30.33,9.5,30.33,9.5,28.5,0,26.33,0,47.56,68.1,0,0,26.33,2.61,26.91,273,12.42,28.76,4.06,12.42

15,03:30-03:45,206.18,142.69,2.48,2.41,70.39,26.91,0,26.33,88.83,0,0,0,0,0,0,0,0,0,8.34,0,7.2,0,36.67,9.5,36.67,9.5,28.5,0,26.33,0,47.56,68.1,0,0,26.33,2.61,26.91,273,12.42,28.76,4.06,12.42

16,03:45-04:00,206.18,142.69,2.48,2.41,70.39,26.91,0,26.33,82.07,0,0,0,0,0,0,0,0,0,8.66,0,7.2,0,37,9.66,37,9.67,29,0,26.33,0,47.56,68.1,0,0,26.33,2.61,26.91,273,12.42,28.76,4.06,12.42

17,04:00-04:15,206.18,142.69,2.48,2.41,70.39,26.91,0,26.33,82.07,0,0,0,0,0,0,0,0,0,9,0,7.2,0,35.67,9.66,35.67,9.67,29,0,26.33,0,47.56,68.1,0,0,26.33,2.46,26.91,273,12.42,28.26,4.06,12.42

18,04:15-04:30,206.18,142.69,2.48,2.41,70.39,26.91,0,26.33,82.07,0,0,0,0,0,0,0,0,0,9.34,0,7.2,0,35,9.66,35,9.67,29,0,26.33,0,47.56,68.1,0,0,26.33,2.46,26.91,273,12.42,28.26,4.06,12.42

19,04:30-04:45,206.18,142.69,2.48,2.41,70.39,26.91,0,26.33,73.38,0,0,0,0,0,0,0,0,0,9.34,0,7.2,0,34,9.84,34,9.83,29.5,0,26.33,0,47.56,68.1,0,0,26.33,2.46,26.91,273,12.42,28.26,4.06,12.42

20,04:45-05:00,206.18,142.69,2.48,2.41,70.39,26.91,0,26.33,63.72,0,0,0,0,0,0,0,0,0,9.34,0,7.2,0,33.33,9.84,33.33,9.83,29.5,0,26.33,0,47.56,68.1,0,0,26.33,2.46,26.91,273,12.42,28.26,4.06,12.42

21,05:00-05:15,206.18,142.69,2.4,2.41,70.39,26.91,0,26.33,75.31,0,0,0,0,0,0,0,0,0,9,0,7.2,0,32.67,9.66,32.67,9.67,29,0,26.33,0,47.56,68.1,0,0,26.33,2.46,26.91,273,12.42,28.26,4.06,12.42

22,05:15-05:30,206.18,142.69,2.4,2.41,70.39,26.91,0,26.33,75.31,0,0,0,0,0,0,0,0,0,8.34,0,7.2,0,31.67,9.66,31.67,9.67,29,0,26.33,0,47.56,68.1,0,0,26.33,2.46,26.91,273,12.42,28.26,4.06,12.42

23,05:30-05:45,206.18,142.69,2.4,2.41,70.39,26.91,0,26.33,68.55,0,0,0,0,0,0,0,0,0,8,0,7.2,0,31,12.5,31,12.5,37.5,0,26.33,0,47.56,68.1,0,0,26.33,2.46,26.91,273,12.42,28.26,4.06,12.42

24,05:45-06:00,206.18,142.69,2.4,2.41,70.39,26.91,0,26.33,73.38,0,0,0,0,0,0,0,0,0,7.66,0,7.2,0,29.33,12,29.33,12,36,0,26.33,0,47.56,68.1,0,0,26.33,2.46,26.91,273,12.42,28.26,4.06,12.42

25,06:00-06:15,206.18,0,2.4,2.41,70.39,26.91,0,26.33,69.52,0,0,0,0,1,0,0,0,8.46,7.34,0,7.2,2,27.67,11.66,27.67,11.67,35,7.9,26.33,0,0,68.1,0,0,26.33,2.46,26.91,273,12.42,28.26,4.06,12.42

