Block,Time Block,BRBCL,FSTPP I & II,JHAJJAR,AURY_CRF,AURY_RF,AURY_LF,DADRI_CRF,AURY_GF,DULHASTI,DADRT2,DHAULIGNGA,KOLDAM,KISHANGANGA,KUDGI,KHSTPP-I,MAPS,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,ANTA_LF,ANTA_RF,CHAMERA2,BSIUL,CHAMERA1,CHAMERA3,KGSU1AND2,KGSU3AND4,URI2,VALLURNTECL,UNCHAHAR3,URI,ANTA_GF,UNCHAHAR4,ANTA_CRF,TEHRI,TelanganaSTPP,TANDA2,TEHRIPSP,UNCHAHAR2,UNCHAHAR1,DADRI_GF,DADRI_RF,DADRI_LF,RAPPC,RIHAND2,RIHAND1,RAPPB,RAPPD,SASAN,TALST2,RSTPSU1TO6,SINGRAULI_HYDRO,RSTPSU7,SIMHST1,TANAKPUR,TALA,RIHAND3,SIMHST2,SALAL,SEWA2,SINGRAULI,PARBATI2,RAMPUR,PARBATI3,NTPL,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NAPP,NNTPP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,15.77,20.1,191.47,0,0,0,0,0,56.22,518.11,42.38,10.29,8.47,0,44,0,10.09,143.32,0,0,0,0,47.26,12.6,40.73,33.91,0,0,38.88,0,26.51,50.6,0,1.93,0,38.86,0,3.74,57.08,43,20.77,0,0,0,66.26,122.54,85.97,0,25.26,402.26,0,0,1.12,0,0,11.76,24.72,127.92,0,82.54,0,150.35,56.1,6.8,57.19,0,0,0,175.07,0,0,24.05,0,0,0,0,0,0

2,00:15-00:30,15.18,20.1,143.99,0,0,0,0,0,56.22,498.03,42.38,10.29,8.47,0,44,0,10.09,143.32,0,0,0,0,47.26,12.6,40.73,33.91,0,0,38.88,0,26.51,50.6,0,1.93,0,38.86,0,3.74,57.08,43,20.77,0,0,0,66.26,122.54,85.97,0,25.26,402.26,0,0,1.12,0,0,11.76,24.72,127.92,0,82.54,0,150.35,56.1,6.8,57.19,0,0,0,175.07,0,0,24.05,0,0,0,0,0,0

3,00:30-00:45,13.43,20.1,127.56,0,0,0,0,0,56.22,459.38,42.38,10.29,8.47,0,44,0,10.09,143.32,0,0,0,0,47.26,12.6,40.73,33.91,0,0,38.88,0,22.76,50.6,0,1.93,0,38.86,0,3.74,57.08,37.11,17.47,0,0,0,66.26,122.54,85.97,0,25.26,402.26,0,0,1.12,0,0,11.76,25,127.92,0,82.54,0,150.35,56.1,6.8,57.19,0,0,0,175.07,0,0,24.05,0,0,0,0,0,0

4,00:45-01:00,15.2,20.1,127.56,0,0,0,0,0,56.22,446.82,42.38,10.29,8.47,0,44,0,10.09,143.32,0,0,0,0,47.26,12.6,40.73,33.91,0,0,38.88,0,22.76,50.6,0,1.93,0,38.86,0,3.74,57.08,37.11,17.47,0,0,0,66.26,122.54,85.97,0,25.26,402.26,0,0,1.12,0,0,11.76,25,127.92,0,82.54,0,150.35,56.1,6.8,57.19,0,0,0,175.07,0,0,24.05,0,0,0,0,0,0

5,01:00-01:15,13.5,20.1,116.93,0,0,0,0,0,56.22,406.23,42.38,10.29,8.47,0,44,0,10.09,143.32,0,0,0,0,47.26,12.6,40.73,33.91,0,0,31.1,0,19.15,40.54,0,1.93,0,38.86,0,3.74,57.08,32.77,15.51,0,0,0,66.26,122.54,85.97,0,25.26,402.26,0,0,1.12,0,0,11.76,25,127.92,0,82.54,0,150.35,56.1,6.8,57.19,0,0,0,175.07,0,0,24.05,0,0,0,0,0,0

