Time,Block,NR/2023/13604/D,NR/2023/10460/A,NR/2023/10488/A,NR/2023/12813/F,NR/2023/13612/C,NR/2023/10432/A,NR/2023/12814/F,NR/2023/10651/A,NR/2023/12923/F,NR/2023/12920/F,NR/2023/12661/A,NR/2023/11447/A,NR/2023/10561/A,NR/2023/13622/C,ER/2023/8358/C,NR/2023/12706/A,NR/2023/13599/D,NR/2023/13472/F,NR/2023/11709/A,NR/2023/10956/A,NR/2023/10959/A,NR/2023/13605/D,NR/2023/12917/F,NR/2023/12924/F,NR/2023/13369/F,NR/2023/11953/A,NR/2023/13315/F,NR/2023/10786/A,NR/2023/10436/A,NR/2023/12922/F,NR/2023/10435/A,NR/2023/13598/D,NR/2023/11712/A,NR/2023/13618/C,NR/2023/10947/A,NR/2023/12916/F,NR/2023/12919/F,NR/2023/11266/A,NR/2023/12872/F,NR/2023/11507/A,NR/2023/10720/A,NR/2023/12915/F,NR/2023/13623/C,NR/2023/12169/A,NR/2023/12921/F,NR/2023/13619/C,NR/2023/13602/D,Total
,,TS1PL_BKN,GMRETL,TPTCL,MANIKARAN,GBHHPL,TPTCL,MANIKARAN,KEIPL,SHPPBPL,SHPPBPL,NVVNL,TPTCL,PTC,IEXL,HPXL,HPXL,NVVNL,TPTCL,MANIKARAN,NVVNL,NVVNL,TS1PL_BKN,SHPPBPL,SHPPBPL,SJVNL,KEIPL,IEXL,STATKRAFT,APPCPL,SHPPBPL,NVVNL,NVVNL,MANIKARAN,TPDDL,APPCPL,SHPPBPL,SHPPBPL,TPTCL,ITCLH,TPTCL,KEIPL,SHPPBPL,IEXL,APPCPL,SHPPBPL,HPXL,NVVNL,Total

,,NA,MEGHALAYA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,ODISHA,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,DELHI,MAHARASHTRA,NA,HIMACHAL PRADESH,TAMIL NADU,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,WEST BENGAL,MEGHALAYA,JAMMU AND KASHMIR,TAMIL NADU,MEGHALAYA,HIMACHAL PRADESH,NA,NA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,ANDHRA PRADESH,NA,TAMIL NADU,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,
,,TS1PL_BKN,Meghalaya_Ben,APNRL,HP,GBHHPL,NBVLIPP,HP,Meghalaya_Ben,SHPPBPL,SHPPBPL,SKS Raigarh,HP-GOVT,JPNIGRIE_JNSTPP,ACBIL,BYPL,B_S_ISPAT_MH,KAMENG,HP-GOVT,TANGEDCO,JPNIGRIE_JNSTPP,KAMENG,TS1PL_BKN,SHPPBPL,SHPPBPL,IPCL_WB,Meghalaya_Ben,SAPU1234,TANGEDCO,Meghalaya_Ben,SHPPBPL,SEIL,SORANG_HEP,TANGEDCO,CHANJUII,HP,SHPPBPL,SHPPBPL,KWHEP,ITCWIND,JPL,TANGEDCO,SHPPBPL,ACBIL,HP,SHPPBPL,Teesta_III,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BYPL,TPDDL,BRPL,DIAPL,TPDDL,BRPL,BYPL,MHIL,BMDRC,NDMC,BRPL,TPDDL,BRPL,VL-CPP 1215,NDMC,TPDDL,BRPL,BRPL,BRPL,BRPL,BYPL,BAL234,UHL,NDMC,BYPL,MES (Delhi),BYPL,BYPL,JHPL-DL,TPDDL,TPDDL,BRPL,TPDDL,BYPL,BAL224,AISHER,BRPL,ITCLH,BRPL,BYPL,BAL184,BYPL,BRPL,MAX-HPTL,BRPL,MES (Delhi),
,,North-North,North East-East-North,East-North,North-North,North-North,East-North,North-North,North East-East-North,North-North,North-North,West-North,North-North,West-North,West-North,North-East,West-North,North East-East-North,North-North,South-West-North,West-North,North East-East-North,North-North,North-North,North-North,East-North,North East-East-North,North-North,South-West-North,North East-East-North,North-North,South-West-North,North-North,South-West-North,North-North,North-North,North-North,North-North,North-North,South-West-North,West-North,South-West-North,North-North,West-North,North-North,North-North,East-North,West-North,
1,00:00-00:15,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,98.710000,24.190000,1.020000,24.190000,0.000000,64.350000,16.910000,23.220000,0.520000,0.820000,51.630000,0.480000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,404.500000,0,1872.27

2,00:15-00:30,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,98.710000,24.190000,1.020000,24.190000,0.000000,64.350000,16.910000,23.220000,0.520000,0.820000,51.630000,0.480000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,371.600000,0,1839.37

3,00:30-00:45,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,98.710000,24.190000,1.020000,24.190000,0.000000,64.350000,16.910000,23.220000,0.520000,0.820000,51.630000,0.480000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,333.860000,0,1801.63

4,00:45-01:00,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,98.710000,24.190000,1.020000,24.190000,0.000000,64.350000,16.910000,23.220000,0.520000,0.820000,51.630000,0.480000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,298.050000,0,1765.82

5,01:00-01:15,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,98.710000,24.190000,1.020000,24.190000,0.000000,64.350000,16.910000,23.220000,0.520000,0.820000,51.630000,0.530000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,279.670000,0,1747.49

6,01:15-01:30,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,98.710000,24.190000,1.020000,24.190000,0.000000,64.350000,16.910000,23.220000,0.520000,0.820000,51.630000,0.530000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,238.050000,0,1705.87

7,01:30-01:45,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,98.710000,24.190000,1.020000,24.190000,0.000000,64.350000,16.910000,23.220000,0.520000,0.820000,51.630000,0.530000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,203.220000,0,1671.04

8,01:45-02:00,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,98.710000,24.190000,1.020000,24.190000,0.000000,64.350000,16.910000,23.220000,0.520000,0.820000,51.630000,0.530000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,165.480000,0,1633.3

9,02:00-02:15,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,98.710000,24.190000,1.020000,24.190000,0.000000,64.350000,16.810000,23.220000,0.520000,0.820000,51.630000,0.480000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,96.770000,0,1564.44

10,02:15-02:30,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,98.710000,24.190000,1.020000,24.190000,0.000000,64.350000,16.810000,23.220000,0.520000,0.820000,51.630000,0.480000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,58.060000,0,1525.73

11,02:30-02:45,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,98.710000,24.190000,1.020000,24.190000,0.000000,64.350000,16.810000,23.220000,0.520000,0.820000,51.630000,0.480000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,19.350000,0,1487.02

12,02:45-03:00,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,23.170000,100.160000,25.040000,0,0.920000,0.610000,0.000000,36.510000,4.840000,98.710000,24.190000,1.020000,24.190000,0.000000,64.350000,16.810000,23.220000,0.520000,0.820000,51.630000,0.480000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,0.000000,0,1467.67

13,03:00-03:15,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,0.000000,4.840000,98.710000,24.190000,1.020000,24.190000,0.000000,64.350000,16.720000,23.220000,0.520000,0.820000,51.630000,0.440000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,0.000000,0,1407.86

14,03:15-03:30,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,0.000000,4.840000,98.710000,24.190000,1.020000,24.190000,0.000000,64.350000,16.720000,23.220000,0.520000,0.820000,51.630000,0.440000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,0.000000,0,1407.86

15,03:30-03:45,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,0.000000,4.840000,98.710000,24.190000,1.020000,24.190000,0.000000,64.350000,16.720000,23.220000,0.520000,0.820000,51.630000,0.440000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,0.000000,0,1407.86

16,03:45-04:00,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,0.000000,4.840000,98.710000,24.190000,1.020000,24.190000,0.000000,64.350000,16.720000,23.220000,0.520000,0.820000,51.630000,0.440000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,0.000000,0,1407.86

17,04:00-04:15,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,0.000000,4.840000,98.710000,24.190000,1.020000,24.190000,0.000000,64.350000,16.630000,23.220000,0.520000,0.820000,51.630000,0.440000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,0.000000,0,1407.77

18,04:15-04:30,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,0.000000,4.840000,98.710000,24.190000,1.020000,24.190000,0.000000,64.350000,16.630000,23.220000,0.520000,0.820000,51.630000,0.440000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,0.000000,0,1407.77

19,04:30-04:45,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,0.000000,4.840000,98.710000,24.190000,1.020000,24.190000,0.000000,64.350000,16.630000,23.220000,0.520000,0.820000,51.630000,0.440000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,0.000000,0,1407.77

20,04:45-05:00,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,0.000000,4.840000,98.710000,24.190000,1.020000,24.190000,0.000000,64.350000,16.630000,23.220000,0.520000,0.820000,51.630000,0.440000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,0.000000,0,1407.77

21,05:00-05:15,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,0.000000,4.840000,0.000000,24.190000,1.020000,24.190000,0.000000,64.350000,16.540000,23.220000,0.520000,0.820000,51.630000,0.480000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,0.000000,0,1309.01

22,05:15-05:30,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,0.000000,4.840000,0.000000,24.190000,1.020000,24.190000,0.000000,64.350000,16.540000,23.220000,0.520000,0.820000,51.630000,0.480000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,0.000000,0,1309.01

23,05:30-05:45,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,0.000000,4.840000,0.000000,24.190000,1.020000,24.190000,0.000000,64.350000,16.540000,23.220000,0.520000,0.820000,51.630000,0.480000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,0.000000,0,1309.01

24,05:45-06:00,0,23.220000,48.380000,62.900000,34.650000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,0,0.920000,0.610000,0.000000,0.000000,4.840000,0.000000,24.190000,1.020000,24.190000,0.000000,64.350000,16.540000,23.220000,0.520000,0.820000,51.630000,0.480000,300.460000,23.710000,0.370000,0.000000,54.190000,0.930000,0.000000,0,1309.01

25,06:00-06:15,1.4,23.220000,48.380000,62.900000,33.630000,43.550000,85.640000,63.140000,0.610000,0.930000,62.900000,14.960000,48.380000,0.000000,0.000000,6.770000,86.560000,8.230000,0.000000,100.160000,25.040000,0.6,0.920000,0.610000,0.000000,0.000000,4.840000,0.000000,24.190000,1.020000,24.190000,0.000000,64.350000,16.440000,0.000000,0.520000,0.820000,51.630000,0.530000,300.460000,23.710000,0.370000,0.000000,0.000000,0.930000,0.000000,0,1232.53

