Column1,Time,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,GNA/NR/2024/12/01/2197,GNA/WR/2024/10/15/7089,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/1475,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1899,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/7739,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,GNA/WR/2024/11/01/4200,NR/01102023/31052040/LT-31,GNA/NR/2024/12/01/1766,GNA/SR/2024/12/01/6968,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/12/01/3428,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,SR/01102023/07102043/L_NR_2018_61
1,00:00-00:15,0,0,74.79,0.77,25.97,0,1.92,25.97,0,8.66,1.66,93.6,95.13,31.71,70.13,0,0,0,25.97,150,1.3,0,8.66,0,52.9,0,16,48,0,0,0,0,16,48,10,48,0,0,0,0,0,24.22,0,15.21

2,00:15-00:30,0,0,74.79,0.77,25.97,0,1.92,25.97,0,8.66,1.66,93.6,95.13,31.71,70.13,0,0,0,25.97,150,1.3,0,8.66,0,52.9,0,15.17,45.67,0,0,0,0,15.17,45.66,10,45.49,0,0,0,0,0,24.22,0,15.21

3,00:30-00:45,0,0,74.79,0.77,25.97,0,1.92,25.97,0,8.66,1.66,92.98,95.13,31.71,70.13,0,0,0,25.97,150,1.3,0,8.66,0,76.94,0,14.17,42.33,0,0,0,0,14.17,42.34,9.67,42.49,0,0,0,0,0,24.73,0,15.41

4,00:45-01:00,0,0,74.79,0.77,25.97,0,1.92,25.97,0,8.66,1.66,92.98,95.13,31.71,70.13,0,0,0,25.97,150,1.3,0,8.66,0,76.94,0,13.17,39.33,0,0,0,0,13.17,39.34,9.33,39.49,0,0,0,0,0,25.23,0,15.61

5,01:00-01:15,0,0,74.79,0.77,25.97,0,1.92,25.97,0,8.66,1.66,92.98,95.13,31.71,70.13,0,0,0,25.97,150,1.22,0,8.66,0,76.94,0,16.67,37.33,0,0,0,0,16.67,37.34,11.67,49.99,0,0,0,0,0,25.23,0,16.01

6,01:15-01:30,0,0,74.79,0.77,25.97,0,1.92,25.97,0,8.66,1.66,92.98,95.13,31.71,70.13,0,0,0,25.97,150,1.22,0,8.66,0,81.75,0,16.67,35.67,0,0,0,0,16.67,35.66,11.33,49.99,0,0,0,0,0,25.23,0,16.41

