Column1,Time,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31052040/LT-31,GNA/NR/2024/11/01/5474,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/5428,NR/01102023/27052033/DIAPL(L_NR_2023_04),L_NR_2019_19,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,GNA/NR/2024/11/01/5444,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/9061,GNA/NR/2024/11/01/1868,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/11/01/9042,NR/01102023/31102037/L_NR_2019_11,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13
1,00:00-00:15,7,0,11.67,21,0,11.18,11.66,0,6.33,7,0,0,2.94,0,190.26,53.03,70.29,0,0,171.26,8.68,63.42,26.03,28.26,0,0,1.4,26.03,57.56,0,26.03,8.68,1.9,212.1,17.35,1.92,0,0,0,0,0,0,0,0

2,00:15-00:30,7,0,11.67,21,0,10.99,11.66,0,6.33,7,0,0,2.94,0,190.26,53.03,70.29,0,0,171.26,8.68,63.42,26.03,28.26,0,0,1.4,26.03,57.56,0,26.03,8.68,1.9,192.82,17.35,1.92,0,0,0,0,0,0,0,0

3,00:30-00:45,7,0,19,21,0,10.76,19,0,6.33,7,0,0,2.94,0,190.26,53.03,70.29,0,0,171.26,8.68,63.42,26.03,28.26,0,0,1.4,26.03,57.56,0,26.03,8.68,1.9,192.82,17.35,1.92,0,0,0,0,0,0,0,0

4,00:45-01:00,7,0,18.33,21,0,10.72,18.33,0,6.33,7,0,0,2.94,0,190.26,53.03,70.29,0,0,171.26,8.68,63.42,26.03,28.26,0,0,1.4,26.03,57.56,0,26.03,8.68,1.9,192.82,17.35,1.92,0,0,0,0,0,0,0,0

5,01:00-01:15,7,0,18,21,0,10.09,18,0,6.33,7,0,0,2.94,0,190.26,53.03,70.29,0,0,180.9,8.68,63.42,26.03,28.26,0,0,1.4,26.03,57.56,0,26.03,8.68,1.9,173.54,17.35,1.76,0,0,0,0,0,0,0,0

6,01:15-01:30,7,0,17.33,21,0,10.72,17.33,0,6.33,7,0,0,2.94,0,190.26,53.03,70.29,0,0,180.9,8.68,63.42,26.03,28.26,0,0,1.4,26.03,57.56,0,26.03,8.68,1.9,173.54,17.35,1.76,0,0,0,0,0,0,0,0

7,01:30-01:45,7,0,16.67,21,0,11.23,16.67,0,6.33,7,0,0,2.94,0,190.26,53.03,70.29,0,0,171.26,8.68,63.42,26.03,28.26,0,0,1.4,26.03,57.56,0,26.03,8.68,1.9,173.54,17.35,1.76,0,0,0,0,0,0,0,0

8,01:45-02:00,7,0,16,21,0,11.49,16,0,6.33,7,0,0,2.94,0,190.26,53.03,70.29,0,0,171.26,8.68,63.42,26.03,28.26,0,0,1.4,26.03,57.56,0,26.03,8.68,1.9,149.93,17.35,1.76,0,0,0,0,0,0,0,0

9,02:00-02:15,7,0,15.33,21,0,9,15.33,0,6.33,7,0,0,2.94,0,190.26,53.03,70.29,0,0,171.26,8.68,63.42,26.03,28.26,0,0,1.4,26.03,57.56,0,26.03,8.68,1.9,149.93,17.35,1.76,0,0,0,0,0,0,0,0

10,02:15-02:30,7,0,13.33,21,0,9,13.33,0,6.33,7,0,0,2.94,0,190.26,53.03,70.29,0,0,171.26,8.68,63.42,26.03,28.26,0,0,1.4,26.03,57.56,0,26.03,8.68,1.9,149.93,17.35,1.76,0,0,0,0,0,0,0,0

11,02:30-02:45,7,0,13.33,21,0,8.8,13.33,0,6.33,7,0,0,2.94,0,190.26,53.03,70.29,0,0,171.26,8.68,63.42,26.03,28.26,0,0,1.4,26.03,57.56,0,26.03,8.68,1.9,149.93,17.35,1.76,0,0,0,0,0,0,0,0

12,02:45-03:00,7,0,13.33,21,0,8.8,13.33,0,6.33,7,0,0,2.94,0,190.26,53.03,70.29,0,0,180.9,8.68,63.42,26.03,28.26,0,0,1.4,26.03,57.56,0,26.03,8.68,1.9,149.93,17.35,1.76,0,0,0,0,0,0,0,0

13,03:00-03:15,7,0,13.33,21,0,8.6,13.33,0,6.33,7,0,0,2.85,0,190.26,53.03,70.29,0,0,180.9,8.68,63.42,26.03,28.26,0,0,1.32,26.03,57.56,0,26.03,8.68,1.9,149.93,17.35,1.84,0,0,0,0,0,0,0,0

14,03:15-03:30,7,0,13.33,21,0,8.6,13.33,0,6.33,7,0,0,2.85,0,190.26,53.03,70.29,0,0,180.9,8.68,63.42,26.03,28.26,0,0,1.32,26.03,57.56,0,26.03,8.68,1.9,149.93,17.35,1.84,0,0,0,0,0,0,0,0

15,03:30-03:45,7,0,13.33,21,0,8.4,13.33,0,6.33,7,0,0,2.85,0,190.26,53.03,70.29,0,0,180.9,8.68,63.42,26.03,28.26,0,0,1.32,26.03,57.56,0,26.03,8.68,1.9,149.93,17.35,1.84,0,0,0,0,0,0,0,0

16,03:45-04:00,7,0,13.33,21,0,8.4,13.33,0,6.33,7,0,0,2.85,0,190.26,53.03,70.29,0,0,171.26,8.68,63.42,26.03,28.26,0,0,1.32,26.03,57.56,0,26.03,8.68,1.9,149.93,17.35,1.84,0,0,0,0,0,0,0,0

17,04:00-04:15,7,0,13.33,21,0,8.2,13.33,0,6.33,7,0,0,2.85,0,190.26,53.03,70.29,0,0,180.9,8.68,63.42,26.03,28.26,0,0,1.32,26.03,57.56,0,26.03,8.68,1.9,149.93,17.35,1.76,0,0,0,0,0,0,0,0

18,04:15-04:30,7,0,13.33,21,0,8.2,13.33,0,6.33,7,0,0,2.85,0,190.26,53.03,70.29,0,0,180.9,8.68,63.42,26.03,28.26,0,0,1.32,26.03,57.56,0,26.03,8.68,1.9,149.93,17.35,1.76,0,0,0,0,0,0,0,0

19,04:30-04:45,7,0,13.33,21,0,8.2,13.33,0,6.33,7,0,0,2.85,0,190.26,53.03,70.29,0,0,180.9,8.68,63.42,26.03,28.26,0,0,1.32,26.03,57.56,0,26.03,8.68,1.9,149.93,17.35,1.76,0,0,0,0,0,0,0,0

20,04:45-05:00,7,0,13.33,21,0,8,13.33,0,6.33,7,0,0,2.85,0,190.26,53.03,70.29,0,0,180.9,8.68,63.42,26.03,28.26,0,0,1.32,26.03,57.56,0,26.03,8.68,1.9,149.93,17.35,1.76,0,0,0,0,0,0,0,0

