Block,Time,CHAMERA3,KHSTPP-I,KKNP,NLCEXP,NNTPP,PARBATI2,RAPPC,RSTPSU7,SIMHST1,TANDA2,CHAMERA2,NAPP,NTPL,RSTPSU1TO6,UNCHAHAR3,URI,DADRI_GF,KUDGI,NLCTS2EXP,SINGRAULI,ANTA_CRF,ANTA_LF,AURY_CRF,AURY_RF,DADRI_LF,CHAMERA1,DADRT2,JHAJJAR,NJPC,RIHAND1,RIHAND3,SINGRAULI_HYDRO,UNCHAHAR1,UNCHAHAR4,AURY_GF,DADRI_CRF,KGSU1AND2,KOLDAM,NLCIIST2,SEWA2,TANAKPUR,TelanganaSTPP,UNCHAHAR2,DHAULIGNGA,FSTPP I & II,KGSU3AND4,KHSTPP-II,KOTESHWR,SASAN,SIMHST2,TALA,URI2,ANTA_GF,AURY_LF,BRBCL,BSIUL,DULHASTI,KKNPPU2,PARBATI3,RIHAND2,TALST2,TEHRI,KISHANGANGA,MAPS,NLCIIST1,RAMPUR,RAPPB,RAPPD,SALAL,VALLURNTECL,ANTA_RF,DADRI_RF
1,00:00-00:15,35.03,45.53,0,0,0,13.52,69.07,0,0,5.7,48.81,25.77,0,0,27.68,49.68,0,0,0,150.34,0,0,0,70,0,42.15,688.62,448.67,75.04,97.23,130.79,0.98,21.64,2.3,0,0,0,0,0,18.9,6.27,0,44.5,10.95,18.2,0,148.3,10.43,418.77,0,0,38.56,0,0,15,19.56,59.5,0,16.88,124.58,0,12.12,8.63,0,0,2.98,0,30,79.38,0,51.17,109.34

2,00:15-00:30,35.03,45.53,0,0,0,13.52,69.07,0,0,5.7,48.81,25.77,0,0,27.68,49.68,0,0,0,150.34,0,0,0,70,0,42.15,688.62,448.67,75.04,97.23,130.79,0.98,21.64,2.3,0,0,0,0,0,18.9,6.27,0,44.5,10.95,18.2,0,148.3,10.43,418.77,0,0,38.56,0,0,15,19.56,59.5,0,16.88,124.58,0,12.12,8.63,0,0,2.98,0,30,79.38,0,51.17,109.34

3,00:30-00:45,35.03,45.53,0,0,0,13.52,69.07,0,0,5.7,48.81,25.77,0,0,27.68,50.23,0,0,0,150.34,0,0,0,70,0,42.15,688.62,448.67,75.04,97.23,130.79,0.98,21.64,2.3,0,0,0,0,0,18.9,6.27,0,44.5,10.95,18.2,0,148.3,10.43,418.77,0,0,38.56,0,0,15,19.56,59.5,0,16.88,124.58,0,12.12,8.63,0,0,2.98,0,30,79.38,0,51.17,109.34

4,00:45-01:00,35.03,45.53,0,0,0,13.52,69.07,0,0,5.7,48.81,25.77,0,0,27.68,52.36,0,0,0,150.34,0,0,0,70,0,42.15,688.62,448.67,75.04,97.23,130.79,0.98,21.64,2.3,0,0,0,0,0,18.9,6.27,0,44.5,10.95,18.2,0,148.3,10.43,418.77,0,0,38.56,0,0,15,19.56,59.5,0,16.88,124.58,0,0,8.63,0,0,2.98,0,30,79.38,0,51.17,109.34

5,01:00-01:15,35.03,45.53,0,0,0,13.52,69.07,0,0,5.7,48.81,25.77,0,0,27.68,52.36,0,0,0,150.34,0,0,0,70,0,42.15,688.62,448.67,75.04,97.23,130.79,0.98,21.64,2.3,0,0,0,0,0,18.9,6.27,0,44.5,10.95,18.2,0,148.3,10.43,418.77,0,0,35.34,0,0,15,19.56,59.5,0,16.88,124.58,0,0,8.63,0,0,2.98,0,30,79.38,0,51.17,109.34

6,01:15-01:30,35.03,45.53,0,0,0,13.52,69.07,0,0,5.7,48.81,25.77,0,0,27.68,52.36,0,0,0,150.34,0,0,0,70,0,42.15,688.62,448.67,75.04,97.23,130.79,0.98,21.64,2.3,0,0,0,0,0,18.9,6.27,0,44.5,10.95,18.2,0,148.3,10.43,418.77,0,0,35.34,0,0,15,19.56,59.5,0,16.88,124.58,0,0,8.63,0,0,2.98,0,30,79.38,0,51.17,109.34

7,01:30-01:45,35.03,45.53,0,0,0,13.52,69.07,0,0,5.7,48.81,25.77,0,0,27.68,52.36,0,0,0,150.34,0,0,0,76.74000000000001,0,42.15,688.62,448.67,75.04,97.23,130.79,0.98,21.64,2.3,0,0,0,0,0,18.9,0.51,0,44.5,10.95,18.2,0,148.3,10.43,418.77,0,0,35.34,0,0,15,19.56,59.5,0,16.88,124.58,0,0,8.63,0,0,2.98,0,30,40.09,0,51.17,109.34

8,01:45-02:00,35.03,45.53,0,0,0,13.52,69.07,0,0,5.7,48.81,25.77,0,0,27.68,52.36,0,0,0,150.34,0,0,0,76.74000000000001,0,42.15,688.62,448.67,75.04,97.23,130.79,0.98,21.64,2.3,0,0,0,0,0,18.9,0.51,0,44.5,10.95,18.2,0,148.3,10.43,418.77,0,0,35.34,0,0,15,19.56,59.5,0,16.88,124.58,0,0,8.63,0,0,2.98,0,30,40.09,0,51.17,109.34

9,02:00-02:15,35.03,45.53,0,0,0,13.52,69.07,0,0,5.7,48.81,25.77,0,0,27.68,52.36,0,0,0,150.34,0,0,0,76.74000000000001,0,42.15,688.62,448.67,75.04,97.23,130.79,0.98,21.64,2.3,0,0,0,0,0,18.9,0.51,0,44.5,10.95,18.2,0,148.3,10.43,418.77,0,0,35.34,0,0,15,19.56,59.5,0,16.88,124.58,0,0,8.63,0,0,2.98,0,30,40.09,0,51.17,109.34

