Block,Time Block,BRBCL,CHAMERA1,BSIUL,KGSU3AND4,KHSTPP-I,NNTPP,NTPL,PARBATI2,NLCIIST1,PARBATI3,NLCIIST2,NLCTS2EXP,KUDGI,KOTESHWR,KKNP,KISHANGANGA,KKNPPU2,KOLDAM,MAPS,NLCEXP,NJPC,NAPP,KHSTPP-II,JHAJJAR,KGSU1AND2,TEHRIPSP,TALST2,TANAKPUR,SINGRAULI_HYDRO,TALA,TEHRI,SINGRAULI,TANDA2,CHAMERA2,DADRT2,CHAMERA3,FSTPP I & II,DHAULIGNGA,DULHASTI,SIMHST1,SEWA2,SIMHST2,URI2,URI,UNCHAHAR4,VALLURNTECL,DADRI_RF,ANTA_GF,AURY_CRF,ANTA_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,RSTPSU1TO6,RAPPD,RSTPSU7,RIHAND3,RAMPUR,RAPPC,SASAN,RIHAND2,RIHAND1,RAPPB,SALAL,UNCHAHAR3,UNCHAHAR2,UNCHAHAR1,TelanganaSTPP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,14.29,40.73,12.6,0,44,0,0,0,0,0,0,0,0,10.09,0,8.42,0,10.29,0,0,175.07,24.57,143.32,245.42,0,60.29,0,11.76,1.09,21.19,43.53,150.35,6.17,47.26,571,33.91,20.1,42.38,38.4,0,18.29,0,31.1,50.6,2.31,0,35.76,0,0,0,38.66,0,19.33,0,0,0,0,0,0,25.26,0,127.92,6.8,66.09,337.25,121.91,90.17,0,82.54,27.05,43.29,21.1,0,0,0,0,0,0

2,00:15-00:30,11.82,40.73,12.6,0,44,0,0,0,0,0,0,0,0,10.09,0,8.42,0,10.29,0,0,175.07,24.57,143.32,245.45,0,60.29,0,11.76,1.09,21.19,43.53,150.35,6.17,47.26,571,33.91,20.1,42.38,19.2,0,18.29,0,31.1,50.6,2.31,0,14.5,0,0,0,14.5,0,0.22,0,0,0,0,0,0,25.26,0,127.92,6.8,66.09,337.25,121.91,90.17,0,82.54,27.05,43.09,21.1,0,0,0,0,0,0

3,00:30-00:45,11.87,40.73,12.6,0,44,0,0,0,0,0,0,0,0,10.09,0,8.42,0,10.29,0,0,175.07,24.57,143.32,245.45,0,60.29,0,12.38,1.09,21.19,43.53,150.35,6.17,47.26,571,33.91,20.1,42.38,0,0,18.29,0,31.1,50.6,2.31,0,0.07,0,0,0,0.03,0,0,0,0,0,0,0,0,25.26,0,127.92,6.8,66.09,337.25,121.91,90.17,0,82.54,27.05,43.09,21.1,0,0,0,0,0,0

4,00:45-01:00,12.65,40.73,12.6,0,44,0,0,0,0,0,0,0,0,10.09,0,8.42,0,10.29,0,0,175.07,24.57,143.32,216.45,0,60.29,0,12.38,1.09,21.19,43.53,150.35,6.17,47.26,519.75,33.91,20.1,42.38,0,0,18.29,0,31.1,50.6,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.26,0,127.92,6.8,66.09,337.25,121.91,90.17,0,82.54,27.05,43.09,21.1,0,0,0,0,0,0

5,01:00-01:15,10.19,40.73,12.6,0,44,0,0,0,0,0,0,0,0,10.09,0,8.42,0,10.29,0,0,175.07,24.57,143.32,214.52,0,60.29,0,12.38,1.09,21.34,43.53,150.35,6.17,47.26,510.09,33.91,20.1,42.38,0,0,18.29,0,38.88,35.21,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.26,0,127.92,6.8,66.09,337.25,121.91,90.17,0,82.54,27.05,43.09,21.1,0,0,0,0,0,0

6,01:15-01:30,10.04,40.73,12.6,0,44,0,0,0,0,0,0,0,0,10.09,0,8.42,0,10.29,0,0,175.07,24.57,143.32,214.52,0,60.29,0,12.38,1.09,21.34,43.53,150.35,6.17,47.26,500.42,33.91,20.1,42.38,0,0,18.29,0,38.88,35.21,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.26,0,127.92,6.8,66.09,337.25,121.91,90.17,0,82.54,27.05,43.09,21.1,0,0,0,0,0,0

7,01:30-01:45,10.07,40.73,12.6,0,44,0,0,0,0,0,0,0,0,10.09,0,8.42,0,10.29,0,0,175.07,24.57,143.32,214.52,0,60.29,0,12.38,1.09,21.34,43.53,150.35,6.17,47.26,489.79,33.91,20.1,42.38,0,0,18.29,0,38.88,37.34,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.26,0,127.92,6.8,66.09,337.25,121.91,90.17,0,82.54,27.05,43.09,21.1,0,0,0,0,0,0

8,01:45-02:00,11.17,40.73,12.6,0,44,0,0,0,0,0,0,0,0,10.09,0,8.42,0,10.29,0,0,175.07,24.57,143.32,185.53,0,60.29,0,12.38,1.09,21.34,43.53,150.35,6.17,47.26,489.79,33.91,20.1,42.38,0,0,18.29,0,38.88,37.34,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.26,0,127.92,6.8,66.09,337.25,121.91,90.17,0,82.54,27.05,43.09,21.1,0,0,0,0,0,0

9,02:00-02:15,10.05,40.73,12.6,0,44,0,0,0,0,0,0,0,0,10.09,0,8.42,0,10.29,0,0,175.07,24.57,143.32,185.53,0,60.29,0,12.38,1.09,21.34,43.53,150.35,6.17,47.26,489.79,33.91,20.1,42.38,0,0,18.29,0,38.88,37.34,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.26,0,127.92,6.8,66.09,337.25,121.91,90.17,0,82.54,27.05,43.09,21.1,0,0,0,0,0,0

10,02:15-02:30,11.12,40.73,12.6,0,44,0,0,0,0,0,0,0,0,10.09,0,8.42,0,10.29,0,0,175.07,24.57,143.32,172,0,60.29,0,12.38,1.09,21.34,43.53,150.35,6.17,47.26,489.79,33.91,20.1,42.38,0,0,18.29,0,38.88,37.34,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.26,0,127.92,6.8,66.09,337.25,121.91,90.17,0,82.54,27.05,43.09,21.1,0,0,0,0,0,0

11,02:30-02:45,11.32,40.73,12.6,0,44,0,0,0,0,0,0,0,0,10.09,0,8.42,0,10.29,0,0,175.07,24.57,143.32,162.34,0,60.29,0,12.38,1.09,21.34,43.53,150.35,6.17,47.26,447.27,33.91,20.1,42.38,0,0,18.29,0,27.99,37.34,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.26,0,127.92,6.8,66.09,337.25,121.91,90.17,0,82.54,27.05,43.09,21.1,0,0,0,0,0,0

12,02:45-03:00,12.69,40.73,12.6,0,44,0,0,0,0,0,0,0,0,10.09,0,8.42,0,10.29,0,0,175.07,24.57,143.32,130.44,0,60.29,0,12.38,1.09,21.34,43.53,150.35,6.17,47.26,447.27,33.91,20.1,42.38,0,0,18.29,0,27.99,37.34,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.26,0,127.92,6.8,66.09,337.25,121.91,90.17,0,82.54,23.44,37.41,18.55,0,0,0,0,0,0

13,03:00-03:15,15.08,40.73,19.13,0,44,0,0,0,0,0,0,0,0,10.09,0,8.42,0,10.29,0,0,175.07,24.57,143.32,162.34,0,0,0,12.38,1.09,29.44,43.53,150.35,6.1,47.26,447.27,33.91,20.1,42.38,0,0,18.29,0,31.1,37.34,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.26,0,127.92,6.8,66.09,337.25,121.91,90.17,0,79.17,27.05,43.09,21.1,0,0,0,0,0,0

14,03:15-03:30,15.79,40.73,19.13,0,44,0,0,0,0,0,0,0,0,10.09,0,8.42,0,10.29,0,0,175.07,24.57,143.32,162.34,0,0,0,12.38,1.09,29.44,43.53,150.35,6.17,47.26,447.27,33.91,20.1,42.38,0,0,18.29,0,31.1,37.34,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.26,0,127.92,6.8,66.09,337.25,121.91,90.17,0,79.17,27.05,43.58,21.1,0,0,0,0,0,0

15,03:30-03:45,17.37,40.73,19.13,0,44,0,0,0,0,0,0,0,0,10.09,0,8.42,0,10.29,0,0,175.07,24.57,143.32,162.34,0,0,0,11.51,1.09,29.44,43.53,150.35,6.17,47.26,393.92,33.91,20.1,42.38,0,0,18.29,0,31.1,35.21,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.26,0,127.92,6.8,66.09,337.25,121.91,90.17,0,79.17,27.05,43.58,21.1,0,0,0,0,0,0

16,03:45-04:00,17.36,40.73,6.3,0,44,0,0,0,0,0,0,0,0,10.09,0,8.42,0,10.29,0,0,175.07,24.57,143.32,162.34,0,0,0,11.51,1.09,29.44,43.53,150.35,6.17,47.26,335.94,33.91,20.1,42.38,0,0,18.29,0,31.1,35.21,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.26,0,127.92,6.8,66.09,337.25,121.91,90.17,0,79.17,23.4,37.86,17.87,0,0,0,0,0,0

