Column1,Block,NR/2024/23384/A/40390,NR/2024/23389/A/40413,NR/2024/23638/C,NR/2024/23383/A/40409,NR/2024/23510/A/40407,NR/2024/23382/A/40549,NR/2024/23414/A/40389,NR/2024/23446/A/40548,NR/2024/23641/C,NR/2024/23356/A/40414,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/9582,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/11/8945,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/11/8869,GNA/NR/2024/10/01/6101,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,Total
,,IEXL,SJVNL,TPDDL,ITCLH,DIAPL,NVVNL,IEXL,NVVNL,NVVNL,SJVNL,NDMC,NDMC,DELHI,NDMC,HPXL,NDMC,HPXL,NDMC,PUNJAB,BAWANA_GAS,
,,KARNATAKA_STATE,NA,NA,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,NA,KARNATAKA_STATE,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,
,,NSLSUGAR,RSRPL_BKN,JHAJJAR,ITCWIND,GBHHPL,JITPL,NSLSUGAR,JITPL,SOLAPUR_SOLAR,TPSL_BKN2,RKM_POWER,SKS_Raigarh,CHANJUII,RKM_POWER,APL_Raipur_TPP,TRN_ENERGY,JITPL,JPL2,BAWANA_GAS,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,
,,MES_Delhi,NDMC,TPDDL,ITCLH,DIAPL,NDMC,MES_Delhi,NDMC,MES_Delhi,NDMC,NDMC,NDMC,TPDDL,NDMC,BRPL,NDMC,BRPL,NDMC,PUNJAB,HARYANA,
,,South-West-North,North-North,North-North,South-West-North,North-North,East-North,South-West-North,East-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,East-North,West-North,North-North,North-North,
16,03:45-04:00,6.79,0,194.02,0.44,2.91,24.99,0,0,0,0,37.47,12.49,6.21,37.47,0,12.49,145.52,37.47,26.91,26.91,572.0899999999999

17,04:00-04:15,6.79,0,194.02,0.44,2.91,24.99,0,0,0,0,37.47,12.49,6.21,37.47,0,12.49,145.52,37.47,26.91,26.91,572.0899999999999

18,04:15-04:30,6.79,0,194.02,0.44,2.91,24.99,0,0,0,0,37.47,12.49,6.21,37.47,0,12.49,145.52,37.47,26.91,26.91,572.0899999999999

19,04:30-04:45,6.79,0,194.02,0.44,2.91,24.99,0,0,0,0,37.47,12.49,6.21,37.47,0,12.49,145.52,37.47,26.91,26.91,572.0899999999999

20,04:45-05:00,6.79,0,194.02,0.44,2.91,24.99,0,0,0,0,37.47,12.49,6.21,37.47,0,12.49,145.52,37.47,26.91,26.91,572.0899999999999

21,05:00-05:15,6.79,0,194.02,0.49,2.91,24.99,0,0,0,0,37.47,12.49,6.21,37.47,0,12.49,145.52,37.47,26.91,26.91,572.14

22,05:15-05:30,6.79,0,194.02,0.49,2.91,24.99,0,0,0,0,37.47,12.49,6.21,37.47,0,12.49,145.52,37.47,26.91,26.91,572.14

23,05:30-05:45,6.79,0,194.02,0.49,2.91,24.99,0,0,0,0,37.47,12.49,6.21,37.47,0,12.49,145.52,37.47,26.91,26.91,572.14

24,05:45-06:00,6.79,0,194.02,0.49,2.91,24.99,0,0,0,0,37.47,12.49,6.21,37.47,0,12.49,145.52,37.47,26.91,26.91,572.14

25,06:00-06:15,6.79,0,194.02,0.53,2.91,24.99,0,0,0,0,37.47,12.49,6.21,37.47,0,12.49,145.52,37.47,26.91,26.91,572.18

26,06:15-06:30,6.79,0,194.02,0.53,2.91,24.99,0,0,0,0,37.47,12.49,6.21,37.47,0,12.49,145.52,37.47,26.91,26.91,572.18

27,06:30-06:45,6.79,0,194.02,0.53,2.91,24.99,0,0,0,0,37.47,12.49,6.21,37.47,0,12.49,145.52,37.47,26.91,26.91,572.18

28,06:45-07:00,6.79,0,194.02,0.53,2.91,24.99,0,0,0.24,0,37.47,12.49,6.21,37.47,0,12.49,145.52,37.47,26.91,26.91,572.42

29,07:00-07:15,6.79,0,194.02,0.58,2.91,24.99,0,0,0.53,0,37.47,12.49,6.11,37.47,0,12.49,145.52,37.47,26.91,26.91,572.66

30,07:15-07:30,6.79,0,194.02,0.58,2.91,24.99,0,0,0.73,0,37.47,12.49,6.11,37.47,0,12.49,145.52,37.47,26.91,26.91,572.86

31,07:30-07:45,6.79,0,194.02,0.58,2.91,24.99,0,0,1.31,0,37.47,12.49,6.11,37.47,0,12.49,145.52,37.47,26.91,26.91,573.44

32,07:45-08:00,6.79,0,194.02,0.58,2.91,24.99,0,0,2.54,0,37.47,12.49,6.11,37.47,0,12.49,145.52,37.47,26.91,26.91,574.67

33,08:00-08:15,6.79,0,194.02,0.97,2.91,24.99,0,0,2.72,0,37.47,12.49,6.11,37.47,0,12.49,145.52,37.47,26.91,26.91,575.24

34,08:15-08:30,6.79,0,194.02,0.97,2.91,24.99,0,0,2.93,0,37.47,12.49,6.11,37.47,0,12.49,145.52,37.47,26.91,26.91,575.45

35,08:30-08:45,6.79,0,194.02,0.97,2.91,24.99,0,0,3.25,0,37.47,12.49,6.11,37.47,0,12.49,145.52,37.47,26.91,26.91,575.77

36,08:45-09:00,6.79,0,194.02,0.97,2.91,24.99,0,0,3.4,0,37.47,12.49,6.11,37.47,0,12.49,145.52,37.47,26.91,26.91,575.92

37,09:00-09:15,0,42.68,194.02,0.87,2.91,9.7,6.79,15.29,3.73,10.67,37.47,12.49,6.11,37.47,0,12.49,145.52,37.47,26.92,26.92,629.5200000000001

38,09:15-09:30,0,42.68,194.02,0.87,2.91,9.7,6.79,15.29,3.88,10.67,37.47,12.49,6.11,37.47,0,12.49,145.52,37.47,26.92,26.92,629.6700000000001

39,09:30-09:45,0,42.68,194.02,0.87,2.91,9.7,6.79,15.29,4.07,10.67,37.47,12.49,6.11,37.47,0,12.49,145.52,37.47,26.92,26.92,629.86

40,09:45-10:00,0,42.68,194.02,0.87,2.91,9.7,6.79,15.29,4.22,10.67,37.47,12.49,6.11,37.47,0,12.49,145.52,37.47,26.92,26.92,630.0100000000001

41,10:00-10:15,0,42.68,194.02,0.87,2.91,9.7,6.79,15.29,4.46,10.67,37.47,12.49,6.11,37.47,0,12.49,145.52,37.47,26.92,26.92,630.25

42,10:15-10:30,0,42.68,194.02,0.87,2.91,9.7,6.79,15.29,4.61,10.67,37.47,12.49,6.11,37.47,0,12.49,145.52,37.47,26.92,26.92,630.4000000000001

43,10:30-10:45,0,42.68,194.02,0.87,2.91,9.7,6.79,15.29,4.75,10.67,37.47,12.49,6.11,37.47,0,12.49,145.52,37.47,26.92,26.92,630.5400000000001

44,10:45-11:00,0,42.68,194.02,0.87,2.91,9.7,6.79,15.29,5.34,10.67,37.47,12.49,6.11,37.47,0,12.49,145.52,37.47,26.92,26.92,631.13

45,11:00-11:15,0,42.68,194.02,0.87,2.91,9.7,6.79,15.29,6.4,10.67,37.47,12.49,6.11,37.47,0,12.49,145.52,37.47,26.92,26.92,632.19

46,11:15-11:30,0,42.68,194.02,0.87,2.91,9.7,6.79,15.29,6.79,10.67,37.47,12.49,6.11,37.47,0,12.49,145.52,37.47,26.92,26.92,632.58

47,11:30-11:45,0,42.68,194.02,0.87,2.91,9.7,6.79,15.29,7.32,10.67,37.47,12.49,6.11,37.47,0,12.49,145.52,37.47,26.92,26.92,633.11

48,11:45-12:00,0,42.68,194.02,0.87,2.91,9.7,6.79,15.29,7.71,10.67,37.47,12.49,6.11,37.47,0,12.49,145.52,37.47,26.92,26.92,633.5

49,12:00-12:15,0,42.68,194.02,0.87,2.91,9.7,6.79,15.29,7.95,10.67,37.47,12.49,6.02,37.47,0,12.49,145.52,37.47,26.93,26.93,633.67

50,12:15-12:30,0,42.68,194.02,0.87,2.91,9.7,6.79,15.29,8.34,10.67,37.47,12.49,6.02,37.47,0,12.49,145.52,37.47,26.93,26.93,634.06

51,12:30-12:45,0,42.68,194.02,0.87,2.91,9.7,6.79,15.29,8.54,10.67,37.47,12.49,6.02,37.47,0,12.49,145.52,37.47,26.93,26.93,634.26

52,12:45-13:00,0,42.68,194.02,0.87,2.91,9.7,6.79,15.29,8.92,10.67,37.47,12.49,6.02,37.47,0,12.49,145.52,37.47,26.93,26.93,634.64

53,13:00-13:15,0,42.68,194.02,0.78,2.91,9.7,6.79,15.29,9.22,10.67,37.47,12.49,6.02,37.47,0,12.49,145.52,37.47,26.93,26.93,634.85

54,13:15-13:30,0,42.68,194.02,0.78,2.91,9.7,6.79,15.29,8.54,10.67,37.47,12.49,6.02,37.47,0,12.49,145.52,37.47,26.93,26.93,634.17

55,13:30-13:45,0,42.68,194.02,0.78,2.91,9.7,6.79,15.29,8.05,10.67,37.47,12.49,6.02,37.47,0,12.49,145.52,37.47,26.93,26.93,633.68

56,13:45-14:00,0,42.68,194.02,0.78,2.91,9.7,6.79,15.29,7.76,10.67,37.47,12.49,6.02,37.47,0,12.49,145.52,37.47,26.93,26.93,633.39

57,14:00-14:15,0,42.68,194.02,0.92,2.91,9.7,6.79,15.29,7.37,10.67,37.47,12.49,6.02,37.47,0,12.49,145.52,37.47,26.93,26.93,633.14

58,14:15-14:30,0,42.68,194.02,0.92,2.91,9.7,6.79,15.29,7.13,10.67,37.47,12.49,6.02,37.47,0,12.49,145.52,37.47,26.93,26.93,632.9

59,14:30-14:45,0,42.68,194.02,0.92,2.91,9.7,6.79,15.29,6.69,10.67,37.47,12.49,6.02,37.47,0,12.49,145.52,37.47,26.93,26.93,632.4599999999999

60,14:45-15:00,0,42.68,194.02,0.92,2.91,9.7,6.79,15.29,6.31,10.67,37.47,12.49,6.02,37.47,0,12.49,145.52,37.47,26.93,26.93,632.0799999999999

61,15:00-15:15,0,42.68,194.02,0.92,2.91,9.7,6.79,15.29,5.82,10.67,37.47,12.49,6.02,37.47,0,12.49,145.52,37.47,26.93,26.93,631.5899999999999

62,15:15-15:30,0,42.68,194.02,0.92,2.91,9.7,6.79,15.29,5.24,10.67,37.47,12.49,6.02,37.47,0,12.49,145.52,37.47,26.93,26.93,631.01

63,15:30-15:45,0,42.68,194.02,0.92,2.91,9.7,6.79,15.29,4.37,10.67,37.47,12.49,6.02,37.47,0,12.49,145.52,37.47,26.93,26.93,630.14

64,15:45-16:00,0,42.68,194.02,0.92,2.91,9.7,6.79,15.29,3.4,10.67,37.47,12.49,6.02,37.47,0,12.49,145.52,37.47,26.93,26.93,629.17

65,16:00-16:15,6.79,42.68,194.02,0.78,2.91,24.99,0,0,2.72,10.67,37.47,12.49,6.02,37.47,0,12.49,145.52,37.47,26.93,26.93,628.35

66,16:15-16:30,6.79,42.68,194.02,0.78,2.91,24.99,0,0,2.28,10.67,37.47,12.49,6.02,37.47,0,12.49,145.52,37.47,26.93,26.93,627.91

