Time,Block,NR/2024/18660/C,NR/2024/18661/C,NR/2024/18436/A/5103,NR/2024/18663/C,NR/2024/18388/A/5087,NER/2024/1934/A/5242,WR/2024/21351/A/5246,NER/2024/1922/A/5243,NR/2024/18662/C,NR/2024/18445/A/5261,WR/2024/21355/A/5260,Total
,,NVVNL,SJVNL,IEXL,SJVNL,ITCLH,APPCPL,APPCPL,APPCPL,SJVNL,MANIKARAN,MANIKARAN,Total

,,NA,UTTAR PRADESH,MAHARASHTRA,TELANGANA,ANDHRA PRADESH,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,
,,SOLAPUR_SOLAR,BCMLB001,A_A_Energy_MH_Bio,NSLKSLWPRTY,ITCWIND,BYPL,BRPL,BRPL,BCMLUH,BRPL,BRPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,NAGALAND,GOA,MANIPUR,DELHI,HIMACHAL PRADESH,GOA,
,,MES (Delhi),NDMC,MES (Delhi),NDMC,ITCLH,Nagaland_Ben,GOA_Beneficiary,Manipur_Ben,NDMC,HP,GOA_Beneficiary,
,,West-North,North-North,West-East-North,South-West-North,South-West-North,North-East-North East,North-West,North-East-North East,North-North,North-North,North-West,
1,00:00-00:15,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

2,00:15-00:30,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

3,00:30-00:45,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

4,00:45-01:00,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

5,01:00-01:15,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

6,01:15-01:30,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

7,01:30-01:45,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

8,01:45-02:00,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

9,02:00-02:15,0,0.000000,7.710000,0.000000,0.390000,20.000000,0.000000,25.000000,0.000000,0.000000,0.000000,53.1

