Column1,Time,NR/01102023/14082046/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),GNA/NR/2024/08/21/5232,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug'24,NR/30092023/26122029/SH-06,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01102023/31052040/LT-31,NR/30092023/31122025/SH-07,GNA/NR/2024/08/21/1351,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/jitpl,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/31082024/SKS-Raigarh,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023
1,00:00-00:15,0,0,0,0,0,0,0,0,10,30,0,0,0,9.01,10,34.33,0,12.66,34.33,0,0,0,6.39,262.19,106.88,0,96.57,32,48.28,0,32,0,21.25,86.19,100.61,0,0,11.8,24.68,30.78,12.44,96.57,38.63,5.29,0,273.05,24.14,0

2,00:15-00:30,0,0,0,0,0,0,0,0,10.17,30.5,0,0,0,9.01,10.16,34.67,0,12.66,34.67,0,0,0,6.39,227.5,98.38,0,96.57,32,48.28,0,32,0,21.25,75.65,100.61,0,0,11.8,24.68,30.78,12.44,96.57,38.63,5.29,0,273.05,24.14,0

3,00:30-00:45,0,0,0,0,0,0,0,0,10.5,31.5,0,0,0,8.61,10.5,35,0,12.66,35,0,0,0,6.39,227.5,89.86,0,96.57,32,48.28,0,14.5536,0,21.25,75.65,53.11,0,0,11.8,24.68,30.78,12.44,96.57,38.63,5.29,0,273.05,24.14,0

4,00:45-01:00,0,0,0,0,0,0,0,0,10.67,32,0,0,0,8.21,10.66,35.33,0,12.66,35.33,0,0,0,6.39,227.5,81.35,0,96.57,32,48.28,0,14.5536,0,21.25,75.65,53.11,0,0,11.8,24.68,30.78,12.44,96.57,38.63,5.29,0,273.05,24.14,0

5,01:00-01:15,0,0,0,0,0,0,0,0,12.5,37.5,0,0,0,7.81,12.5,42.33,0,12.34,42.33,0,0,0,6.39,227.5,72.83,0,96.57,32,48.28,0,14.5536,0,21.25,75.65,53.11,0,0,11.8,24.68,30.78,12.44,96.57,38.63,5.16,0,273.05,24.14,0

6,01:15-01:30,0,0,0,0,0,0,0,0,12.5,37.5,0,0,0,7.41,12.5,42.67,0,12.34,42.67,0,0,0,6.39,227.5,70.37,0,96.57,32,48.28,0,14.5536,0,21.25,75.65,53.11,0,0,11.8,24.68,30.78,12.44,96.57,38.63,5.16,0,273.05,24.14,0

7,01:30-01:45,0,0,0,0,0,0,0,0,12.5,37.5,0,0,0,7.01,12.5,42.67,0,12.34,42.67,0,0,0,6.39,227.5,70.37,0,96.57,26.3026,48.28,0,26.3026,0,21.25,75.65,53.11,0,0,11.8,24.68,30.78,12.44,96.57,38.63,5.16,0,273.05,24.14,0

8,01:45-02:00,0,0,0,0,0,0,0,0,12.5,37.5,0,0,0,7.01,12.5,42.33,0,12.34,42.33,0,0,0,6.39,227.5,70.37,0,96.57,26.3026,48.28,0,26.3026,0,21.25,57.65,53.11,0,0,11.8,24.68,30.78,12.44,96.57,38.63,5.16,0,273.05,24.14,0

9,02:00-02:15,0,0,0,0,0,0,0,0,12,36,0,0,0,7.01,12,42,0,12,42,0,0,0,6.39,200.52,70.37,0,96.57,26.8708,48.28,0,26.8708,0,21.25,57.65,53.11,0,0,12.72,24.68,30.78,12.44,96.57,38.63,4.83,0,273.05,24.14,0

10,02:15-02:30,0,0,0,0,0,0,0,0,11.83,35.5,0,0,0,7.01,11.84,42,0,11.66,42,0,0,0,6.39,171.55,70.37,0,96.57,26.8708,48.28,0,26.8708,0,21.25,57.65,53.11,0,0,12.72,24.68,30.78,12.44,96.57,38.63,4.83,0,273.05,24.14,0

11,02:30-02:45,0,0,0,0,0,0,0,0,11.67,35,0,0,0,7.01,11.66,38.67,0,12,38.67,0,0,0,6.39,171.55,70.37,0,96.57,26.8708,48.28,0,26.8708,0,21.25,57.65,53.11,0,0,12.72,24.68,30.78,12.44,96.57,38.63,4.83,0,273.05,24.14,0

12,02:45-03:00,0,0,0,0,0,0,0,0,11.5,34.5,0,0,0,7.01,11.5,37.67,0,11.66,37.67,0,0,0,6.39,171.55,70.37,0,96.57,26.8708,48.28,0,26.8708,0,21.25,57.65,53.11,0,0,12.72,24.68,30.78,12.44,96.57,38.63,4.83,0,231.77,24.14,0

13,03:00-03:15,0,0,0,0,0,0,0,0,11.17,33.5,0,0,0,7.01,11.16,36.67,0,11.34,36.67,0,0,0,6.39,171.55,70.37,0,96.57,26.8708,48.28,0,26.8708,0,21.25,57.65,53.11,0,0,12.72,24.68,30.78,12.44,96.57,0,4.65,0,231.77,24.14,0

14,03:15-03:30,0,0,0,0,0,0,0,0,10.83,32.5,0,0,0,7.01,10.84,36,0,11,36,0,0,0,6.39,171.55,70.37,0,96.57,26.8708,48.28,0,26.8708,0,21.25,57.65,53.11,0,0,12.72,24.68,30.78,12.44,96.57,0,4.65,0,193.14,24.14,0

15,03:30-03:45,0,0,0,0,0,0,0,0,10.5,31.5,0,0,0,7.01,10.5,35,0,10.66,35,0,0,0,6.39,171.55,70.37,0,96.57,26.8708,48.28,0,26.8708,0,21.25,57.65,53.11,0,0,12.72,24.68,30.78,12.44,96.57,0,4.65,0,193.14,24.14,0

16,03:45-04:00,0,0,0,0,0,0,0,0,10.17,30.5,0,0,0,7.01,10.16,34.67,0,10.34,34.67,0,0,0,6.39,171.55,70.37,0,96.57,26.8708,48.28,0,26.8708,0,21.25,57.65,53.11,0,0,12.72,24.68,30.78,12.44,96.57,0,4.65,0,193.14,24.14,0

17,04:00-04:15,0,0,0,0,0,0,0,0,9.83,29.5,0,0,0,7.01,9.84,34.67,0,10,34.67,0,0,0,6.39,171.55,70.37,0,96.57,26.8708,48.28,0,26.8708,0,21.25,57.65,53.11,0,0,16.87,24.68,30.78,12.44,96.57,0,4.5,0,150.18,24.14,0

18,04:15-04:30,0,0,0,0,0,0,0,0,9.5,28.5,0,0,0,7.01,9.5,34.33,0,9.66,34.33,0,0,0,6.39,171.55,70.37,0,96.57,26.8708,48.28,0,26.8708,0,21.25,57.65,53.11,0,0,16.87,24.68,30.78,12.44,96.57,0,4.5,0,150.18,24.14,0

19,04:30-04:45,0,0,0,0,0,0,0,0,9.17,27.5,0,0,0,7.01,9.16,27,0,9.34,27,0,0,0,6.39,171.55,70.37,0,96.57,26.8708,48.28,0,26.8708,0,21.25,57.65,53.11,0,0,16.87,24.68,30.78,12.44,96.57,0,4.18,0,150.18,24.14,0

20,04:45-05:00,0,0,0,0,0,0,0,0,8.83,26.5,0,0,0,7.01,8.84,25.67,0,9,25.67,0,0,0,6.39,171.55,70.37,0,96.57,26.8708,48.28,0,26.8708,0,21.25,57.65,53.11,0,0,16.87,24.68,30.78,12.44,96.57,0,4.18,0,150.18,24.14,0

21,05:00-05:15,0,0,0,0,0,0,0,0,8.5,25.5,0,0,0,7.01,8.5,24.33,0,7.66,24.33,0,0,0,6.39,171.55,70.37,0,96.57,26.8708,48.28,0,26.8708,0,21.25,57.65,77.26,0,0,16.87,24.68,30.78,12.44,96.57,0,4.18,0,150.18,24.14,0

