Time,Block,NR/2024/18445/A/4466,NR/2024/18388/A/4258,NR/2024/18436/A/4352,NR/2024/18572/C,NER/2024/1934/A/4446,WR/2024/21355/A/4467,NER/2024/1922/A/4447,WR/2024/21351/A/4450,Total
,,MANIKARAN,ITCLH,IEXL,NVVNL,APPCPL,MANIKARAN,APPCPL,APPCPL,Total

,,DELHI,ANDHRA PRADESH,MAHARASHTRA,NA,DELHI,DELHI,DELHI,DELHI,
,,BRPL,ITCWIND,A_A_Energy_MH_Bio,SOLAPUR_SOLAR,BYPL,BRPL,BRPL,BRPL,
,,HIMACHAL PRADESH,DELHI,DELHI,DELHI,NAGALAND,GOA,MANIPUR,GOA,
,,HP,ITCLH,MES (Delhi),MES (Delhi),Nagaland_Ben,GOA_Beneficiary,Manipur_Ben,GOA_Beneficiary,
,,North-North,South-West-North,West-East-North,West-North,North-East-North East,North-West,North-East-North East,North-West,
1,00:00-00:15,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

2,00:15-00:30,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

3,00:30-00:45,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

4,00:45-01:00,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

5,01:00-01:15,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

6,01:15-01:30,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

7,01:30-01:45,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

8,01:45-02:00,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

9,02:00-02:15,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

10,02:15-02:30,0.000000,0.380000,7.700000,0,20.000000,0.000000,25.000000,0.000000,53.08

