Time,Block,NR/2023/18062/A/1613,NR/2023/18145/C,NR/2023/17270/A,NR/2023/18074/A/1635,NR/2023/18149/C,NR/2023/18147/C,NR/2023/18105/A/1612,NR/2023/17525/A,NR/2023/18146/C,NER/2023/1730/C,WR/2023/19446/A,NR/2023/18148/C,WR/2023/20256/A/1702,WR/2023/20577/A/1709,Total
,,IEXL,TPDDL,GMRETL,ITCLH,SJVNL,SJVNL,IEXL,APPCPL,SJVNL,PXIL,MANIKARAN,SJVNL,MANIKARAN,APPCPL,Total

,,ANDHRA PRADESH,HIMACHAL PRADESH,DELHI,ANDHRA PRADESH,UTTAR PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,DELHI,NA,DELHI,DELHI,NA,DELHI,DELHI,
,,SNJSUGARLTDAP,CHANJUII,BYPL,ITCWIND,BCMLUH,BCMLB001,BSHP,BYPL,RSRPL_BKN,BYPL,BYPL,RSRPL_BKN,BRPL,BRPL,
,,DELHI,DELHI,RAJASTHAN,DELHI,DELHI,DELHI,DELHI,HIMACHAL PRADESH,DELHI,ARUNACHAL PRADESH,MAHARASHTRA,DELHI,GOA,GOA,
,,MES (Delhi),TPDDL,RUVNL,ITCLH,NDMC,NDMC,MES (Delhi),HP,NDMC,Arunachal_Ben,AEML,NDMC,GOA_Beneficiary,GOA_Beneficiary,
,,South-East-North,North-North,North-North,South-West-North,North-North,North-North,North-North,North-North,North-North,North-East-North East,North-West,North-North,North-West,North-West,
1,00:00-00:15,4.790000,2.110000,0.000000,0.430000,0.000000,0.000000,0.960000,25.490000,0,40.000000,75.000000,0,0.000000,0.000000,148.78

2,00:15-00:30,4.790000,2.110000,0.000000,0.430000,0.000000,0.000000,0.960000,25.490000,0,40.000000,75.000000,0,0.000000,0.000000,148.78

3,00:30-00:45,4.790000,2.110000,0.000000,0.430000,0.000000,0.000000,0.960000,25.490000,0,40.000000,75.000000,0,0.000000,0.000000,148.78

4,00:45-01:00,4.790000,2.110000,0.000000,0.430000,0.000000,0.000000,0.960000,25.490000,0,40.000000,75.000000,0,0.000000,0.000000,148.78

5,01:00-01:15,4.790000,2.110000,0.000000,0.380000,0.000000,0.000000,0.960000,25.490000,0,40.000000,75.000000,0,0.000000,0.000000,148.73

6,01:15-01:30,4.790000,2.110000,0.000000,0.380000,0.000000,0.000000,0.960000,25.490000,0,40.000000,75.000000,0,0.000000,0.000000,148.73

7,01:30-01:45,4.790000,2.110000,0.000000,0.380000,0.000000,0.000000,0.960000,25.490000,0,40.000000,75.000000,0,0.000000,0.000000,148.73

8,01:45-02:00,4.790000,2.110000,0.000000,0.380000,0.000000,0.000000,0.960000,25.490000,0,40.000000,75.000000,0,0.000000,0.000000,148.73

9,02:00-02:15,4.790000,2.110000,0.000000,0.340000,0.000000,0.000000,0.960000,25.490000,0,40.000000,75.000000,0,0.000000,0.000000,148.69

10,02:15-02:30,4.790000,2.110000,0.000000,0.340000,0.000000,0.000000,0.960000,25.490000,0,40.000000,75.000000,0,0.000000,0.000000,148.69

11,02:30-02:45,4.790000,2.110000,0.000000,0.340000,0.000000,0.000000,0.960000,25.490000,0,40.000000,75.000000,0,0.000000,0.000000,148.69

12,02:45-03:00,4.790000,2.110000,0.000000,0.340000,0.000000,0.000000,0.960000,25.490000,0,40.000000,75.000000,0,0.000000,0.000000,148.69

13,03:00-03:15,4.790000,2.110000,0.000000,0.340000,0.000000,0.000000,0.960000,25.490000,0,40.000000,75.000000,0,0.000000,0.000000,148.69

14,03:15-03:30,4.790000,2.110000,0.000000,0.340000,0.000000,0.000000,0.960000,25.490000,0,40.000000,75.000000,0,0.000000,0.000000,148.69

15,03:30-03:45,4.790000,2.110000,0.000000,0.340000,0.000000,0.000000,0.960000,25.490000,0,40.000000,75.000000,0,0.000000,0.000000,148.69

16,03:45-04:00,4.790000,2.110000,0.000000,0.340000,0.000000,0.000000,0.960000,25.490000,0,40.000000,75.000000,0,0.000000,0.000000,148.69

17,04:00-04:15,4.790000,2.200000,0.000000,0.380000,0.000000,0.000000,0.960000,25.490000,0,40.000000,75.000000,0,0.000000,0.000000,148.82

18,04:15-04:30,4.790000,2.200000,0.000000,0.380000,0.000000,0.000000,0.960000,25.490000,0,40.000000,75.000000,0,0.000000,0.000000,148.82

19,04:30-04:45,4.790000,2.200000,0.000000,0.380000,0.000000,0.000000,0.960000,25.490000,0,40.000000,75.000000,0,0.000000,0.000000,148.82

20,04:45-05:00,4.790000,2.200000,0.000000,0.380000,0.000000,0.000000,0.960000,25.490000,0,40.000000,75.000000,0,0.000000,0.000000,148.82

21,05:00-05:15,4.790000,2.200000,0.000000,0.380000,0.000000,0.000000,0.960000,25.490000,0,0.000000,75.000000,0,0.000000,0.000000,108.82

22,05:15-05:30,4.790000,2.200000,0.000000,0.380000,0.000000,0.000000,0.960000,25.490000,0,0.000000,75.000000,0,0.000000,0.000000,108.82

23,05:30-05:45,4.790000,2.200000,0.000000,0.380000,0.000000,0.000000,0.960000,25.490000,0,0.000000,75.000000,0,0.000000,0.000000,108.82

24,05:45-06:00,4.790000,2.200000,0.000000,0.380000,0.000000,0.000000,0.960000,25.490000,0,0.000000,75.000000,0,0.000000,0.000000,108.82

25,06:00-06:15,4.790000,2.110000,100.000000,0.380000,0.000000,0.000000,0.960000,0.000000,0,0.000000,75.000000,0,0.000000,0.000000,183.24

26,06:15-06:30,4.790000,2.110000,100.000000,0.380000,0.000000,0.000000,0.960000,0.000000,0,0.000000,75.000000,0,0.000000,0.000000,183.24

27,06:30-06:45,4.790000,2.110000,100.000000,0.380000,0.000000,0.000000,0.960000,0.000000,0,0.000000,75.000000,0,0.000000,0.000000,183.24

28,06:45-07:00,4.790000,2.110000,100.000000,0.380000,0.000000,0.000000,0.960000,0.000000,0,0.000000,75.000000,0,0.000000,0.000000,183.24

29,07:00-07:15,4.790000,2.110000,100.000000,0.530000,0.000000,0.000000,0.960000,0.000000,0,0.000000,75.000000,0,0.000000,0.000000,183.39

30,07:15-07:30,4.790000,2.110000,100.000000,0.530000,0.000000,0.000000,0.960000,0.000000,0,0.000000,75.000000,0,0.000000,0.000000,183.39

31,07:30-07:45,4.790000,2.110000,100.000000,0.530000,0.000000,0.000000,0.960000,0.000000,0,0.000000,75.000000,0,0.000000,0.000000,183.39

32,07:45:08:00,4.790000,2.110000,100.000000,0.530000,0.000000,0.000000,0.960000,0.000000,0,0.000000,75.000000,0,0.000000,0.000000,183.39

33,08:00-08:15,4.790000,2.110000,50.000000,0.770000,0.000000,0.000000,0.960000,0.000000,0,0.000000,75.000000,0,0.000000,0.000000,133.63

34,08:15-08:30,4.790000,2.110000,50.000000,0.770000,0.000000,0.000000,0.960000,0.000000,0,0.000000,75.000000,0,0.000000,0.000000,133.63

35,08:30-08:45,4.790000,2.110000,50.000000,0.770000,0.000000,0.000000,0.960000,0.000000,0,0.000000,75.000000,0,0.000000,0.000000,133.63

36,08:45:09:00,4.790000,2.110000,50.000000,0.770000,0.000000,0.000000,0.960000,0.000000,0,0.000000,75.000000,0,0.000000,0.000000,133.63

37,09:00:09:15,4.790000,2.110000,50.000000,0.770000,11.490000,8.140000,0.960000,0.000000,15.8,0.000000,75.000000,17.24,0.000000,0.000000,186.3

38,09:15-09:30,4.790000,2.110000,50.000000,0.770000,11.490000,8.140000,0.960000,0.000000,15.8,0.000000,75.000000,17.24,0.000000,0.000000,186.3

39,09:30-09:45,4.790000,2.110000,50.000000,0.770000,11.490000,8.140000,0.960000,0.000000,15.8,0.000000,75.000000,17.24,0.000000,0.000000,186.3

40,09:45-10:00,4.790000,2.110000,50.000000,0.770000,11.490000,8.140000,0.960000,0.000000,15.8,0.000000,75.000000,17.24,0.000000,0.000000,186.3

41,10:00-10:15,4.790000,2.200000,50.000000,0.770000,11.490000,8.140000,0.960000,0.000000,15.8,0.000000,75.000000,17.24,0.000000,0.000000,186.39

42,10:15-10:30,4.790000,2.200000,50.000000,0.770000,11.490000,8.140000,0.960000,0.000000,15.8,0.000000,75.000000,17.24,0.000000,0.000000,186.39

43,10:30-10:45,4.790000,2.200000,50.000000,0.770000,11.490000,8.140000,0.960000,0.000000,15.8,0.000000,75.000000,17.24,0.000000,0.000000,186.39

44,10:45-11:00,4.790000,2.200000,50.000000,0.770000,11.490000,8.140000,0.960000,0.000000,15.8,0.000000,75.000000,17.24,0.000000,0.000000,186.39

45,11:00-11:15,4.790000,2.200000,100.000000,0.770000,11.490000,8.140000,0.960000,0.000000,15.8,0.000000,75.000000,17.24,0.000000,0.000000,236.39

46,11:15-11:30,4.790000,2.200000,100.000000,0.770000,11.490000,8.140000,0.960000,0.000000,15.8,0.000000,75.000000,17.24,0.000000,0.000000,236.39

47,11:30-11:45,4.790000,2.200000,100.000000,0.770000,11.490000,8.140000,0.960000,0.000000,15.8,0.000000,75.000000,17.24,0.000000,0.000000,236.39

48,11:45-12:00,4.790000,2.200000,100.000000,0.770000,11.490000,8.140000,0.960000,0.000000,15.8,0.000000,75.000000,17.24,0.000000,0.000000,236.39

49,12:00-12:15,4.790000,2.110000,100.000000,0.770000,11.490000,8.140000,0.960000,0.000000,15.8,0.000000,75.000000,17.24,0.000000,0.000000,236.3

50,12:15-12:30,4.790000,2.110000,100.000000,0.770000,11.490000,8.140000,0.960000,0.000000,15.8,0.000000,75.000000,17.24,0.000000,0.000000,236.3

51,12:30-12:45,4.790000,2.110000,100.000000,0.770000,11.490000,8.140000,0.960000,0.000000,15.8,0.000000,75.000000,17.24,0.000000,0.000000,236.3

52,12:45-13:00,4.790000,2.110000,100.000000,0.770000,11.490000,8.140000,0.960000,0.000000,15.8,0.000000,75.000000,17.24,0.000000,0.000000,236.3

