Column1,Block,NR/2025/32599/A/99156,NR/2025/32535/A/99502,NR/2025/32535/A/99501,NR/2025/32532/A/99496,NR/2025/32532/A/99498,NR/2025/32534/A/99499,NR/2025/33637/A/99473,NR/2025/33632/A/99476,NR/2025/32534/A/99500,NR/2025/33633/A/99475,GNARE/NR/2024/12/20/3668,NR/2025/34222/C,GNA/NR/2025/08/01/4452,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/6187,NR/30092023/31122025/SH-07,NR/2025/34236/C,NR/2025/34237/C,NR/2025/34173/C,NR/2025/34239/C,GNA/NR/2025/08/01/1196,NR/2025/34219/C,NR/2025/34174/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/33469/A/99131,NR/2025/32556/A/99413,NR/2025/33670/A/99539,NR/2025/32397/A/99061,NR/2025/32455/A/99520,NR/2025/34215/C,NR/2025/34216/C,NR/2025/29440/A/99032,NR/2025/32559/A/99412,NR/2025/31421/A/99582,NR/2025/31045/A/99447,NR/2025/32610/A/99411,NR/2025/31043/A/99446,NR/2025/32375/A/99579,NR/2025/34191/C,NR/2025/31049/A/99450,NR/2025/32004/A/99416,NR/2025/31048/A/99448,NR/2025/34175/C,NR/2025/29992/A/99396,NR/2025/33656/A/99451,NR/2025/32262/A/99068,NR/2025/34211/C,Total
,,BRPL,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,GMRETL,GMRETL,OIDLWM2_AEROCITY,GMRETL,SECI_Trader,MES_Delhi,APPCPL,PUNJAB,PowerPulse,NDMC,MANIKARAN,NDMC,MANIKARAN,MANIKARAN,MANIKARAN,NVVNL,NDMC,BAWANA_GAS,NVVNL,NVVNL,PowerPulse,NVVNL,APPCPL,APPCPL,PowerPulse,DELHI,DIAPL,APPCPL,PTC,IEXL,MANIKARAN,APPCPL,APPCPL,ITCLH,APPCPL,NVVNL,PowerPulse,APPCPL,PowerPulse,NVVNL,PTC,PowerPulse,APPCPL,PowerPulse,PowerPulse,BYPL,PowerPulse,TPTCL,APPCPL,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOA_State,DELHI_UT,MSEB_State,NA,MSEB_State,NA,NA,MP_State,NA,NA,NA,DELHI_UT,NA,MP_State,NA,NA,GOA_State,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,NA,GoHP_NJPC_STATE,MSEB_State,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,MP_State,GoHP_NJPC_STATE,NA,MSEB_State,NA,NA,KERALA_State,NA,MSEB_State,MSEB_State,
,,TS1PL_BKN,TCSPL_BKN2,TESPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TESPL_BKN2,JGCPL_BKN2,JGCPL_BKN2,TCSPL_BKN2,JGCPL_BKN2,APSEPL_FTG,NTPCREL_PSS2_KPS2_S,GOA_Beneficiary,BAWANA_GAS,Vidarbha_Industry_MH,SKS_Raigarh,AEML,TRN_ENERGY,DBPL,BLAPOWER_MP,MBMP,JHABUA_IPP,JIPL,BAWANA_GAS,JPNIGRIE_JNSTPP,JP_BINA,APL_Raipur_TPP,Kameng,GOA_Beneficiary,RKM_POWER,MAHAN_ENERGEN,CHANJUII,GBHHPL,JPL2,GoHP_NJPC,A_A_Energy_MH_Bio,MBMP,RKM_POWER,JPL2,ITCWIND,RKM_POWER,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,RKM_POWER,MAHAN_ENERGEN,JP_BINA,GoHP_NJPC,APL_Raigarh_TPP,AEML,APL_Raigarh_TPP,APL_Raigarh_TPP,KSEB,APL_Raipur_TPP,TPC_MSEB,AEML,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,BLKMH,MAX_HPTL,OIDLWM2_AEROCITY,DTCP,TPDDL,MES_Delhi,BRPL,PUNJAB,BRPL,NDMC,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,NDMC,HARYANA,TPDDL,TPDDL,BRPL,TPDDL,BRPL,NDMC,TPDDL,TPDDL,DIAPL,NDMC,BRPL,MES_Delhi,BRPL,NDMC,NDMC,ITCLH,NDMC,TPDDL,TPDDL,NDMC,TPDDL,TPDDL,BRPL,TPDDL,BYPL,TPDDL,TPDDL,BYPL,BRPL,BYPL,BYPL,
,,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,East-North,North-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,West-North,North-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,11.36,12.55,24.13,82.05,8.69,48.26,0,0,0.87,24.13,48.26,0,24.13,96.53,48.26,14.48,0,106.18,96.53,0,44.4,164.1,54.3,0,1486.2499999999998

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,96.53,14.62,20.83,14.62,48.26,24.13,48.26,24.13,29.03,0,0,0,28.96,193.06,19.31,0,0,11.36,12.55,24.13,82.05,8.69,48.26,0,0,0.87,24.13,48.26,0,24.13,96.53,48.26,14.48,0,106.18,96.53,0,44.4,164.1,54.3,0,1486.2499999999998

