Block,Time,AURY_LF,TANDA2,SINGRAULI_HYDRO,AURY_RF,NAPP,TEHRI,RAPPC,DADRI_CRF,DADRI_GF,KOLDAM,RIHAND1,RIHAND2,SALAL,CHAMERA3,PARBATI3,SEWA2,RAMPUR,DULHASTI,ANTA_GF,CHAMERA1,URI,TANAKPUR,CHAMERA2,KOTESHWR,ANTA_LF,AURY_CRF,RAPPB,ANTA_CRF,URI2,ANTA_RF,UNCHAHAR3,KISHANGANGA,JHAJJAR,UNCHAHAR4,DHAULIGNGA,NJPC,UNCHAHAR2,UNCHAHAR1,RIHAND3,DADRI_RF,SINGRAULI,BSIUL,DADRT2,AURY_GF,DADRI_LF,KHSTPP-II,KHSTPP-I,BRBCL,FSTPP I & II,TALA,SASAN,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,1.036249,18.853644,37.397366,43.876728,49.713900,0.000000,0.000000,0.000000,88.991600,114.262312,83.176192,28.112454,0.000000,0.000000,0.000000,47.819981,0.000000,40.769838,46.987565,12.886758,38.218139,8.583820,0.000000,0.000000,0.000000,0.000000,31.749572,0.000000,24.045143,0.000000,421.196276,0.000000,35.395151,147.939346,3.247226,16.569849,119.621759,71.942064,134.754563,6.277777,664.322252,0.000000,0.000000,142.691864,34.664225,19.269885,13.414851,25.594758,402.517712,135.16,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,1.036249,18.853644,37.397366,43.876728,49.713900,0.000000,0.000000,0.000000,88.991600,114.262312,83.176192,28.112454,0.000000,0.000000,0.000000,47.819981,0.000000,40.769838,46.987565,12.886758,38.218139,8.583820,0.000000,0.000000,0.000000,0.000000,31.749572,0.000000,24.045143,0.000000,421.196276,0.000000,35.395151,147.939346,5.412044,16.569849,119.621759,65.283361,134.754563,6.277777,664.322252,0.000000,0.000000,142.691864,34.709626,17.889226,13.445470,25.594758,402.638625,136.02,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,1.036249,18.853644,37.397366,43.876728,49.713900,0.000000,0.000000,0.000000,88.991600,114.262312,83.176192,28.112454,0.000000,0.000000,0.000000,47.819981,0.000000,40.769838,23.493782,12.886758,38.218139,8.583820,0.000000,0.000000,0.000000,0.000000,31.749572,0.000000,24.045143,0.000000,421.196276,0.000000,35.395151,147.939346,5.412044,16.569849,119.621759,31.317305,134.754563,6.277777,664.322252,0.000000,0.000000,142.691864,33.258676,17.382466,13.445470,25.594758,402.638625,77.38,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,1.036249,18.853644,37.397366,43.876728,49.713900,0.000000,0.000000,0.000000,88.991600,114.262312,83.176192,28.112454,0.000000,0.000000,0.000000,47.819981,0.000000,40.769838,23.493782,12.886758,38.218139,8.583820,0.000000,0.000000,0.000000,0.000000,31.749572,0.000000,24.045143,0.000000,421.196276,0.000000,35.395151,147.939346,8.659270,16.569849,119.621759,23.094481,134.754563,6.277777,664.322252,0.000000,0.000000,142.691864,33.258676,18.037026,13.445470,25.594758,402.638625,77.38,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,1.036249,18.853644,37.397366,43.876728,49.713900,0.000000,0.000000,0.000000,88.991600,114.262312,83.176192,28.112454,0.000000,0.000000,0.000000,47.819981,0.000000,34.616765,23.493782,12.886758,38.218139,8.583820,0.000000,0.000000,0.000000,0.000000,16.915755,0.000000,24.045143,0.000000,421.196276,0.000000,35.395151,147.939346,8.659270,16.569849,119.621759,23.094481,134.754563,6.307570,664.322252,0.000000,0.000000,142.691864,33.258676,17.329601,13.445470,25.594758,402.638625,77.38,0,0,0,0,0

